Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/28/2018 1:35:57 PM,(-0.0614, 3.6891, 2.5236),(6.1109, 17.6591, 358.8295),(0.0699, 3.4159, 2.6436),(302.8888, 17.6852, 358.3956),(-0.0807, 3.4116, 2.6657),(304.7798, 22.7836, 2.4666),False,,1
3/28/2018 1:35:58 PM,(-0.0628, 3.6885, 2.5239),(6.4036, 17.8113, 358.7007),(0.0691, 3.4148, 2.6450),(303.2843, 17.7346, 358.5030),(-0.0823, 3.4115, 2.6668),(304.9349, 22.6364, 2.9281),False,,1
3/28/2018 1:35:58 PM,(-0.0642, 3.6881, 2.5243),(6.4126, 17.7983, 358.8859),(0.0670, 3.4149, 2.6454),(303.0379, 17.2145, 359.0738),(-0.0832, 3.4101, 2.6684),(304.9401, 22.6637, 2.3517),False,,1
3/28/2018 1:35:58 PM,(-0.0661, 3.6879, 2.5250),(6.4341, 17.6207, 358.9432),(0.0649, 3.4151, 2.6460),(303.0760, 16.8916, 359.1021),(-0.0850, 3.4082, 2.6706),(305.3956, 22.1221, 2.8361),False,,1
3/28/2018 1:35:58 PM,(-0.0678, 3.6879, 2.5251),(6.3561, 17.3638, 358.9996),(0.0640, 3.4157, 2.6453),(302.7816, 17.1795, 358.8119),(-0.0868, 3.4092, 2.6700),(305.1773, 21.9769, 2.8051),False,,1
3/28/2018 1:35:58 PM,(-0.0690, 3.6879, 2.5252),(6.3843, 17.1526, 358.8835),(0.0632, 3.4150, 2.6458),(303.0603, 17.1466, 358.8167),(-0.0884, 3.4102, 2.6692),(304.9247, 21.7907, 2.8458),False,,1
3/28/2018 1:35:58 PM,(-0.0698, 3.6881, 2.5252),(6.3799, 17.0847, 358.8884),(0.0629, 3.4141, 2.6468),(303.1161, 16.8858, 359.0659),(-0.0888, 3.4101, 2.6697),(304.8817, 21.9790, 2.6619),False,,1
3/28/2018 1:35:58 PM,(-0.0704, 3.6883, 2.5251),(6.3038, 17.1435, 358.8889),(0.0627, 3.4131, 2.6479),(303.4937, 17.1010, 358.8657),(-0.0894, 3.4085, 2.6715),(305.1533, 22.0410, 2.2689),False,,1
3/28/2018 1:35:58 PM,(-0.0704, 3.6884, 2.5257),(6.2272, 17.2271, 358.8940),(0.0630, 3.4132, 2.6484),(303.4782, 17.5202, 358.4417),(-0.0902, 3.4069, 2.6737),(305.5476, 21.6360, 2.4994),False,,1
3/28/2018 1:35:58 PM,(-0.0702, 3.6887, 2.5257),(6.1084, 17.2200, 358.8869),(0.0629, 3.4142, 2.6489),(303.4991, 17.6883, 358.1060),(-0.0922, 3.4081, 2.6766),(305.7022, 22.4077, 1.3376),False,,1
3/28/2018 1:35:58 PM,(-0.0699, 3.6883, 2.5255),(6.2805, 17.0483, 358.8635),(0.0634, 3.4144, 2.6493),(303.4045, 17.8065, 357.8497),(-0.0984, 3.4127, 2.6810),(305.1782, 21.7853, 1.5673),False,,1
3/28/2018 1:35:58 PM,(-0.0694, 3.6882, 2.5257),(6.3850, 16.8356, 358.6104),(0.0641, 3.4133, 2.6501),(303.4187, 17.4672, 358.3611),(-0.1061, 3.4178, 2.6862),(304.5627, 20.9340, 1.1781),False,,1
3/28/2018 1:35:58 PM,(-0.0679, 3.6882, 2.5257),(6.3429, 16.8551, 358.3721),(0.0659, 3.4115, 2.6515),(303.6160, 17.7792, 358.1508),(-0.1130, 3.4222, 2.6894),(303.5781, 21.0298, 359.7497),False,,1
3/28/2018 1:35:58 PM,(-0.0659, 3.6881, 2.5253),(6.3045, 17.1881, 358.1407),(0.0678, 3.4104, 2.6524),(303.8715, 18.6056, 357.5065),(-0.1191, 3.4237, 2.6948),(303.3891, 19.2868, 359.9099),False,,1
3/28/2018 1:35:58 PM,(-0.0638, 3.6883, 2.5249),(6.3521, 17.6207, 357.9178),(0.0688, 3.4105, 2.6545),(304.0622, 18.9934, 357.1840),(-0.1218, 3.4210, 2.6955),(303.8430, 17.9560, 0.7742),False,,1
