Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 3:27:31 PM,0.1903, 3.4641, 2.3804,3.4319, 339.0883, 5.3568,0.0517, 3.2710, 2.4930,305.5705, 331.2290, 16.0376,0.2215, 3.2776, 2.5611,302.0106, 342.6831, 346.3364,False,,1
3/27/2018 3:27:31 PM,0.1904, 3.4638, 2.3803,3.6008, 338.9173, 5.2960,0.0507, 3.2714, 2.4930,305.6403, 331.0133, 16.0910,0.2218, 3.2783, 2.5601,301.5816, 343.3332, 345.6572,False,,1
3/27/2018 3:27:31 PM,0.1909, 3.4635, 2.3801,3.7537, 338.9235, 5.2774,0.0502, 3.2718, 2.4929,305.6168, 330.9264, 16.0746,0.2224, 3.2784, 2.5587,301.2398, 343.4505, 345.7597,False,,1
3/27/2018 3:27:31 PM,0.1913, 3.4635, 2.3800,3.7241, 338.9731, 5.3490,0.0505, 3.2715, 2.4937,305.7489, 331.1341, 15.6453,0.2235, 3.2773, 2.5588,301.4606, 343.8271, 345.1756,False,,1
3/27/2018 3:27:31 PM,0.1915, 3.4635, 2.3798,3.7580, 338.9867, 5.2804,0.0506, 3.2719, 2.4942,305.8542, 330.9655, 15.7595,0.2245, 3.2759, 2.5593,301.8046, 344.8453, 344.3965,False,,1
3/27/2018 3:27:31 PM,0.1915, 3.4636, 2.3796,3.7745, 339.0884, 5.1988,0.0508, 3.2728, 2.4940,305.7387, 330.9560, 16.0442,0.2242, 3.2753, 2.5602,302.1741, 345.1326, 344.1862,False,,1
3/27/2018 3:27:31 PM,0.1916, 3.4635, 2.3795,3.8096, 339.2506, 5.2472,0.0520, 3.2734, 2.4937,305.4217, 331.2275, 15.9154,0.2245, 3.2754, 2.5605,302.2570, 345.3416, 344.6696,False,,1
3/27/2018 3:27:31 PM,0.1912, 3.4636, 2.3794,3.8346, 339.4285, 5.2949,0.0517, 3.2736, 2.4937,305.4708, 331.0838, 16.2607,0.2259, 3.2760, 2.5603,302.0851, 346.7208, 344.1182,False,,1
3/27/2018 3:27:31 PM,0.1903, 3.4636, 2.3793,3.8315, 339.5632, 5.4274,0.0495, 3.2734, 2.4939,306.0648, 329.8868, 18.0389,0.2280, 3.2762, 2.5621,302.3855, 348.8086, 344.5535,False,,1
3/27/2018 3:27:31 PM,0.1893, 3.4633, 2.3791,3.9589, 339.5469, 5.5771,0.0434, 3.2714, 2.4951,308.0386, 325.9015, 20.6935,0.2319, 3.2755, 2.5668,303.3172, 351.8719, 344.8173,False,,1
