Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 10:41:31 AM,(-0.0870, 3.5860, 2.3426),(346.8367, 10.6222, 355.2507),(-0.0959, 3.2182, 2.5734),(351.8205, 349.9646, 339.1142),(-0.0107, 3.2662, 2.5126),(324.3106, 12.4189, 351.6799),False,,1
3/29/2018 10:41:31 AM,(-0.0869, 3.5859, 2.3429),(346.8505, 10.6036, 355.2725),(-0.0960, 3.2166, 2.5737),(352.1862, 349.9327, 339.0753),(-0.0107, 3.2649, 2.5126),(324.6161, 12.0491, 352.1410),False,,1
3/29/2018 10:41:31 AM,(-0.0851, 3.5852, 2.3460),(347.5429, 11.1155, 355.1152),(-0.0971, 3.2116, 2.5758),(354.2625, 349.4723, 338.6172),(-0.0100, 3.2629, 2.5121),(324.7286, 12.7213, 352.3018),False,,1
3/29/2018 10:41:31 AM,(-0.0846, 3.5851, 2.3474),(347.7485, 11.2131, 355.0395),(-0.0964, 3.2115, 2.5763),(354.1907, 349.5691, 338.5012),(-0.0096, 3.2622, 2.5121),(324.7684, 12.6597, 352.3760),False,,1
3/29/2018 10:41:31 AM,(-0.0843, 3.5851, 2.3488),(347.8869, 11.2250, 355.0795),(-0.0963, 3.2111, 2.5774),(354.3164, 349.6618, 338.4415),(-0.0090, 3.2613, 2.5127),(325.1037, 12.8215, 352.1719),False,,1
3/29/2018 10:41:31 AM,(-0.0840, 3.5851, 2.3499),(347.9497, 11.1448, 355.1365),(-0.0959, 3.2101, 2.5785),(354.6472, 349.6394, 338.2937),(-0.0084, 3.2610, 2.5138),(325.1877, 12.8237, 352.2027),False,,1
3/29/2018 10:41:31 AM,(-0.0836, 3.5852, 2.3509),(348.0194, 11.0532, 355.1526),(-0.0951, 3.2093, 2.5799),(355.0260, 349.8014, 337.9402),(-0.0082, 3.2609, 2.5142),(325.0823, 12.7484, 352.3799),False,,1
3/29/2018 10:41:31 AM,(-0.0833, 3.5855, 2.3518),(347.9582, 11.0544, 355.1732),(-0.0944, 3.2092, 2.5814),(355.4315, 349.9612, 338.2107),(-0.0076, 3.2610, 2.5149),(325.2273, 12.6787, 352.3449),False,,1
3/29/2018 10:41:31 AM,(-0.0830, 3.5857, 2.3524),(347.8128, 11.1138, 355.2625),(-0.0934, 3.2096, 2.5825),(355.2343, 350.1395, 338.0526),(-0.0071, 3.2613, 2.5159),(325.0895, 12.6942, 352.4473),False,,1
3/29/2018 10:41:31 AM,(-0.0826, 3.5858, 2.3529),(347.7212, 11.2085, 355.2678),(-0.0923, 3.2107, 2.5837),(354.9080, 350.2623, 338.0066),(-0.0063, 3.2614, 2.5168),(325.0045, 12.6429, 352.5329),False,,1
3/29/2018 10:41:31 AM,(-0.0824, 3.5861, 2.3530),(347.5152, 11.2663, 355.2426),(-0.0916, 3.2121, 2.5853),(354.6725, 350.3443, 338.0191),(-0.0056, 3.2623, 2.5182),(324.8976, 12.6887, 352.5576),False,,1
3/29/2018 10:41:32 AM,(-0.0826, 3.5864, 2.3529),(347.1021, 11.3030, 355.2045),(-0.0912, 3.2143, 2.5874),(354.0183, 350.6115, 338.4048),(-0.0051, 3.2635, 2.5189),(324.3020, 12.8149, 352.5422),False,,1
3/29/2018 10:41:32 AM,(-0.0826, 3.5875, 2.3525),(346.3736, 11.3419, 355.1595),(-0.0917, 3.2210, 2.5883),(351.3514, 351.4091, 341.2823),(-0.0048, 3.2665, 2.5183),(322.5739, 13.0309, 352.5775),False,,1
3/29/2018 10:41:32 AM,(-0.0825, 3.5890, 2.3519),(345.4406, 11.3682, 355.1088),(-0.0924, 3.2291, 2.5895),(348.1069, 352.3104, 342.6390),(-0.0044, 3.2722, 2.5150),(317.6147, 13.7267, 351.8069),False,,1
3/29/2018 10:41:32 AM,(-0.0826, 3.5900, 2.3511),(344.4966, 11.4248, 354.9850),(-0.0951, 3.2400, 2.5902),(343.2802, 352.4853, 345.2071),(-0.0053, 3.2768, 2.5121),(313.6605, 13.1777, 353.3493),False,,1
3/29/2018 10:41:32 AM,(-0.0829, 3.5911, 2.3502),(343.7683, 11.4552, 355.0808),(-0.0970, 3.2492, 2.5890),(338.2801, 353.0356, 345.7016),(-0.0073, 3.2804, 2.5180),(313.2311, 10.9839, 355.7195),False,,1
