Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/28/2018 2:38:15 PM,(-0.1439, 3.5810, 2.3839),(8.7846, 21.0999, 352.8941),(-0.1265, 3.2203, 2.6115),(348.7183, 21.7155, 8.1616),(0.0255, 3.2261, 2.5482),(341.5903, 25.5261, 2.9212),False,,1
3/28/2018 2:38:15 PM,(-0.1439, 3.5811, 2.3845),(8.7685, 21.0475, 352.9700),(-0.1269, 3.2203, 2.6120),(348.6371, 21.5279, 8.0987),(0.0252, 3.2263, 2.5489),(341.4741, 25.4043, 3.0586),False,,1
3/28/2018 2:38:15 PM,(-0.1439, 3.5812, 2.3854),(8.8170, 20.9730, 353.0386),(-0.1269, 3.2197, 2.6124),(348.7381, 21.4404, 8.1991),(0.0252, 3.2260, 2.5492),(341.5437, 25.2906, 2.9909),False,,1
3/28/2018 2:38:15 PM,(-0.1439, 3.5812, 2.3866),(8.8305, 20.8956, 353.0534),(-0.1266, 3.2194, 2.6127),(348.7813, 21.5341, 8.1696),(0.0253, 3.2257, 2.5498),(341.5637, 25.2274, 3.0899),False,,1
3/28/2018 2:38:15 PM,(-0.1436, 3.5809, 2.3872),(8.8935, 20.8214, 353.0299),(-0.1260, 3.2190, 2.6128),(348.8113, 21.6290, 8.0322),(0.0258, 3.2252, 2.5503),(341.6959, 25.3061, 3.0636),False,,1
3/28/2018 2:38:15 PM,(-0.1433, 3.5809, 2.3880),(8.9243, 20.7956, 353.0776),(-0.1257, 3.2187, 2.6130),(348.9330, 21.6514, 8.0229),(0.0259, 3.2251, 2.5508),(341.7578, 25.2081, 3.0311),False,,1
3/28/2018 2:38:15 PM,(-0.1430, 3.5808, 2.3890),(9.0456, 20.7600, 353.1000),(-0.1258, 3.2184, 2.6137),(348.9640, 21.5231, 8.1453),(0.0255, 3.2252, 2.5512),(341.6547, 25.0577, 3.1087),False,,1
3/28/2018 2:38:15 PM,(-0.1425, 3.5807, 2.3893),(9.0703, 20.7254, 353.0892),(-0.1255, 3.2185, 2.6140),(348.9516, 21.5820, 7.9913),(0.0257, 3.2250, 2.5517),(341.7476, 25.0379, 3.0999),False,,1
3/28/2018 2:38:15 PM,(-0.1421, 3.5806, 2.3904),(9.1348, 20.6943, 353.0607),(-0.1252, 3.2182, 2.6148),(349.0154, 21.4433, 8.1132),(0.0263, 3.2245, 2.5522),(341.7988, 25.0765, 3.0792),False,,1
3/28/2018 2:38:15 PM,(-0.1416, 3.5805, 2.3909),(9.1429, 20.6422, 353.1064),(-0.1248, 3.2179, 2.6150),(349.0435, 21.5632, 7.9439),(0.0263, 3.2240, 2.5527),(341.9007, 24.9964, 2.9953),False,,1
3/28/2018 2:38:15 PM,(-0.1410, 3.5805, 2.3920),(9.1947, 20.5788, 353.0824),(-0.1242, 3.2177, 2.6154),(349.1472, 21.5659, 7.9089),(0.0266, 3.2238, 2.5531),(341.9430, 24.9735, 3.0479),False,,1
3/28/2018 2:38:15 PM,(-0.1403, 3.5803, 2.3921),(9.2941, 20.5547, 353.0597),(-0.1234, 3.2173, 2.6155),(349.1646, 21.7205, 7.7931),(0.0269, 3.2236, 2.5537),(341.9567, 24.9700, 2.9341),False,,1
3/28/2018 2:38:16 PM,(-0.1398, 3.5803, 2.3925),(9.3040, 20.5773, 353.0335),(-0.1231, 3.2170, 2.6156),(349.2731, 21.8154, 7.7788),(0.0271, 3.2238, 2.5537),(341.8416, 24.9976, 2.9593),False,,1
3/28/2018 2:38:16 PM,(-0.1394, 3.5803, 2.3931),(9.3477, 20.6525, 352.9539),(-0.1230, 3.2170, 2.6158),(349.3088, 21.8106, 7.6860),(0.0273, 3.2233, 2.5540),(342.0874, 25.0861, 2.6620),False,,1
3/28/2018 2:38:16 PM,(-0.1390, 3.5802, 2.3931),(9.3459, 20.6909, 352.9510),(-0.1226, 3.2168, 2.6161),(349.2726, 21.9621, 7.6358),(0.0271, 3.2232, 2.5544),(341.9902, 25.0182, 2.8622),False,,1
3/28/2018 2:38:16 PM,(-0.1388, 3.5803, 2.3932),(9.3388, 20.6757, 352.9228),(-0.1221, 3.2168, 2.6164),(349.3902, 21.9626, 7.5838),(0.0276, 3.2235, 2.5546),(341.9392, 25.0349, 2.7744),False,,1
3/28/2018 2:38:16 PM,(-0.1387, 3.5804, 2.3937),(9.3372, 20.6706, 352.8677),(-0.1218, 3.2174, 2.6161),(349.2656, 22.1556, 7.4808),(0.0277, 3.2237, 2.5546),(341.9899, 25.1574, 2.6711),False,,1
3/28/2018 2:38:16 PM,(-0.1383, 3.5802, 2.3940),(9.3996, 20.6960, 352.8249),(-0.1210, 3.2170, 2.6165),(349.4420, 22.2843, 7.4302),(0.0281, 3.2235, 2.5552),(341.9700, 25.1495, 2.8289),False,,1
3/28/2018 2:38:16 PM,(-0.1383, 3.5801, 2.3948),(9.4490, 20.7329, 352.8684),(-0.1213, 3.2168, 2.6168),(349.3943, 22.2113, 7.3185),(0.0274, 3.2233, 2.5554),(342.0597, 25.0832, 2.5688),False,,1
3/28/2018 2:38:16 PM,(-0.1384, 3.5800, 2.3953),(9.4916, 20.7588, 352.9027),(-0.1211, 3.2173, 2.6165),(349.0274, 22.1262, 5.9898),(0.0267, 3.2237, 2.5554),(341.8376, 24.8866, 2.8308),False,,1
3/28/2018 2:38:16 PM,(-0.1385, 3.5798, 2.3955),(9.5354, 20.6609, 352.9554),(-0.1220, 3.2171, 2.6176),(349.0996, 21.7014, 6.6293),(0.0266, 3.2233, 2.5558),(341.9695, 24.8168, 2.6163),False,,1
3/28/2018 2:38:16 PM,(-0.1388, 3.5800, 2.3961),(9.5393, 20.5417, 352.9528),(-0.1227, 3.2171, 2.6181),(348.5267, 21.3534, 4.7726),(0.0264, 3.2233, 2.5559),(341.9049, 24.7503, 2.7464),False,,1
3/28/2018 2:38:16 PM,(-0.1392, 3.5800, 2.3965),(9.5053, 20.3411, 352.9676),(-0.1232, 3.2164, 2.6186),(348.7473, 21.2601, 4.8386),(0.0266, 3.2229, 2.5562),(342.0533, 24.7779, 2.6133),False,,1
3/28/2018 2:38:16 PM,(-0.1397, 3.5799, 2.3963),(9.4751, 20.2342, 353.0069),(-0.1237, 3.2160, 2.6188),(348.8687, 21.1147, 4.9019),(0.0261, 3.2229, 2.5563),(342.0384, 24.6817, 2.7147),False,,1
3/28/2018 2:38:16 PM,(-0.1400, 3.5801, 2.3967),(9.4643, 20.2231, 353.0194),(-0.1235, 3.2158, 2.6186),(348.9548, 21.2232, 4.9089),(0.0260, 3.2230, 2.5563),(341.9806, 24.6776, 2.7553),False,,1
3/28/2018 2:38:16 PM,(-0.1404, 3.5803, 2.3968),(9.4154, 20.2279, 353.0564),(-0.1235, 3.2154, 2.6184),(349.0900, 21.2131, 5.0774),(0.0253, 3.2233, 2.5566),(342.0085, 24.5747, 2.6064),False,,1
3/28/2018 2:38:16 PM,(-0.1405, 3.5801, 2.3971),(9.3601, 20.1913, 353.1182),(-0.1233, 3.2145, 2.6184),(349.1715, 21.3971, 4.9947),(0.0249, 3.2232, 2.5569),(341.9062, 24.4775, 2.7495),False,,1
3/28/2018 2:38:16 PM,(-0.1408, 3.5801, 2.3977),(9.3829, 20.2033, 353.1139),(-0.1235, 3.2137, 2.6185),(349.3374, 21.3263, 5.0356),(0.0254, 3.2226, 2.5569),(342.1925, 24.6184, 2.5054),False,,1
3/28/2018 2:38:16 PM,(-0.1410, 3.5800, 2.3983),(9.3375, 20.1813, 353.1597),(-0.1231, 3.2123, 2.6185),(349.6375, 21.6541, 4.9065),(0.0255, 3.2222, 2.5569),(342.2443, 24.6145, 2.5391),False,,1
3/28/2018 2:38:16 PM,(-0.1412, 3.5799, 2.3984),(9.3459, 20.1005, 353.2660),(-0.1229, 3.2117, 2.6185),(349.7044, 21.6990, 4.6124),(0.0253, 3.2222, 2.5567),(342.2469, 24.6103, 2.5650),False,,1
3/28/2018 2:38:17 PM,(-0.1413, 3.5800, 2.3992),(9.2549, 20.0622, 353.2776),(-0.1230, 3.2116, 2.6185),(349.7296, 21.6843, 4.6404),(0.0255, 3.2221, 2.5567),(342.3005, 24.6555, 2.4577),False,,1
3/28/2018 2:38:17 PM,(-0.1412, 3.5801, 2.3993),(9.1371, 20.0872, 353.3235),(-0.1228, 3.2120, 2.6186),(349.6474, 21.6934, 4.6309),(0.0259, 3.2222, 2.5567),(342.2569, 24.7334, 2.4443),False,,1
3/28/2018 2:38:17 PM,(-0.1414, 3.5802, 2.3994),(9.0886, 20.0932, 353.3405),(-0.1233, 3.2123, 2.6189),(349.5571, 21.6089, 4.5071),(0.0255, 3.2222, 2.5567),(342.2943, 24.7443, 2.3813),False,,1
3/28/2018 2:38:17 PM,(-0.1417, 3.5803, 2.3997),(9.0369, 20.0544, 353.3428),(-0.1237, 3.2122, 2.6192),(349.5569, 21.5494, 4.6347),(0.0250, 3.2225, 2.5567),(342.1338, 24.6219, 2.4151),False,,1
3/28/2018 2:38:17 PM,(-0.1419, 3.5802, 2.3993),(9.0138, 19.9896, 353.3069),(-0.1241, 3.2119, 2.6191),(349.6538, 21.4903, 4.5847),(0.0250, 3.2226, 2.5569),(342.2166, 24.6955, 2.3010),False,,1
3/28/2018 2:38:17 PM,(-0.1422, 3.5804, 2.3991),(8.9410, 19.9738, 353.3102),(-0.1246, 3.2118, 2.6190),(349.6221, 21.3949, 4.5432),(0.0246, 3.2229, 2.5567),(342.1099, 24.6394, 2.3883),False,,1
3/28/2018 2:38:17 PM,(-0.1426, 3.5804, 2.3993),(8.9071, 19.9762, 353.3704),(-0.1249, 3.2116, 2.6189),(349.6815, 21.3302, 4.5961),(0.0245, 3.2229, 2.5567),(342.2069, 24.6231, 2.3130),False,,1
3/28/2018 2:38:17 PM,(-0.1428, 3.5804, 2.3988),(8.8485, 19.9645, 353.3853),(-0.1247, 3.2114, 2.6186),(349.6641, 21.3761, 4.4974),(0.0245, 3.2230, 2.5569),(342.1567, 24.5734, 2.3359),False,,1
3/28/2018 2:38:17 PM,(-0.1435, 3.5805, 2.3988),(8.8323, 19.9180, 353.4174),(-0.1253, 3.2113, 2.6185),(349.6798, 21.2913, 4.5011),(0.0241, 3.2233, 2.5566),(342.1496, 24.5917, 2.3055),False,,1
3/28/2018 2:38:17 PM,(-0.1440, 3.5804, 2.3990),(8.7921, 19.8569, 353.4914),(-0.1251, 3.2108, 2.6185),(349.6974, 21.3488, 4.4041),(0.0241, 3.2232, 2.5567),(342.1207, 24.5900, 2.3351),False,,1
3/28/2018 2:38:17 PM,(-0.1440, 3.5803, 2.3990),(8.7968, 19.8341, 353.5230),(-0.1248, 3.2103, 2.6187),(349.8402, 21.2126, 4.2968),(0.0244, 3.2233, 2.5569),(342.0808, 24.5886, 2.3645),False,,1
3/28/2018 2:38:17 PM,(-0.1441, 3.5806, 2.3995),(8.7431, 19.8074, 353.5751),(-0.1245, 3.2100, 2.6185),(349.7933, 21.2823, 4.2220),(0.0247, 3.2235, 2.5568),(342.1595, 24.6434, 2.2874),False,,1
3/28/2018 2:38:17 PM,(-0.1442, 3.5806, 2.3999),(8.7574, 19.7557, 353.5380),(-0.1239, 3.2086, 2.6183),(350.0004, 21.4722, 3.7027),(0.0246, 3.2233, 2.5569),(342.0862, 24.6160, 2.5181),False,,1
3/28/2018 2:38:17 PM,(-0.1445, 3.5801, 2.4000),(8.8376, 19.7322, 353.4843),(-0.1232, 3.2053, 2.6187),(350.7912, 21.7491, 3.1333),(0.0243, 3.2229, 2.5573),(342.2190, 24.6559, 2.3754),False,,1
3/28/2018 2:38:17 PM,(-0.1446, 3.5803, 2.4005),(8.8390, 19.7424, 353.4897),(-0.1220, 3.2009, 2.6189),(352.2644, 22.0589, 2.0753),(0.0236, 3.2238, 2.5572),(342.0422, 24.5231, 2.4727),False,,1
3/28/2018 2:38:17 PM,(-0.1447, 3.5803, 2.4005),(8.8084, 19.7251, 353.5653),(-0.1197, 3.1954, 2.6188),(353.8947, 22.7144, 0.9216),(0.0230, 3.2238, 2.5577),(342.0173, 24.3594, 2.4996),False,,1
3/28/2018 2:38:17 PM,(-0.1448, 3.5804, 2.4007),(8.7686, 19.6617, 353.5208),(-0.1180, 3.1927, 2.6177),(354.4832, 23.1963, 0.0489),(0.0233, 3.2239, 2.5577),(342.0456, 24.4800, 2.3687),False,,1
3/28/2018 2:38:17 PM,(-0.1451, 3.5804, 2.4013),(8.7244, 19.6603, 353.4572),(-0.1183, 3.1933, 2.6174),(354.0709, 23.0927, 0.4238),(0.0230, 3.2237, 2.5581),(342.0399, 24.4112, 2.4149),False,,1
3/28/2018 2:38:18 PM,(-0.1452, 3.5803, 2.4014),(8.7365, 19.6528, 353.5016),(-0.1194, 3.1967, 2.6176),(352.9063, 22.6915, 0.4626),(0.0231, 3.2240, 2.5580),(341.9153, 24.4246, 2.5457),False,,1
3/28/2018 2:38:18 PM,(-0.1457, 3.5804, 2.4018),(8.6982, 19.6496, 353.4991),(-0.1228, 3.1981, 2.6211),(352.7949, 21.2972, 1.6883),(0.0227, 3.2240, 2.5576),(342.0045, 24.4095, 2.4997),False,,1
