Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/28/2018 1:29:37 PM,(-0.0143, 3.7051, 2.4001),(1.6375, 18.3410, 0.0328),(-0.0321, 3.3527, 2.5904),(308.7916, 18.3914, 5.6343),(0.1093, 3.3295, 2.5509),(311.7605, 14.4754, 2.5611),False,,1
3/28/2018 1:29:37 PM,(-0.0148, 3.7051, 2.4000),(1.6546, 18.4028, 0.0529),(-0.0330, 3.3527, 2.5903),(308.7475, 18.1769, 5.8643),(0.1087, 3.3309, 2.5508),(311.4794, 14.3413, 2.5781),False,,1
3/28/2018 1:29:37 PM,(-0.0154, 3.7051, 2.4000),(1.5833, 18.4068, 0.1778),(-0.0335, 3.3522, 2.5902),(308.7284, 18.0820, 6.0202),(0.1076, 3.3318, 2.5505),(311.2649, 14.1554, 2.6896),False,,1
3/28/2018 1:29:37 PM,(-0.0162, 3.7055, 2.4002),(1.5652, 18.3988, 0.0833),(-0.0335, 3.3517, 2.5900),(308.8843, 18.1681, 6.1416),(0.1076, 3.3320, 2.5498),(311.2302, 14.2189, 2.6261),False,,1
3/28/2018 1:29:37 PM,(-0.0168, 3.7054, 2.4003),(1.4971, 18.3921, 0.2310),(-0.0337, 3.3510, 2.5897),(308.9227, 18.3625, 6.1381),(0.1070, 3.3316, 2.5502),(311.2791, 14.1220, 2.8181),False,,1
3/28/2018 1:29:37 PM,(-0.0174, 3.7054, 2.4003),(1.4729, 18.4295, 0.2355),(-0.0340, 3.3507, 2.5895),(308.8800, 18.3722, 6.2570),(0.1067, 3.3312, 2.5498),(311.2225, 13.9882, 2.9355),False,,1
3/28/2018 1:29:37 PM,(-0.0180, 3.7053, 2.4008),(1.4366, 18.4233, 0.2791),(-0.0349, 3.3511, 2.5892),(308.6624, 18.2121, 6.5446),(0.1066, 3.3307, 2.5496),(311.2864, 14.2133, 2.8346),False,,1
3/28/2018 1:29:37 PM,(-0.0187, 3.7052, 2.4007),(1.4064, 18.4717, 0.2802),(-0.0360, 3.3519, 2.5893),(308.5032, 18.0512, 6.9225),(0.1060, 3.3307, 2.5497),(311.2946, 14.2332, 2.7241),False,,1
3/28/2018 1:29:37 PM,(-0.0192, 3.7052, 2.4008),(1.4524, 18.4587, 0.3382),(-0.0372, 3.3543, 2.5891),(307.9359, 18.1409, 6.9543),(0.1053, 3.3318, 2.5498),(311.1641, 14.2812, 2.7553),False,,1
3/28/2018 1:29:37 PM,(-0.0200, 3.7050, 2.4009),(1.5381, 18.4962, 0.3335),(-0.0395, 3.3621, 2.5914),(307.0342, 18.7138, 6.4268),(0.1026, 3.3362, 2.5504),(310.4829, 12.8718, 3.5016),False,,1
