Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 5:47:57 PM,-0.1469, 3.4575, 2.3714,2.2824, 21.8644, 1.2392,-0.1913, 3.1547, 2.5959,348.5287, 340.9882, 348.7302,-0.0519, 3.1544, 2.5839,341.3125, 29.0257, 355.0853,False,,1
3/29/2018 5:47:57 PM,-0.1470, 3.4577, 2.3706,2.1204, 21.6693, 1.2500,-0.1904, 3.1540, 2.5946,348.5952, 341.4537, 348.3896,-0.0527, 3.1546, 2.5840,341.3289, 28.8730, 355.0682,False,,1
3/29/2018 5:47:57 PM,-0.1471, 3.4576, 2.3694,2.1130, 21.5198, 1.2580,-0.1901, 3.1553, 2.5938,348.2333, 341.5861, 348.2205,-0.0526, 3.1547, 2.5834,341.3007, 29.0288, 355.0338,False,,1
3/29/2018 5:47:57 PM,-0.1470, 3.4572, 2.3687,2.2833, 21.5066, 1.2385,-0.1898, 3.1565, 2.5937,347.8498, 341.4362, 347.9817,-0.0518, 3.1547, 2.5828,341.2633, 29.1707, 355.0267,False,,1
3/29/2018 5:47:57 PM,-0.1468, 3.4567, 2.3679,2.4450, 21.6613, 1.1708,-0.1892, 3.1572, 2.5938,347.7110, 341.6324, 348.1369,-0.0512, 3.1548, 2.5820,341.2638, 29.3816, 354.9385,False,,1
3/29/2018 5:47:57 PM,-0.1466, 3.4562, 2.3668,2.5379, 21.9075, 1.1563,-0.1885, 3.1570, 2.5936,347.6917, 341.7821, 347.9997,-0.0511, 3.1550, 2.5815,341.1324, 29.4146, 355.0159,False,,1
3/29/2018 5:47:57 PM,-0.1466, 3.4562, 2.3661,2.5365, 22.1622, 1.1401,-0.1881, 3.1569, 2.5935,347.7537, 341.8857, 348.0801,-0.0506, 3.1549, 2.5809,341.1703, 29.5500, 355.0000,False,,1
3/29/2018 5:47:57 PM,-0.1463, 3.4565, 2.3648,2.4768, 22.2744, 1.1173,-0.1875, 3.1584, 2.5933,347.5907, 341.9729, 348.1203,-0.0497, 3.1559, 2.5799,341.0801, 29.7641, 354.9366,False,,1
3/29/2018 5:47:57 PM,-0.1463, 3.4567, 2.3640,2.3938, 22.2736, 1.1264,-0.1869, 3.1596, 2.5929,347.3725, 342.0205, 348.2810,-0.0489, 3.1567, 2.5793,340.9470, 29.9007, 354.7843,False,,1
3/29/2018 5:47:58 PM,-0.1464, 3.4569, 2.3637,2.3528, 22.2487, 1.1479,-0.1865, 3.1609, 2.5931,347.0518, 342.0609, 348.2479,-0.0489, 3.1574, 2.5784,340.6783, 29.9513, 354.9105,False,,1
