Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 8:40:01 PM,(-0.1355, 3.6124, 2.3235),(346.8153, 17.2199, 356.5705),(-0.0180, 3.4818, 2.5431),(303.5929, 14.0845, 3.6184),(-0.1480, 3.4767, 2.5767),(296.0563, 29.4195, 346.1532),False,,1
3/27/2018 8:40:01 PM,(-0.1365, 3.6153, 2.3210),(344.9335, 17.3542, 356.6671),(-0.0176, 3.4827, 2.5432),(303.3807, 14.0894, 3.5675),(-0.1483, 3.4774, 2.5762),(295.9311, 29.4347, 346.1805),False,,1
3/27/2018 8:40:01 PM,(-0.1372, 3.6177, 2.3188),(343.2796, 17.3952, 356.7560),(-0.0170, 3.4832, 2.5434),(303.2202, 14.4920, 3.2781),(-0.1489, 3.4781, 2.5755),(295.6415, 29.5741, 345.8715),False,,1
3/27/2018 8:40:01 PM,(-0.1375, 3.6204, 2.3172),(341.7341, 17.5445, 356.7296),(-0.0165, 3.4838, 2.5438),(303.2426, 14.4391, 3.2811),(-0.1490, 3.4793, 2.5747),(295.3737, 29.8943, 345.4633),False,,1
3/27/2018 8:40:01 PM,(-0.1379, 3.6220, 2.3151),(340.5920, 17.5658, 356.7181),(-0.0165, 3.4844, 2.5443),(303.1437, 14.3608, 3.3603),(-0.1493, 3.4801, 2.5739),(295.1266, 30.0119, 345.2619),False,,1
3/27/2018 8:40:01 PM,(-0.1386, 3.6218, 2.3136),(340.6638, 17.5511, 356.7885),(-0.0166, 3.4844, 2.5444),(303.2102, 14.5957, 3.1997),(-0.1495, 3.4804, 2.5733),(294.9604, 30.1948, 345.0465),False,,1
3/27/2018 8:40:01 PM,(-0.1387, 3.6220, 2.3132),(340.5831, 17.6119, 356.7539),(-0.0170, 3.4852, 2.5443),(303.0785, 14.4242, 3.1970),(-0.1493, 3.4812, 2.5731),(294.8550, 30.3433, 344.8376),False,,1
3/27/2018 8:40:01 PM,(-0.1388, 3.6221, 2.3126),(340.3668, 17.5326, 356.8310),(-0.0176, 3.4860, 2.5437),(302.9215, 14.3381, 3.2594),(-0.1492, 3.4819, 2.5726),(294.6889, 30.7005, 344.4342),False,,1
3/27/2018 8:40:01 PM,(-0.1392, 3.6220, 2.3124),(340.3860, 17.4163, 356.8891),(-0.0176, 3.4865, 2.5427),(302.6328, 14.3750, 3.1479),(-0.1494, 3.4819, 2.5724),(294.5934, 30.6767, 344.3151),False,,1
3/27/2018 8:40:01 PM,(-0.1399, 3.6222, 2.3114),(340.2831, 17.1620, 357.0005),(-0.0175, 3.4876, 2.5425),(302.4268, 14.4638, 3.0017),(-0.1495, 3.4821, 2.5724),(294.5659, 31.0439, 343.9894),False,,1
3/27/2018 8:40:02 PM,(-0.1409, 3.6225, 2.3112),(340.0868, 16.8664, 357.0619),(-0.0167, 3.4874, 2.5434),(302.5632, 14.7476, 2.8701),(-0.1499, 3.4816, 2.5736),(294.6409, 30.7112, 344.1892),False,,1
3/27/2018 8:40:02 PM,(-0.1414, 3.6227, 2.3106),(339.9452, 16.6303, 357.1588),(-0.0162, 3.4875, 2.5441),(302.6190, 14.7578, 2.8265),(-0.1501, 3.4816, 2.5739),(294.6927, 30.3284, 344.5329),False,,1
3/27/2018 8:40:02 PM,(-0.1421, 3.6229, 2.3103),(339.8228, 16.4018, 357.2355),(-0.0164, 3.4875, 2.5442),(302.5149, 14.8040, 2.7826),(-0.1507, 3.4819, 2.5734),(294.4825, 30.5833, 344.2148),False,,1
3/27/2018 8:40:02 PM,(-0.1428, 3.6230, 2.3102),(339.6907, 16.1606, 357.2727),(-0.0169, 3.4871, 2.5450),(302.6739, 14.5679, 3.0952),(-0.1517, 3.4822, 2.5740),(294.4375, 30.3796, 344.1725),False,,1
3/27/2018 8:40:02 PM,(-0.1434, 3.6234, 2.3096),(339.4026, 15.8376, 357.3724),(-0.0179, 3.4873, 2.5459),(302.5511, 14.0535, 3.3653),(-0.1532, 3.4830, 2.5749),(294.2901, 29.8795, 344.4164),False,,1
3/27/2018 8:40:02 PM,(-0.1440, 3.6239, 2.3089),(339.1868, 15.5755, 357.3803),(-0.0182, 3.4877, 2.5461),(302.5920, 14.2285, 3.1550),(-0.1551, 3.4839, 2.5756),(294.1865, 29.2847, 344.7701),False,,1
3/27/2018 8:40:02 PM,(-0.1444, 3.6239, 2.3083),(339.1544, 15.3819, 357.4177),(-0.0187, 3.4877, 2.5459),(302.4420, 14.1045, 3.1839),(-0.1564, 3.4844, 2.5760),(294.0439, 28.9464, 344.9108),False,,1
3/27/2018 8:40:02 PM,(-0.1448, 3.6243, 2.3074),(338.8761, 15.1183, 357.4684),(-0.0190, 3.4874, 2.5469),(302.5849, 13.9280, 3.2081),(-0.1570, 3.4848, 2.5758),(294.0265, 28.8999, 344.8357),False,,1
3/27/2018 8:40:02 PM,(-0.1457, 3.6247, 2.3066),(338.5384, 14.4536, 357.5768),(-0.0192, 3.4870, 2.5472),(302.6815, 13.8962, 3.1946),(-0.1580, 3.4853, 2.5754),(293.7553, 28.9440, 344.5580),False,,1
3/27/2018 8:40:02 PM,(-0.1478, 3.6255, 2.3057),(338.0495, 12.9946, 357.8774),(-0.0202, 3.4876, 2.5476),(302.5548, 13.5546, 3.2371),(-0.1604, 3.4862, 2.5760),(293.6487, 28.0214, 345.1650),False,,1
3/27/2018 8:40:02 PM,(-0.1503, 3.6265, 2.3042),(337.2824, 11.3118, 358.1579),(-0.0213, 3.4885, 2.5478),(302.4093, 13.3096, 3.1673),(-0.1632, 3.4874, 2.5764),(293.3879, 26.9827, 345.5585),False,,1
3/27/2018 8:40:02 PM,(-0.1530, 3.6278, 2.3026),(336.4188, 9.6015, 358.3839),(-0.0226, 3.4898, 2.5475),(302.1288, 13.2073, 2.9640),(-0.1661, 3.4886, 2.5761),(293.2905, 26.4653, 345.7049),False,,1
3/27/2018 8:40:02 PM,(-0.1549, 3.6282, 2.3010),(336.0107, 8.2219, 358.6690),(-0.0244, 3.4907, 2.5486),(301.9713, 12.8240, 2.8897),(-0.1696, 3.4898, 2.5755),(292.9101, 25.8867, 345.5362),False,,1
3/27/2018 8:40:02 PM,(-0.1564, 3.6281, 2.2995),(336.1255, 7.2572, 358.8090),(-0.0269, 3.4910, 2.5496),(301.9142, 12.3440, 2.9163),(-0.1739, 3.4908, 2.5755),(292.7906, 24.7654, 345.9157),False,,1
3/27/2018 8:40:02 PM,(-0.1579, 3.6285, 2.2985),(335.8620, 5.9501, 358.9506),(-0.0303, 3.4905, 2.5503),(301.9550, 11.5385, 3.1293),(-0.1786, 3.4919, 2.5758),(292.6374, 24.1133, 345.6692),False,,1
3/27/2018 8:40:02 PM,(-0.1596, 3.6286, 2.2976),(335.7579, 4.5136, 359.2447),(-0.0338, 3.4899, 2.5506),(302.0144, 10.5548, 3.4501),(-0.1850, 3.4937, 2.5759),(292.3694, 22.2838, 346.2751),False,,1
3/27/2018 8:40:02 PM,(-0.1617, 3.6288, 2.2971),(335.6704, 2.8148, 359.5381),(-0.0378, 3.4901, 2.5512),(301.8395, 9.6650, 3.5342),(-0.1920, 3.4960, 2.5752),(291.9135, 20.8895, 346.3651),False,,1
3/27/2018 8:40:02 PM,(-0.1637, 3.6284, 2.2967),(335.8843, 1.0379, 359.8726),(-0.0426, 3.4907, 2.5529),(301.7745, 8.5879, 3.6487),(-0.1997, 3.4985, 2.5736),(291.5172, 19.0483, 346.8619),False,,1
3/27/2018 8:40:03 PM,(-0.1657, 3.6283, 2.2969),(336.2084, 359.1369, 0.2426),(-0.0485, 3.4915, 2.5558),(301.6716, 7.2361, 4.0797),(-0.2078, 3.5007, 2.5708),(291.0187, 17.7660, 346.6582),False,,1
3/27/2018 8:40:03 PM,(-0.1673, 3.6279, 2.2975),(336.6862, 357.3795, 0.4720),(-0.0549, 3.4926, 2.5577),(301.4706, 5.8055, 4.2587),(-0.2170, 3.5033, 2.5676),(290.4212, 15.8571, 346.8050),False,,1
3/27/2018 8:40:03 PM,(-0.1683, 3.6271, 2.2983),(337.2087, 355.8693, 0.4720),(-0.0622, 3.4932, 2.5595),(301.2871, 4.1135, 4.6510),(-0.2271, 3.5058, 2.5640),(289.6883, 14.9150, 345.5665),False,,1
3/27/2018 8:40:03 PM,(-0.1689, 3.6264, 2.2990),(337.9691, 354.3911, 0.5743),(-0.0697, 3.4935, 2.5608),(301.1595, 2.2820, 5.0001),(-0.2397, 3.5077, 2.5606),(288.9939, 11.2787, 346.7499),False,,1
3/27/2018 8:40:03 PM,(-0.1693, 3.6263, 2.2999),(338.2703, 353.0660, 0.6150),(-0.0765, 3.4939, 2.5608),(300.9601, 0.7123, 5.2666),(-0.2510, 3.5068, 2.5592),(289.3741, 7.8065, 348.4011),False,,1
3/27/2018 8:40:03 PM,(-0.1689, 3.6262, 2.2999),(338.5251, 352.0431, 0.5199),(-0.0812, 3.4938, 2.5601),(300.6309, 359.6915, 5.0106),(-0.2588, 3.5035, 2.5577),(289.8237, 5.9448, 348.4745),False,,1
3/27/2018 8:40:03 PM,(-0.1683, 3.6262, 2.3001),(338.6696, 351.3551, 0.4469),(-0.0852, 3.4933, 2.5592),(300.4139, 358.7187, 5.0959),(-0.2656, 3.4993, 2.5580),(290.6372, 3.7630, 349.2798),False,,1
