Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 3:44:37 PM,(-0.0703, 3.5811, 2.4211),(7.6056, 18.5851, 359.6494),(-0.1248, 3.4581, 2.5299),(287.2938, 307.5286, 68.1654),(0.0194, 3.4799, 2.4919),(284.3192, 75.2043, 308.5060),False,,1
3/29/2018 3:44:37 PM,(-0.0712, 3.5808, 2.4195),(7.6413, 18.3472, 359.8829),(-0.1219, 3.4593, 2.5264),(286.6853, 304.9898, 69.0967),(0.0149, 3.4801, 2.4877),(284.5759, 74.2967, 306.9771),False,,1
3/29/2018 3:44:37 PM,(-0.0726, 3.5811, 2.4180),(7.4921, 17.9803, 359.8877),(-0.1187, 3.4584, 2.5232),(285.7129, 305.3268, 69.9506),(0.0074, 3.4789, 2.4847),(283.9412, 71.8746, 307.7062),False,,1
3/29/2018 3:44:37 PM,(-0.0740, 3.5813, 2.4166),(7.2735, 17.5717, 359.9780),(-0.1174, 3.4570, 2.5197),(284.9702, 306.4318, 68.5823),(0.0008, 3.4764, 2.4831),(283.4589, 71.2398, 307.0659),False,,1
3/29/2018 3:44:37 PM,(-0.0754, 3.5811, 2.4152),(7.1235, 16.8218, 0.0695),(-0.1211, 3.4558, 2.5179),(284.9989, 307.2816, 67.3912),(-0.0038, 3.4742, 2.4821),(283.0898, 70.1271, 306.9945),False,,1
3/29/2018 3:44:37 PM,(-0.0773, 3.5805, 2.4146),(7.2709, 15.6551, 359.9442),(-0.1289, 3.4552, 2.5169),(285.4626, 304.9654, 67.6924),(-0.0044, 3.4720, 2.4810),(283.2972, 71.1693, 305.9760),False,,1
3/29/2018 3:44:38 PM,(-0.0793, 3.5802, 2.4139),(7.3799, 14.3069, 359.8214),(-0.1395, 3.4547, 2.5188),(286.9961, 301.9106, 66.6922),(-0.0040, 3.4713, 2.4825),(283.3734, 70.5312, 307.0402),False,,1
3/29/2018 3:44:38 PM,(-0.0813, 3.5803, 2.4129),(7.3894, 13.0220, 359.9027),(-0.1502, 3.4542, 2.5252),(289.4131, 302.1089, 63.7077),(-0.0022, 3.4702, 2.4854),(284.2589, 69.3129, 307.8430),False,,1
3/29/2018 3:44:38 PM,(-0.0830, 3.5804, 2.4123),(7.3727, 12.0014, 359.8090),(-0.1569, 3.4532, 2.5360),(291.3126, 306.4420, 57.1799),(-0.0010, 3.4684, 2.4936),(285.1347, 64.4347, 312.4761),False,,1
3/29/2018 3:44:38 PM,(-0.0839, 3.5804, 2.4118),(7.3809, 11.1798, 359.7791),(-0.1629, 3.4509, 2.5465),(293.8634, 312.0299, 51.1616),(0.0003, 3.4651, 2.5040),(287.1716, 57.6266, 318.5591),False,,1
3/29/2018 3:44:38 PM,(-0.0842, 3.5798, 2.4117),(7.6513, 10.7813, 359.6115),(-0.1708, 3.4486, 2.5518),(296.6022, 311.4515, 51.1345),(0.0011, 3.4618, 2.5121),(289.0854, 52.1764, 323.0083),False,,1
