Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 4:46:10 PM,(-0.0112, 3.8772, 2.2728),(13.6814, 19.3894, 352.9973),(-0.0616, 3.4172, 2.5338),(331.0391, 10.6927, 34.8007),(0.1472, 3.3921, 2.5000),(339.0419, 24.4014, 335.3923),False,,1
3/29/2018 4:46:10 PM,(-0.0096, 3.8761, 2.2742),(14.1610, 19.9259, 352.8840),(-0.0565, 3.4168, 2.5318),(331.0536, 11.3678, 34.9995),(0.1493, 3.3899, 2.4987),(339.3594, 24.7412, 334.7410),False,,1
3/29/2018 4:46:10 PM,(-0.0084, 3.8751, 2.2754),(14.5879, 20.3425, 352.8698),(-0.0528, 3.4160, 2.5301),(331.1559, 12.0394, 34.9649),(0.1499, 3.3895, 2.4980),(339.3575, 24.9501, 334.6382),False,,1
3/29/2018 4:46:10 PM,(-0.0078, 3.8744, 2.2757),(15.0149, 20.5752, 352.8689),(-0.0504, 3.4147, 2.5292),(331.4683, 12.8230, 34.8507),(0.1492, 3.3898, 2.4978),(339.4163, 25.0002, 333.7072),False,,1
3/29/2018 4:46:10 PM,(-0.0078, 3.8741, 2.2765),(15.1441, 20.6634, 352.7662),(-0.0496, 3.4139, 2.5288),(331.5211, 13.3352, 34.6065),(0.1479, 3.3902, 2.4981),(339.4086, 24.9042, 333.1139),False,,1
3/29/2018 4:46:10 PM,(-0.0083, 3.8740, 2.2764),(15.2051, 20.6127, 352.6755),(-0.0499, 3.4136, 2.5290),(331.5127, 13.7572, 34.3003),(0.1459, 3.3904, 2.4988),(339.2642, 24.6894, 332.6664),False,,1
3/29/2018 4:46:10 PM,(-0.0093, 3.8741, 2.2766),(15.2258, 20.4997, 352.4769),(-0.0521, 3.4146, 2.5300),(331.3607, 13.7485, 34.0208),(0.1436, 3.3902, 2.5003),(339.2847, 24.5605, 332.7256),False,,1
3/29/2018 4:46:10 PM,(-0.0109, 3.8742, 2.2771),(15.1380, 20.2777, 352.4807),(-0.0548, 3.4161, 2.5310),(331.0134, 13.8213, 33.7610),(0.1408, 3.3902, 2.5013),(339.3140, 24.5443, 332.9371),False,,1
3/29/2018 4:46:10 PM,(-0.0129, 3.8743, 2.2770),(15.1008, 19.9545, 352.4646),(-0.0579, 3.4184, 2.5315),(330.3089, 13.8014, 32.6011),(0.1370, 3.3902, 2.5028),(339.1933, 24.0936, 333.0271),False,,1
3/29/2018 4:46:10 PM,(-0.0156, 3.8747, 2.2773),(14.9061, 19.4326, 352.5499),(-0.0618, 3.4206, 2.5325),(330.0275, 13.4494, 32.7144),(0.1327, 3.3904, 2.5043),(339.0457, 23.6966, 333.0129),False,,1
3/29/2018 4:46:10 PM,(-0.0193, 3.8757, 2.2774),(14.5108, 18.6845, 352.6554),(-0.0660, 3.4238, 2.5321),(329.1152, 13.2506, 31.4897),(0.1279, 3.3914, 2.5055),(338.5128, 23.2618, 333.0572),False,,1
3/29/2018 4:46:10 PM,(-0.0246, 3.8777, 2.2761),(13.4817, 17.4577, 352.9744),(-0.0701, 3.4281, 2.5308),(327.7248, 13.1460, 30.3611),(0.1235, 3.3924, 2.5064),(337.9023, 22.9951, 331.9539),False,,1
3/29/2018 4:46:10 PM,(-0.0318, 3.8814, 2.2734),(11.6543, 15.5373, 353.4587),(-0.0753, 3.4333, 2.5290),(326.2749, 12.6258, 29.0788),(0.1194, 3.3944, 2.5075),(337.0222, 22.8708, 330.9614),False,,1
3/29/2018 4:46:11 PM,(-0.0402, 3.8859, 2.2683),(9.2118, 13.1653, 353.8851),(-0.0819, 3.4404, 2.5263),(324.3720, 11.4291, 28.6635),(0.1146, 3.3960, 2.5101),(336.4260, 22.4284, 330.6885),False,,1
