Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/28/2018 2:45:48 PM,0.0066, 3.5986, 2.4891,3.7523, 17.6820, 354.8841,0.0040, 3.2036, 2.7193,354.2348, 10.8496, 358.4251,0.1348, 3.2422, 2.6735,342.9779, 20.7614, 2.4847,False,,1
3/28/2018 2:45:48 PM,0.0067, 3.5987, 2.4887,3.7569, 17.6343, 354.8521,0.0041, 3.2033, 2.7191,354.1709, 10.8542, 358.2426,0.1352, 3.2423, 2.6735,342.9521, 20.8320, 2.4392,False,,1
3/28/2018 2:45:48 PM,0.0067, 3.5987, 2.4888,3.7173, 17.6305, 354.8049,0.0037, 3.2034, 2.7191,354.2163, 10.8267, 358.4475,0.1350, 3.2422, 2.6736,342.8948, 20.7758, 2.5019,False,,1
3/28/2018 2:45:48 PM,0.0069, 3.5985, 2.4891,3.8319, 17.6482, 354.8283,0.0038, 3.2032, 2.7195,354.2023, 10.7367, 358.2903,0.1355, 3.2419, 2.6735,343.0156, 20.8703, 2.4279,False,,1
3/28/2018 2:45:48 PM,0.0071, 3.5984, 2.4890,3.8021, 17.6484, 354.8438,0.0035, 3.2030, 2.7195,354.2453, 10.6683, 358.4370,0.1352, 3.2419, 2.6732,342.8882, 20.7024, 2.5073,False,,1
3/28/2018 2:45:48 PM,0.0072, 3.5983, 2.4896,3.8642, 17.6448, 354.8200,0.0035, 3.2027, 2.7199,354.3108, 10.6285, 358.4042,0.1356, 3.2413, 2.6732,343.0549, 20.8493, 2.4313,False,,1
3/28/2018 2:45:48 PM,0.0074, 3.5983, 2.4899,3.8648, 17.6529, 354.8317,0.0038, 3.2022, 2.7201,354.4641, 10.6466, 358.4562,0.1359, 3.2406, 2.6734,343.1880, 20.8322, 2.4266,False,,1
3/28/2018 2:45:48 PM,0.0075, 3.5983, 2.4900,3.8526, 17.6620, 354.8595,0.0041, 3.2022, 2.7202,354.3838, 10.7615, 358.3061,0.1361, 3.2406, 2.6733,343.0965, 20.8474, 2.5256,False,,1
3/28/2018 2:45:48 PM,0.0079, 3.5983, 2.4907,3.8830, 17.6679, 354.8492,0.0044, 3.2021, 2.7210,354.5128, 10.6751, 358.4424,0.1369, 3.2402, 2.6736,343.2902, 20.9865, 2.3012,False,,1
3/28/2018 2:45:49 PM,0.0083, 3.5982, 2.4909,3.8913, 17.6323, 354.8181,0.0047, 3.2021, 2.7211,354.4359, 10.6974, 358.3696,0.1372, 3.2404, 2.6737,343.0886, 21.0130, 2.4937,False,,1
