Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 5:36:39 PM,-0.0974, 3.4608, 2.3034,3.7697, 14.9749, 4.4557,-0.2195, 3.2946, 2.5400,338.7492, 351.1058, 112.3498,0.0467, 3.2135, 2.5574,356.6605, 20.3755, 281.7177,False,,1
3/29/2018 5:36:39 PM,-0.0973, 3.4607, 2.3038,3.8213, 15.0330, 4.5407,-0.2296, 3.3119, 2.5194,327.3016, 345.4611, 120.3550,0.0459, 3.2165, 2.5584,355.8998, 20.3045, 281.7612,False,,1
3/29/2018 5:36:39 PM,-0.0974, 3.4609, 2.3044,3.7998, 14.9792, 4.6293,-0.2404, 3.3241, 2.4967,317.5178, 337.7609, 129.7676,0.0455, 3.2192, 2.5585,355.1157, 20.3293, 281.9149,False,,1
3/29/2018 5:36:39 PM,-0.0976, 3.4609, 2.3044,3.7060, 14.8115, 4.6754,-0.2510, 3.3288, 2.4745,310.1045, 327.3419, 141.0992,0.0453, 3.2203, 2.5585,354.5292, 20.3164, 281.5145,False,,1
3/29/2018 5:36:39 PM,-0.0978, 3.4609, 2.3047,3.7994, 14.7057, 4.6542,-0.2592, 3.3307, 2.4580,306.5186, 316.8117, 150.8867,0.0450, 3.2202, 2.5598,354.6598, 20.2740, 281.2645,False,,1
3/29/2018 5:36:39 PM,-0.0978, 3.4608, 2.3057,3.8883, 14.6859, 4.7130,-0.2625, 3.3318, 2.4502,305.4580, 312.7149, 153.8448,0.0445, 3.2198, 2.5603,354.5212, 20.0151, 280.9766,False,,1
3/29/2018 5:36:39 PM,-0.0981, 3.4606, 2.3058,3.9325, 14.5479, 4.7746,-0.2638, 3.3322, 2.4472,305.1058, 311.2498, 155.2095,0.0434, 3.2201, 2.5611,354.4499, 19.7137, 280.3963,False,,1
3/29/2018 5:36:39 PM,-0.0984, 3.4610, 2.3064,3.8069, 14.3812, 4.7033,-0.2643, 3.3319, 2.4453,304.7766, 310.4861, 156.7696,0.0420, 3.2213, 2.5616,353.9595, 19.3470, 280.0012,False,,1
3/29/2018 5:36:39 PM,-0.0986, 3.4614, 2.3074,3.6364, 14.3191, 4.7986,-0.2642, 3.3310, 2.4428,304.3424, 309.1639, 158.9157,0.0416, 3.2220, 2.5620,353.7912, 19.2497, 280.1540,False,,1
3/29/2018 5:36:39 PM,-0.0988, 3.4620, 2.3083,3.4307, 14.3551, 4.8215,-0.2638, 3.3319, 2.4416,303.6898, 308.8308, 158.6649,0.0413, 3.2226, 2.5623,353.5632, 19.2111, 280.2021,False,,1
3/29/2018 5:36:39 PM,-0.0989, 3.4624, 2.3092,3.4055, 14.3813, 4.8459,-0.2612, 3.3333, 2.4429,303.0879, 310.4307, 156.1943,0.0418, 3.2229, 2.5630,353.4982, 19.4006, 280.2521,False,,1
3/29/2018 5:36:39 PM,-0.0991, 3.4626, 2.3098,3.3896, 14.3850, 4.7881,-0.2574, 3.3345, 2.4446,302.4048, 313.4577, 151.9911,0.0421, 3.2235, 2.5623,353.1592, 19.6286, 280.6613,False,,1
3/29/2018 5:36:39 PM,-0.0994, 3.4628, 2.3101,3.2924, 14.4003, 4.8419,-0.2537, 3.3355, 2.4466,301.9056, 316.3686, 148.5719,0.0419, 3.2269, 2.5609,351.7982, 19.9969, 281.3059,False,,1
3/29/2018 5:36:39 PM,-0.0993, 3.4631, 2.3110,3.1853, 14.4671, 4.8748,-0.2502, 3.3365, 2.4487,301.4211, 318.8881, 144.8561,0.0420, 3.2301, 2.5601,350.7598, 20.1754, 281.6177,False,,1
3/29/2018 5:36:39 PM,-0.0993, 3.4631, 2.3113,3.1258, 14.4721, 4.8679,-0.2492, 3.3364, 2.4502,301.5255, 320.1356, 143.8255,0.0422, 3.2324, 2.5585,349.6436, 20.6177, 282.1455,False,,1
3/29/2018 5:36:40 PM,-0.0993, 3.4635, 2.3116,2.9950, 14.4653, 4.8638,-0.2490, 3.3368, 2.4506,301.4468, 320.3257, 143.2650,0.0426, 3.2350, 2.5570,348.5269, 21.2000, 283.1939,False,,1
3/29/2018 5:36:40 PM,-0.0994, 3.4635, 2.3120,3.0040, 14.4946, 4.8606,-0.2474, 3.3379, 2.4513,301.2518, 321.5692, 140.6221,0.0427, 3.2365, 2.5555,347.6633, 21.6149, 284.0265,False,,1
3/29/2018 5:36:40 PM,-0.0994, 3.4633, 2.3120,3.0630, 14.5224, 4.8543,-0.2428, 3.3408, 2.4522,300.7670, 324.6775, 134.2872,0.0422, 3.2377, 2.5553,347.1678, 21.7154, 285.1745,False,,1
3/29/2018 5:36:40 PM,-0.0995, 3.4633, 2.3122,3.0681, 14.4903, 4.8213,-0.2367, 3.3425, 2.4534,300.2274, 329.1432, 127.8960,0.0418, 3.2392, 2.5549,346.3547, 22.0624, 286.1711,False,,1
3/29/2018 5:36:40 PM,-0.0997, 3.4635, 2.3124,3.0040, 14.3503, 4.8527,-0.2336, 3.3422, 2.4555,300.4626, 332.0289, 125.3778,0.0417, 3.2400, 2.5546,346.1466, 22.3606, 286.6656,False,,1
