Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 11:17:34 AM,0.1981, 3.5773, 2.3855,348.7117, 8.4104, 3.9167,0.1602, 3.4342, 2.6225,271.5384, 168.9675, 202.2200,0.3422, 3.4566, 2.5684,275.4225, 219.1877, 161.3359,False,,1
3/27/2018 11:17:34 AM,0.1979, 3.5772, 2.3851,348.7348, 8.4259, 4.0368,0.1587, 3.4350, 2.6223,272.0523, 175.6778, 195.1586,0.3413, 3.4562, 2.5679,275.5296, 223.8453, 156.7157,False,,1
3/27/2018 11:17:34 AM,0.1974, 3.5772, 2.3849,348.7427, 8.3660, 4.0443,0.1575, 3.4350, 2.6238,271.3868, 180.9301, 190.1549,0.3412, 3.4558, 2.5665,275.5454, 223.9924, 156.4729,False,,1
3/27/2018 11:17:34 AM,0.1970, 3.5773, 2.3851,348.8063, 8.3543, 4.0685,0.1565, 3.4348, 2.6260,271.1041, 189.7833, 181.2673,0.3421, 3.4559, 2.5656,275.2926, 221.7725, 158.5241,False,,1
3/27/2018 11:17:34 AM,0.1964, 3.5772, 2.3851,348.7874, 8.4060, 4.2083,0.1553, 3.4341, 2.6269,270.9702, 211.7673, 159.3500,0.3422, 3.4556, 2.5649,275.2339, 221.9369, 158.4121,False,,1
3/27/2018 11:17:34 AM,0.1957, 3.5771, 2.3850,348.8568, 8.4083, 4.3242,0.1553, 3.4339, 2.6269,270.8178, 222.2496, 148.9957,0.3422, 3.4556, 2.5642,275.1655, 222.3410, 157.9376,False,,1
3/27/2018 11:17:34 AM,0.1949, 3.5773, 2.3853,348.9113, 8.3246, 4.3913,0.1553, 3.4343, 2.6275,270.6793, 220.3909, 151.0166,0.3420, 3.4555, 2.5638,275.1195, 223.3405, 156.9006,False,,1
3/27/2018 11:17:34 AM,0.1947, 3.5774, 2.3851,348.9156, 8.2767, 4.4733,0.1551, 3.4344, 2.6270,270.8423, 229.0943, 142.3849,0.3417, 3.4556, 2.5630,275.2083, 223.9986, 156.2420,False,,1
3/27/2018 11:17:35 AM,0.1942, 3.5773, 2.3851,348.8649, 8.3742, 4.5159,0.1545, 3.4346, 2.6281,270.7858, 242.1550, 129.5222,0.3418, 3.4554, 2.5622,275.1172, 223.7079, 156.4190,False,,1
3/27/2018 11:17:35 AM,0.1940, 3.5771, 2.3851,348.8403, 8.4607, 4.5211,0.1543, 3.4342, 2.6284,270.8818, 256.2361, 115.5212,0.3424, 3.4553, 2.5617,275.0349, 221.9814, 158.1176,False,,1
