Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 3:36:13 PM,-0.0949, 3.5806, 2.3559,2.8377, 22.1810, 0.7215,-0.1181, 3.3210, 2.6191,328.5381, 358.2383, 4.9809,0.1332, 3.2807, 2.5120,341.7909, 44.0617, 4.5145,False,,1
3/29/2018 3:36:13 PM,-0.0936, 3.5793, 2.3550,3.4197, 23.2406, 0.9209,-0.1280, 3.3233, 2.6161,327.9635, 353.6604, 7.6794,0.1464, 3.2893, 2.5042,340.3503, 47.3843, 2.2307,False,,1
3/29/2018 3:36:14 PM,-0.0919, 3.5784, 2.3535,3.6835, 24.1147, 0.8711,-0.1377, 3.3258, 2.6127,327.1135, 349.5162, 10.0032,0.1648, 3.2991, 2.4896,337.9362, 54.3173, 2.3489,False,,1
3/29/2018 3:36:14 PM,-0.0908, 3.5780, 2.3529,3.8824, 24.9840, 0.8717,-0.1485, 3.3265, 2.6090,326.6438, 344.6535, 11.9290,0.1822, 3.3080, 2.4689,335.1274, 62.3063, 1.3765,False,,1
3/29/2018 3:36:14 PM,-0.0896, 3.5777, 2.3518,3.8923, 25.7335, 0.9406,-0.1553, 3.3266, 2.6089,326.7020, 341.8493, 13.1273,0.1964, 3.3130, 2.4503,334.5196, 69.8938, 359.3215,False,,1
3/29/2018 3:36:14 PM,-0.0889, 3.5780, 2.3513,3.7393, 26.2595, 1.0164,-0.1554, 3.3252, 2.6109,327.3272, 342.0491, 12.8038,0.2042, 3.3148, 2.4375,334.7498, 75.2698, 357.1223,False,,1
3/29/2018 3:36:14 PM,-0.0886, 3.5787, 2.3514,3.4179, 26.5191, 0.9474,-0.1514, 3.3236, 2.6120,327.7707, 343.7825, 11.9259,0.2056, 3.3134, 2.4351,335.3943, 76.2992, 356.5898,False,,1
3/29/2018 3:36:14 PM,-0.0884, 3.5795, 2.3505,2.8765, 26.5817, 0.8999,-0.1462, 3.3223, 2.6112,327.9511, 345.1905, 11.4943,0.2015, 3.3112, 2.4402,335.7898, 74.5689, 357.0326,False,,1
3/29/2018 3:36:14 PM,-0.0886, 3.5803, 2.3502,2.4645, 26.4924, 0.7738,-0.1402, 3.3226, 2.6095,327.4489, 347.2986, 10.8623,0.1943, 3.3082, 2.4505,336.2960, 71.3746, 358.1368,False,,1
3/29/2018 3:36:14 PM,-0.0890, 3.5813, 2.3503,2.0409, 26.3320, 0.6954,-0.1362, 3.3241, 2.6073,326.7830, 348.8696, 10.4366,0.1861, 3.3060, 2.4600,337.0651, 68.1930, 358.2704,False,,1
