Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 9:38:06 PM,(-0.1444, 3.8080, 2.2889),(350.5826, 18.2262, 355.6557),(-0.0869, 3.1229, 2.5793),(6.4448, 46.0142, 351.3934),(0.0929, 3.1364, 2.5036),(15.3945, 27.7816, 334.9547),False,,1
3/27/2018 9:38:06 PM,(-0.1412, 3.8084, 2.2908),(350.3623, 18.2378, 355.6008),(-0.0881, 3.1035, 2.5588),(11.3173, 47.2880, 359.7669),(0.0908, 3.1255, 2.4949),(19.8495, 27.4522, 333.9326),False,,1
3/27/2018 9:38:07 PM,(-0.1381, 3.8086, 2.2921),(350.3741, 18.4336, 355.1987),(-0.0882, 3.0872, 2.5429),(13.3958, 47.6757, 355.7417),(0.0883, 3.1195, 2.4905),(22.3808, 26.2258, 333.6813),False,,1
3/27/2018 9:38:07 PM,(-0.1353, 3.8082, 2.2925),(350.6862, 18.6409, 355.0106),(-0.0858, 3.0784, 2.5309),(14.6223, 47.5760, 353.1772),(0.0921, 3.1266, 2.4898),(18.2362, 28.4642, 335.4212),False,,1
3/27/2018 9:38:07 PM,(-0.1326, 3.8074, 2.2927),(351.1683, 18.7516, 354.9989),(-0.0801, 3.0814, 2.5319),(12.2824, 46.1205, 0.2578),(0.0969, 3.1357, 2.4881),(12.9166, 30.9319, 334.1629),False,,1
3/27/2018 9:38:07 PM,(-0.1300, 3.8067, 2.2927),(351.4749, 18.8562, 354.6220),(-0.0755, 3.0950, 2.5330),(7.6924, 45.6891, 5.6098),(0.0934, 3.1373, 2.4891),(13.6600, 29.0478, 333.8814),False,,1
3/27/2018 9:38:07 PM,(-0.1276, 3.8062, 2.2923),(351.7460, 18.9693, 354.2801),(-0.0684, 3.1007, 2.5319),(7.4147, 46.7259, 3.3087),(0.0894, 3.1448, 2.4919),(9.8038, 27.6795, 341.8302),False,,1
3/27/2018 9:38:07 PM,(-0.1259, 3.8059, 2.2914),(351.9619, 18.9741, 354.1750),(-0.0670, 3.1063, 2.5322),(4.9575, 44.6065, 0.0959),(0.0757, 3.1564, 2.4905),(359.8729, 23.9452, 358.7209),False,,1
3/27/2018 9:38:07 PM,(-0.1245, 3.8061, 2.2904),(351.9145, 18.8147, 354.1463),(-0.0683, 3.1088, 2.5299),(1.6780, 46.0113, 359.5516),(0.0676, 3.1576, 2.4845),(355.9284, 21.8981, 353.3521),False,,1
3/27/2018 9:38:07 PM,(-0.1231, 3.8064, 2.2899),(351.9110, 18.7061, 353.9996),(-0.0660, 3.1032, 2.5240),(0.2647, 51.9184, 1.2507),(0.0585, 3.1519, 2.4791),(356.8218, 20.3651, 359.2432),False,,1
3/27/2018 9:38:07 PM,(-0.1218, 3.8061, 2.2903),(352.0287, 18.3887, 354.0793),(-0.0680, 3.0904, 2.5192),(5.6184, 55.3309, 2.4178),(0.0546, 3.1398, 2.4731),(2.4135, 20.0939, 357.7077),False,,1
3/27/2018 9:38:07 PM,(-0.1210, 3.8056, 2.2911),(352.3486, 17.9752, 354.0562),(-0.0803, 3.0720, 2.5220),(11.9736, 50.2017, 359.5817),(0.0532, 3.1278, 2.4666),(7.5710, 17.6579, 353.9267),False,,1
3/27/2018 9:38:07 PM,(-0.1200, 3.8054, 2.2920),(352.6753, 17.4120, 354.0359),(-0.0852, 3.0646, 2.5219),(12.4934, 46.2302, 355.6239),(0.0514, 3.1232, 2.4614),(8.5391, 17.5700, 352.4374),False,,1
3/27/2018 9:38:07 PM,(-0.1190, 3.8056, 2.2936),(352.6682, 16.5865, 354.0760),(-0.0942, 3.0598, 2.5283),(17.3455, 41.8797, 7.1773),(0.0560, 3.1164, 2.4569),(11.9211, 18.2327, 350.2975),False,,1
3/27/2018 9:38:07 PM,(-0.1185, 3.8056, 2.2952),(352.7270, 15.3410, 353.9244),(-0.1018, 3.0621, 2.5354),(17.1760, 36.1523, 19.8646),(0.0583, 3.1136, 2.4501),(12.4518, 16.4910, 331.5399),False,,1
3/27/2018 9:38:07 PM,(-0.1192, 3.8060, 2.2968),(352.5581, 13.3316, 353.6982),(-0.1038, 3.0791, 2.5485),(12.1023, 31.7123, 20.3957),(0.0567, 3.1179, 2.4483),(9.6101, 15.2776, 330.4529),False,,1
3/27/2018 9:38:07 PM,(-0.1207, 3.8065, 2.2980),(352.5022, 10.8633, 353.3949),(-0.1066, 3.0897, 2.5523),(9.2479, 29.6837, 17.9224),(0.0629, 3.1223, 2.4432),(7.8182, 18.2897, 329.5014),False,,1
3/27/2018 9:38:07 PM,(-0.1222, 3.8065, 2.2986),(352.6297, 8.5096, 353.5007),(-0.1077, 3.1038, 2.5570),(5.3939, 29.0219, 20.1856),(0.0619, 3.1317, 2.4387),(2.7637, 17.9922, 332.4164),False,,1
3/27/2018 9:38:07 PM,(-0.1226, 3.8063, 2.2982),(352.7521, 6.7809, 353.9192),(-0.1104, 3.1163, 2.5617),(1.6206, 28.1843, 18.7927),(0.0546, 3.1345, 2.4306),(1.0500, 13.2192, 335.6296),False,,1
3/27/2018 9:38:07 PM,(-0.1220, 3.8059, 2.2970),(352.8352, 5.5528, 354.3604),(-0.1142, 3.1291, 2.5699),(358.3420, 26.0525, 16.3673),(0.0452, 3.1330, 2.4233),(3.3168, 6.9598, 338.2927),False,,1
3/27/2018 9:38:08 PM,(-0.1204, 3.8056, 2.2947),(352.9730, 4.7485, 354.5258),(-0.1208, 3.1383, 2.5734),(355.5833, 23.1600, 15.5870),(0.0422, 3.1279, 2.4141),(6.0539, 4.7689, 343.5706),False,,1
3/27/2018 9:38:08 PM,(-0.1178, 3.8054, 2.2915),(353.0380, 4.4702, 354.4526),(-0.1237, 3.1448, 2.5737),(354.5283, 21.8879, 16.0817),(0.0368, 3.1314, 2.4087),(3.8922, 0.0976, 346.1216),False,,1
3/27/2018 9:38:08 PM,(-0.1141, 3.8042, 2.2884),(353.1983, 4.4969, 354.5326),(-0.1254, 3.1554, 2.5733),(351.7478, 20.6372, 17.4163),(0.0356, 3.1354, 2.4129),(3.5187, 356.7740, 351.8932),False,,1
3/27/2018 9:38:08 PM,(-0.1092, 3.8016, 2.2851),(354.0924, 4.9438, 354.3655),(-0.1277, 3.1726, 2.5740),(347.7377, 19.4203, 17.2668),(0.0486, 3.1383, 2.4302),(4.6972, 0.8621, 350.3608),False,,1
3/27/2018 9:38:08 PM,(-0.1035, 3.7975, 2.2819),(355.6722, 5.8127, 353.8307),(-0.1290, 3.1916, 2.5773),(344.6496, 17.9475, 18.9240),(0.0640, 3.1599, 2.4521),(355.3689, 5.5004, 340.8087),False,,1
3/27/2018 9:38:08 PM,(-0.0967, 3.7961, 2.2795),(355.7172, 6.3937, 353.9399),(-0.1310, 3.2151, 2.5839),(341.7080, 15.4891, 21.2735),(0.0788, 3.1824, 2.4706),(348.0441, 9.5626, 339.1819),False,,1
3/27/2018 9:38:08 PM,(-0.0896, 3.7951, 2.2759),(356.0727, 6.8460, 353.5618),(-0.1316, 3.2453, 2.5872),(336.2516, 14.6733, 21.9351),(0.0883, 3.2089, 2.4906),(340.1637, 11.1804, 339.9040),False,,1
3/27/2018 9:38:08 PM,(-0.0815, 3.7959, 2.2731),(355.2961, 7.3982, 353.6450),(-0.1310, 3.2790, 2.5865),(329.5489, 14.8844, 20.2393),(0.0931, 3.2388, 2.5091),(333.9756, 12.0475, 336.7479),False,,1
3/27/2018 9:38:08 PM,(-0.0732, 3.7981, 2.2720),(353.1498, 8.6783, 354.8793),(-0.1323, 3.3104, 2.5862),(324.3055, 13.7120, 18.2577),(0.0935, 3.2665, 2.5230),(328.0370, 12.1373, 337.0635),False,,1
3/27/2018 9:38:08 PM,(-0.0675, 3.8018, 2.2703),(350.9290, 10.0649, 355.8918),(-0.1345, 3.3376, 2.5860),(320.2454, 12.0662, 18.1943),(0.0931, 3.2927, 2.5322),(322.1317, 15.0957, 337.9408),False,,1
3/27/2018 9:38:08 PM,(-0.0653, 3.8049, 2.2675),(349.5135, 11.2346, 355.2942),(-0.1384, 3.3614, 2.5846),(316.4708, 9.5905, 19.1032),(0.0978, 3.3145, 2.5360),(319.1964, 21.6508, 332.0709),False,,1
3/27/2018 9:38:08 PM,(-0.0660, 3.8065, 2.2650),(348.3397, 11.4561, 354.6494),(-0.1398, 3.3798, 2.5829),(312.6893, 8.7546, 18.9154),(0.1011, 3.3340, 2.5394),(316.8632, 25.7692, 324.0082),False,,1
3/27/2018 9:38:08 PM,(-0.0688, 3.8087, 2.2641),(346.7891, 11.4491, 354.3925),(-0.1407, 3.3915, 2.5842),(310.2168, 7.5069, 19.8121),(0.0965, 3.3482, 2.5448),(313.7258, 24.3652, 327.1256),False,,1
3/27/2018 9:38:08 PM,(-0.0725, 3.8136, 2.2655),(345.5648, 11.3598, 353.8755),(-0.1387, 3.4005, 2.5886),(308.0602, 7.7319, 18.9043),(0.0913, 3.3606, 2.5486),(308.5300, 21.9519, 330.9149),False,,1
3/27/2018 9:38:08 PM,(-0.0769, 3.8130, 2.2678),(345.6174, 10.6776, 354.0035),(-0.1366, 3.4098, 2.5974),(307.8110, 8.6704, 18.8494),(0.0929, 3.3672, 2.5605),(312.5065, 21.8408, 333.7324),False,,1
3/27/2018 9:38:08 PM,(-0.0808, 3.8096, 2.2711),(347.1230, 9.8674, 353.8082),(-0.1366, 3.4215, 2.6043),(306.0013, 8.9025, 19.0322),(0.0909, 3.3768, 2.5717),(313.8836, 19.9443, 335.1810),False,,1
3/27/2018 9:38:08 PM,(-0.0843, 3.8082, 2.2756),(348.3641, 9.2994, 352.9653),(-0.1377, 3.4336, 2.6111),(303.4577, 9.1884, 17.3735),(0.0845, 3.3926, 2.5808),(312.4363, 17.8639, 336.7454),False,,1
3/27/2018 9:38:08 PM,(-0.0874, 3.8105, 2.2805),(347.1544, 8.9004, 353.4413),(-0.1415, 3.4440, 2.6205),(302.6174, 7.2562, 18.9014),(0.0804, 3.4122, 2.5861),(310.7920, 19.1009, 333.3127),False,,1
3/27/2018 9:38:09 PM,(-0.0907, 3.8099, 2.2842),(347.4333, 8.6236, 353.7076),(-0.1456, 3.4528, 2.6242),(301.6588, 6.0377, 20.0138),(0.0748, 3.4330, 2.5859),(307.9999, 19.6228, 331.8699),False,,1
3/27/2018 9:38:09 PM,(-0.0930, 3.8093, 2.2879),(348.1591, 8.7248, 353.6053),(-0.1498, 3.4634, 2.6220),(299.4373, 5.1423, 20.0638),(0.0700, 3.4570, 2.5796),(304.3896, 22.7403, 328.7339),False,,1
3/27/2018 9:38:09 PM,(-0.0943, 3.8089, 2.2921),(349.0114, 9.3019, 353.4266),(-0.1576, 3.4781, 2.6177),(297.8014, 359.2228, 25.4309),(0.0710, 3.4820, 2.5685),(302.1985, 32.3309, 318.6584),False,,1
3/27/2018 9:38:09 PM,(-0.0952, 3.8085, 2.2962),(349.8845, 10.0148, 353.3182),(-0.1637, 3.4933, 2.6122),(296.2448, 353.5978, 30.6041),(0.0729, 3.5014, 2.5611),(302.3766, 38.8770, 311.9474),False,,1
3/27/2018 9:38:09 PM,(-0.0965, 3.8071, 2.2993),(350.9581, 10.4900, 353.2679),(-0.1674, 3.5052, 2.6095),(295.2075, 350.1036, 34.1292),(0.0735, 3.5138, 2.5597),(302.8683, 40.1274, 311.7457),False,,1
3/27/2018 9:38:09 PM,(-0.0986, 3.8048, 2.3013),(352.5090, 10.5621, 353.2578),(-0.1663, 3.5098, 2.6108),(295.8279, 352.4254, 31.9851),(0.0734, 3.5148, 2.5656),(305.5414, 35.9750, 317.1581),False,,1
3/27/2018 9:38:09 PM,(-0.1007, 3.8020, 2.3035),(354.8905, 10.5280, 352.9832),(-0.1640, 3.5063, 2.6144),(297.9316, 355.4252, 29.9829),(0.0748, 3.5089, 2.5700),(306.9683, 33.0801, 320.9464),False,,1
3/27/2018 9:38:09 PM,(-0.1026, 3.7983, 2.3064),(357.0433, 10.5825, 352.9343),(-0.1639, 3.4984, 2.6166),(299.6670, 356.3614, 28.8264),(0.0721, 3.4961, 2.5758),(307.7521, 26.9306, 330.3766),False,,1
3/27/2018 9:38:09 PM,(-0.1040, 3.7946, 2.3105),(359.1279, 10.5145, 353.0817),(-0.1650, 3.4874, 2.6177),(301.8768, 357.5236, 27.0794),(0.0750, 3.4775, 2.5798),(311.9609, 26.1126, 329.9440),False,,1
3/27/2018 9:38:09 PM,(-0.1057, 3.7900, 2.3162),(1.1487, 10.4305, 352.9629),(-0.1670, 3.4738, 2.6178),(304.9877, 358.8178, 26.6851),(0.0731, 3.4555, 2.5818),(315.5577, 22.7458, 333.5677),False,,1
3/27/2018 9:38:09 PM,(-0.1078, 3.7871, 2.3224),(2.1199, 9.8268, 353.4536),(-0.1726, 3.4586, 2.6149),(306.9365, 359.3420, 24.7661),(0.0697, 3.4314, 2.5807),(318.7295, 20.4835, 335.9567),False,,1
3/27/2018 9:38:09 PM,(-0.1105, 3.7839, 2.3291),(3.2186, 8.9251, 353.4541),(-0.1823, 3.4394, 2.6122),(308.9356, 359.4831, 22.5212),(0.0642, 3.4028, 2.5790),(321.9907, 17.4814, 338.1016),False,,1
3/27/2018 9:38:09 PM,(-0.1136, 3.7826, 2.3351),(4.1781, 7.7504, 353.3094),(-0.1962, 3.4167, 2.6128),(312.7932, 359.3409, 21.5794),(0.0553, 3.3733, 2.5800),(326.3228, 14.2633, 340.9546),False,,1
3/27/2018 9:38:09 PM,(-0.1171, 3.7826, 2.3403),(4.8471, 6.5464, 353.4612),(-0.2175, 3.3945, 2.6129),(316.2095, 357.1091, 20.5139),(0.0466, 3.3448, 2.5754),(330.4276, 12.2795, 342.8362),False,,1
3/27/2018 9:38:09 PM,(-0.1209, 3.7830, 2.3460),(4.9665, 5.2223, 353.8316),(-0.2408, 3.3737, 2.6116),(319.3243, 355.2604, 18.8813),(0.0376, 3.3212, 2.5683),(333.7313, 10.0348, 343.5954),False,,1
3/27/2018 9:38:09 PM,(-0.1255, 3.7809, 2.3532),(5.7749, 2.9699, 354.2242),(-0.2736, 3.3523, 2.6104),(323.6111, 351.0262, 20.0057),(0.0288, 3.2994, 2.5626),(337.2839, 8.2344, 343.1506),False,,1
3/27/2018 9:38:09 PM,(-0.1301, 3.7766, 2.3598),(7.1129, 0.2383, 353.8331),(-0.2995, 3.3412, 2.6053),(324.7369, 348.2572, 18.8472),(0.0193, 3.2909, 2.5627),(338.1653, 5.7948, 344.1711),False,,1
3/27/2018 9:38:09 PM,(-0.1348, 3.7725, 2.3665),(8.1778, 357.0458, 353.2070),(-0.3239, 3.3368, 2.5992),(325.2479, 345.0473, 18.6320),(0.0088, 3.2887, 2.5663),(337.9483, 3.0989, 345.2107),False,,1
3/27/2018 9:38:10 PM,(-0.1404, 3.7689, 2.3728),(9.0487, 353.6543, 352.7363),(-0.3461, 3.3336, 2.5893),(325.0380, 342.0552, 17.8818),(-0.0040, 3.2892, 2.5728),(337.1127, 0.1647, 346.2895),False,,1
3/27/2018 9:38:10 PM,(-0.1456, 3.7650, 2.3787),(10.0097, 350.3913, 352.4378),(-0.3641, 3.3291, 2.5800),(325.4424, 340.2721, 16.7453),(-0.0194, 3.2903, 2.5806),(336.3140, 357.1125, 347.1422),False,,1
3/27/2018 9:38:10 PM,(-0.1497, 3.7611, 2.3831),(10.8395, 347.6972, 351.9980),(-0.3795, 3.3242, 2.5709),(325.9664, 338.1614, 16.1128),(-0.0369, 3.2915, 2.5887),(335.8932, 354.0884, 347.3111),False,,1
3/27/2018 9:38:10 PM,(0.2609, 3.4504, 2.3742),(12.0308, 345.6702, 350.6569),(0.0143, 3.0114, 2.5429),(327.3697, 337.1326, 14.4778),(0.3505, 2.9798, 2.5735),(336.0313, 351.1914, 346.5119),False,,1
3/27/2018 9:38:10 PM,(0.4732, 3.5213, 2.5905),(14.4152, 344.0762, 346.1469),(0.1924, 3.0869, 2.7240),(329.9256, 338.6737, 8.8893),(0.5189, 3.0375, 2.7584),(338.4960, 350.2342, 342.0596),False,,1
3/27/2018 9:38:10 PM,(0.6165, 3.5553, 1.7327),(15.6791, 343.6843, 343.3716),(0.3128, 3.1252, 1.8455),(331.7078, 339.4643, 5.9780),(0.6315, 3.0658, 1.8795),(339.8542, 349.9640, 338.6221),False,,1
