Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 10:18:09 AM,(0.1895, 3.6573, 2.3775),(350.4690, 10.3246, 1.2652),(0.1450, 3.4730, 2.6167),(291.2346, 38.0431, 321.1104),(0.3171, 3.4121, 2.6030),(301.6667, 348.2331, 42.0828),False,,1
3/27/2018 10:18:09 AM,(0.1893, 3.6587, 2.3792),(349.8207, 10.7451, 1.2132),(0.1397, 3.5100, 2.5928),(281.7129, 67.8429, 284.6204),(0.3352, 3.4626, 2.5767),(290.1218, 4.1908, 21.6999),False,,1
3/27/2018 10:18:09 AM,(0.1910, 3.6613, 2.3806),(348.5784, 12.1223, 1.2931),(0.1341, 3.5274, 2.5615),(281.3379, 136.5243, 216.4702),(0.3282, 3.4980, 2.5211),(273.6077, 287.1221, 97.4597),False,,1
3/27/2018 10:18:10 AM,(0.1964, 3.6614, 2.3792),(348.6133, 15.9765, 0.5305),(0.1327, 3.5262, 2.5489),(286.1944, 159.2650, 196.7379),(0.3226, 3.5056, 2.4841),(281.9759, 213.6014, 171.5474),False,,1
3/27/2018 10:18:10 AM,(0.2024, 3.6613, 2.3752),(348.3165, 20.3676, 359.8714),(0.1375, 3.5137, 2.5551),(280.9523, 158.8414, 198.8967),(0.3256, 3.4959, 2.4820),(283.3622, 202.9911, 183.9989),False,,1
3/27/2018 10:18:10 AM,(0.2057, 3.6605, 2.3712),(348.1526, 23.1782, 359.4310),(0.1483, 3.4935, 2.5812),(276.1228, 61.3412, 302.4717),(0.3323, 3.4740, 2.4998),(279.8094, 200.1149, 186.5863),False,,1
3/27/2018 10:18:10 AM,(0.2066, 3.6603, 2.3685),(348.1370, 24.5340, 359.4266),(0.1572, 3.4770, 2.6037),(285.3398, 27.0033, 342.9447),(0.3405, 3.4480, 2.5296),(277.2486, 339.7717, 49.2432),False,,1
3/27/2018 10:18:10 AM,(0.2058, 3.6602, 2.3674),(347.8551, 24.6746, 359.4420),(0.1576, 3.4766, 2.6030),(285.3583, 22.7687, 351.5324),(0.3572, 3.4430, 2.5299),(284.4073, 24.8768, 355.7057),False,,1
3/27/2018 10:18:10 AM,(0.2046, 3.6607, 2.3680),(347.5898, 24.0168, 359.5773),(0.1608, 3.4824, 2.5934),(281.7027, 34.3507, 340.0598),(0.3565, 3.4491, 2.5131),(278.6482, 30.1903, 353.0817),False,,1
3/27/2018 10:18:10 AM,(0.2031, 3.6598, 2.3682),(347.9885, 23.1109, 0.0998),(0.1675, 3.4857, 2.5898),(282.0228, 42.2732, 334.3544),(0.3507, 3.4499, 2.5074),(276.8368, 3.9329, 20.5129),False,,1
