Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 3:19:44 PM,(0.0861, 3.4289, 2.4638),(5.1195, 353.8552, 3.9086),(0.1655, 3.2612, 2.6543),(310.0467, 5.6969, 341.4749),(-0.0187, 3.2590, 2.6382),(312.6513, 336.6548, 15.3726),False,,1
3/27/2018 3:19:44 PM,(0.0857, 3.4288, 2.4635),(5.2891, 353.7497, 4.0288),(0.1652, 3.2609, 2.6538),(309.9907, 5.4408, 341.8675),(-0.0190, 3.2595, 2.6379),(312.6075, 336.6417, 15.2580),False,,1
3/27/2018 3:19:44 PM,(0.0851, 3.4285, 2.4633),(5.3298, 353.6054, 4.0410),(0.1645, 3.2605, 2.6535),(310.1454, 5.3872, 341.7430),(-0.0191, 3.2594, 2.6377),(312.6702, 336.6765, 15.2714),False,,1
3/27/2018 3:19:44 PM,(0.0849, 3.4284, 2.4630),(5.4070, 353.4341, 4.0690),(0.1638, 3.2604, 2.6533),(310.2367, 5.3215, 341.5566),(-0.0185, 3.2591, 2.6380),(312.7475, 336.9336, 15.1077),False,,1
3/27/2018 3:19:44 PM,(0.0848, 3.4286, 2.4629),(5.3035, 353.3784, 4.0249),(0.1632, 3.2606, 2.6530),(310.2281, 5.2909, 341.3134),(-0.0184, 3.2588, 2.6380),(312.9436, 337.0906, 15.0805),False,,1
3/27/2018 3:19:44 PM,(0.0847, 3.4287, 2.4629),(5.3509, 353.3587, 4.0937),(0.1625, 3.2607, 2.6531),(310.2751, 5.1914, 341.2149),(-0.0183, 3.2585, 2.6381),(312.9961, 337.2026, 14.9351),False,,1
3/27/2018 3:19:44 PM,(0.0848, 3.4285, 2.4633),(5.4148, 353.2726, 4.0774),(0.1622, 3.2607, 2.6533),(310.3121, 5.1881, 340.9395),(-0.0179, 3.2586, 2.6385),(313.0402, 337.5299, 14.8125),False,,1
3/27/2018 3:19:44 PM,(0.0850, 3.4283, 2.4637),(5.5174, 353.1821, 4.0210),(0.1623, 3.2604, 2.6535),(310.3386, 5.2723, 340.9378),(-0.0175, 3.2586, 2.6386),(313.0265, 337.5752, 14.7004),False,,1
3/27/2018 3:19:44 PM,(0.0852, 3.4282, 2.4639),(5.6251, 353.1931, 3.9864),(0.1629, 3.2604, 2.6537),(310.3638, 5.4303, 340.8045),(-0.0168, 3.2584, 2.6391),(313.0873, 337.9864, 14.3990),False,,1
3/27/2018 3:19:44 PM,(0.0855, 3.4282, 2.4643),(5.6077, 353.2205, 4.0030),(0.1634, 3.2604, 2.6540),(310.2897, 5.4149, 341.0278),(-0.0158, 3.2585, 2.6397),(313.0452, 338.3199, 14.1525),False,,1
3/27/2018 3:19:44 PM,(0.0857, 3.4283, 2.4646),(5.5742, 353.2418, 3.9722),(0.1642, 3.2599, 2.6551),(310.4542, 5.6047, 341.3951),(-0.0150, 3.2582, 2.6403),(313.1008, 338.6598, 13.8912),False,,1
3/27/2018 3:19:44 PM,(0.0860, 3.4284, 2.4648),(5.5679, 353.3194, 3.8947),(0.1662, 3.2578, 2.6577),(311.0349, 5.9598, 342.3762),(-0.0142, 3.2571, 2.6414),(313.2034, 339.1266, 13.3735),False,,1
3/27/2018 3:19:44 PM,(0.0863, 3.4283, 2.4649),(5.6305, 353.3738, 3.9294),(0.1704, 3.2543, 2.6641),(312.5294, 6.6061, 343.6424),(-0.0152, 3.2537, 2.6446),(314.0910, 339.5471, 12.5495),False,,1
3/27/2018 3:19:44 PM,(0.0867, 3.4281, 2.4651),(5.7372, 353.4171, 3.8699),(0.1786, 3.2497, 2.6731),(314.0693, 6.8615, 345.8522),(-0.0195, 3.2461, 2.6529),(316.8223, 340.2267, 11.5652),False,,1
3/27/2018 3:19:44 PM,(0.0870, 3.4281, 2.4651),(5.8084, 353.3774, 3.8402),(0.1926, 3.2457, 2.6820),(315.6330, 9.3432, 346.5550),(-0.0286, 3.2375, 2.6599),(318.9116, 338.9568, 10.4053),False,,1
3/27/2018 3:19:44 PM,(0.0872, 3.4282, 2.4657),(5.8265, 353.3741, 3.8644),(0.2074, 3.2439, 2.6911),(316.9920, 12.7513, 346.7113),(-0.0413, 3.2299, 2.6679),(322.1624, 336.8563, 9.9576),False,,1
3/27/2018 3:19:44 PM,(0.0876, 3.4281, 2.4663),(5.8695, 353.3931, 3.8421),(0.2201, 3.2420, 2.6948),(317.7396, 15.7885, 346.5025),(-0.0554, 3.2247, 2.6715),(324.2777, 333.6080, 11.0989),False,,1
3/27/2018 3:19:45 PM,(0.0882, 3.4281, 2.4668),(5.9029, 353.4976, 3.8094),(0.2281, 3.2410, 2.6967),(318.1274, 17.8829, 347.0187),(-0.0665, 3.2221, 2.6738),(325.2925, 330.8811, 9.9184),False,,1
3/27/2018 3:19:45 PM,(0.0888, 3.4283, 2.4671),(5.8391, 353.6293, 3.7433),(0.2296, 3.2409, 2.6972),(318.2410, 17.9216, 347.1620),(-0.0737, 3.2206, 2.6760),(326.2219, 329.2616, 9.7255),False,,1
3/27/2018 3:19:45 PM,(0.0895, 3.4287, 2.4673),(5.6650, 353.7272, 3.7688),(0.2265, 3.2410, 2.6975),(318.2619, 17.0155, 347.4382),(-0.0771, 3.2203, 2.6775),(326.3481, 329.0811, 9.6311),False,,1
3/27/2018 3:19:45 PM,(0.0901, 3.4288, 2.4674),(5.5517, 353.7693, 3.7124),(0.2194, 3.2408, 2.6973),(317.8367, 14.7664, 349.3018),(-0.0793, 3.2215, 2.6786),(326.0947, 328.8976, 9.2616),False,,1
3/27/2018 3:19:45 PM,(0.0904, 3.4291, 2.4673),(5.3444, 353.6922, 3.6366),(0.2127, 3.2395, 2.6970),(317.9599, 12.5984, 350.0342),(-0.0820, 3.2229, 2.6793),(325.7148, 328.6045, 8.4321),False,,1
3/27/2018 3:19:45 PM,(0.0906, 3.4298, 2.4670),(4.9628, 353.3907, 3.5884),(0.2086, 3.2385, 2.6972),(317.9826, 11.0911, 351.2217),(-0.0866, 3.2231, 2.6794),(325.6013, 327.8526, 7.4030),False,,1
3/27/2018 3:19:45 PM,(0.0905, 3.4306, 2.4669),(4.4241, 352.9059, 3.4319),(0.2105, 3.2380, 2.6977),(317.9934, 11.7010, 351.2235),(-0.0948, 3.2223, 2.6788),(325.8284, 326.2610, 6.9542),False,,1
