Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 10:50:02 AM,-0.1145, 3.5850, 2.2607,349.1184, 19.9322, 0.9506,-0.0933, 3.1712, 2.5259,358.3005, 8.9261, 350.8297,0.0064, 3.1423, 2.4725,0.0783, 25.7273, 0.7916,False,,1
3/29/2018 10:50:03 AM,-0.1142, 3.5851, 2.2612,349.0578, 20.0783, 0.8720,-0.0928, 3.1703, 2.5260,358.5373, 8.9958, 350.7887,0.0072, 3.1420, 2.4730,0.1711, 25.9959, 0.7596,False,,1
3/29/2018 10:50:03 AM,-0.1139, 3.5850, 2.2617,349.0966, 20.1480, 0.7528,-0.0927, 3.1694, 2.5267,358.8231, 9.0620, 350.7935,0.0071, 3.1407, 2.4733,0.3850, 25.9425, 0.7804,False,,1
3/29/2018 10:50:03 AM,-0.1138, 3.5851, 2.2624,349.1516, 20.1168, 0.6675,-0.0935, 3.1694, 2.5272,358.8625, 8.9658, 350.7741,0.0061, 3.1404, 2.4739,0.5078, 25.8231, 0.8007,False,,1
3/29/2018 10:50:03 AM,-0.1136, 3.5850, 2.2631,349.1984, 20.0093, 0.6609,-0.0941, 3.1696, 2.5279,358.9232, 8.9070, 350.7240,0.0051, 3.1403, 2.4743,0.4898, 25.5748, 0.8330,False,,1
3/29/2018 10:50:03 AM,-0.1134, 3.5850, 2.2637,349.2468, 19.8852, 0.5715,-0.0946, 3.1699, 2.5287,358.8509, 8.7678, 350.6102,0.0050, 3.1404, 2.4754,0.4974, 25.4859, 0.7239,False,,1
3/29/2018 10:50:03 AM,-0.1135, 3.5851, 2.2642,349.2356, 19.7839, 0.5485,-0.0954, 3.1701, 2.5293,358.8354, 8.6851, 350.5514,0.0043, 3.1402, 2.4757,0.5114, 25.3434, 0.7850,False,,1
3/29/2018 10:50:03 AM,-0.1134, 3.5851, 2.2643,349.1385, 19.7476, 0.4601,-0.0954, 3.1695, 2.5297,359.1526, 8.6160, 350.3524,0.0041, 3.1397, 2.4758,0.5338, 25.2549, 0.8627,False,,1
3/29/2018 10:50:03 AM,-0.1136, 3.5857, 2.2641,348.8796, 19.7575, 0.2878,-0.0956, 3.1692, 2.5297,359.4949, 8.5560, 350.6237,0.0039, 3.1398, 2.4763,0.6762, 25.1734, 0.9095,False,,1
3/29/2018 10:50:03 AM,-0.1138, 3.5863, 2.2639,348.4185, 19.7571, 0.2563,-0.0954, 3.1690, 2.5304,359.5877, 8.5916, 350.4042,0.0035, 3.1399, 2.4768,0.5832, 24.9899, 0.9361,False,,1
3/29/2018 10:50:03 AM,-0.1143, 3.5872, 2.2627,347.8572, 19.7135, 0.2499,-0.0965, 3.1693, 2.5308,359.6883, 8.2977, 350.4756,0.0030, 3.1404, 2.4762,0.4512, 24.8839, 0.9310,False,,1
3/29/2018 10:50:03 AM,-0.1146, 3.5879, 2.2619,347.2263, 19.6799, 0.2765,-0.0977, 3.1697, 2.5329,359.6982, 8.0198, 350.5092,0.0030, 3.1410, 2.4770,0.3732, 24.7250, 0.9527,False,,1
3/29/2018 10:50:03 AM,-0.1151, 3.5885, 2.2607,346.6167, 19.6214, 0.2551,-0.1003, 3.1719, 2.5358,359.2538, 7.3530, 350.2895,0.0030, 3.1417, 2.4769,0.1345, 24.6923, 0.8187,False,,1
3/29/2018 10:50:03 AM,-0.1155, 3.5891, 2.2598,346.2065, 19.5423, 0.3368,-0.1037, 3.1742, 2.5391,358.8548, 6.3096, 350.2035,0.0036, 3.1420, 2.4765,0.0946, 24.7410, 0.4411,False,,1
3/29/2018 10:50:03 AM,-0.1160, 3.5893, 2.2591,346.0016, 19.4157, 0.3593,-0.1074, 3.1765, 2.5426,358.5674, 5.2976, 350.1587,0.0031, 3.1426, 2.4763,359.9607, 24.6219, -0.0047,False,,1
3/29/2018 10:50:03 AM,-0.1160, 3.5895, 2.2589,346.0174, 19.3057, 0.2528,-0.1104, 3.1781, 2.5450,358.4057, 4.2046, 349.9215,0.0027, 3.1437, 2.4758,359.6797, 24.3571, 359.9484,False,,1
3/29/2018 10:50:03 AM,-0.1159, 3.5891, 2.2585,346.2619, 19.3242, 0.1458,-0.1137, 3.1776, 2.5464,358.6547, 2.9530, 349.9910,0.0022, 3.1450, 2.4745,359.1778, 24.1708, 358.8591,False,,1
3/29/2018 10:50:03 AM,-0.1156, 3.5888, 2.2584,346.5532, 19.4301, 0.1191,-0.1160, 3.1763, 2.5477,359.3058, 2.0956, 349.9654,0.0014, 3.1461, 2.4741,358.8524, 23.9141, 359.3758,False,,1
3/29/2018 10:50:03 AM,-0.1154, 3.5886, 2.2583,346.7929, 19.5337, 0.0197,-0.1162, 3.1727, 2.5476,0.2759, 2.1219, 349.7549,0.0011, 3.1459, 2.4731,358.8188, 23.8636, 359.2747,False,,1
3/29/2018 10:50:04 AM,-0.1153, 3.5884, 2.2581,346.9034, 19.5388, 359.8893,-0.1145, 3.1660, 2.5463,2.2062, 2.8789, 349.6356,0.0013, 3.1461, 2.4726,358.6457, 24.0036, 358.7155,False,,1
