Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/28/2018 2:35:05 PM,(-0.1211, 3.5844, 2.4491),(6.7407, 16.5163, 353.6750),(-0.1013, 3.1775, 2.6280),(341.1621, 30.0611, 346.8439),(0.0151, 3.0508, 2.6141),(22.6147, 19.6727, 3.9488),False,,1
3/28/2018 2:35:05 PM,(-0.1214, 3.5842, 2.4490),(6.7972, 16.6335, 353.6527),(-0.1016, 3.1776, 2.6279),(341.1744, 30.0620, 346.9165),(0.0152, 3.0519, 2.6148),(22.3868, 19.9482, 4.1615),False,,1
3/28/2018 2:35:05 PM,(-0.1214, 3.5840, 2.4487),(6.7368, 16.6880, 353.7058),(-0.1009, 3.1775, 2.6276),(341.2025, 30.3056, 346.7687),(0.0155, 3.0525, 2.6149),(22.2249, 20.0278, 4.1863),False,,1
3/28/2018 2:35:05 PM,(-0.1216, 3.5839, 2.4482),(6.8138, 16.6857, 353.6725),(-0.0998, 3.1777, 2.6270),(341.2105, 30.6360, 346.7429),(0.0148, 3.0531, 2.6149),(22.0567, 19.7740, 4.1201),False,,1
3/28/2018 2:35:05 PM,(-0.1218, 3.5840, 2.4482),(6.7682, 16.7129, 353.6053),(-0.0991, 3.1785, 2.6265),(341.1472, 30.8430, 346.8248),(0.0135, 3.0537, 2.6157),(22.1169, 19.6065, 3.9618),False,,1
3/28/2018 2:35:05 PM,(-0.1220, 3.5838, 2.4478),(6.8004, 16.7846, 353.6309),(-0.0982, 3.1791, 2.6261),(340.9747, 31.2178, 346.7209),(0.0127, 3.0538, 2.6162),(22.1948, 19.5778, 3.9973),False,,1
3/28/2018 2:35:05 PM,(-0.1222, 3.5837, 2.4479),(6.8047, 16.8400, 353.5956),(-0.0981, 3.1789, 2.6268),(341.0662, 31.2306, 346.7975),(0.0123, 3.0539, 2.6165),(22.1765, 19.6397, 3.9393),False,,1
3/28/2018 2:35:05 PM,(-0.1223, 3.5837, 2.4484),(6.8473, 16.8538, 353.5959),(-0.0985, 3.1790, 2.6274),(341.0048, 31.0886, 346.8210),(0.0122, 3.0544, 2.6168),(22.1796, 19.6533, 3.9341),False,,1
3/28/2018 2:35:05 PM,(-0.1225, 3.5836, 2.4487),(6.8924, 16.8428, 353.6254),(-0.0992, 3.1789, 2.6277),(341.0289, 31.0753, 346.8932),(0.0117, 3.0547, 2.6171),(22.0140, 19.5941, 4.1155),False,,1
3/28/2018 2:35:05 PM,(-0.1229, 3.5835, 2.4492),(6.8701, 16.8329, 353.6603),(-0.1003, 3.1785, 2.6282),(341.0898, 30.8370, 346.9109),(0.0106, 3.0542, 2.6168),(22.0349, 19.4563, 4.7014),False,,1
3/28/2018 2:35:05 PM,(-0.1233, 3.5835, 2.4499),(6.9425, 16.7783, 353.6478),(-0.1007, 3.1782, 2.6290),(341.2496, 30.7088, 346.9115),(0.0071, 3.0524, 2.6159),(22.4655, 18.1308, 4.2445),False,,1
3/28/2018 2:35:05 PM,(-0.1239, 3.5842, 2.4502),(6.5937, 16.7870, 353.5613),(-0.1014, 3.1795, 2.6291),(340.9035, 30.7080, 347.0178),(0.0007, 3.0505, 2.6152),(23.1081, 16.1283, 4.4769),False,,1
3/28/2018 2:35:05 PM,(-0.1247, 3.5846, 2.4505),(6.3914, 16.7834, 353.7079),(-0.1020, 3.1811, 2.6300),(340.6805, 30.5365, 346.9786),(-0.0076, 3.0478, 2.6143),(24.0349, 12.9444, 3.2008),False,,1
3/28/2018 2:35:05 PM,(-0.1258, 3.5847, 2.4512),(6.2212, 16.6413, 353.8736),(-0.1032, 3.1831, 2.6318),(340.3497, 30.1689, 347.2948),(-0.0133, 3.0464, 2.6130),(24.3756, 11.4899, 2.7124),False,,1
3/28/2018 2:35:06 PM,(-0.1270, 3.5844, 2.4515),(6.4243, 16.1521, 353.8930),(-0.1036, 3.1854, 2.6329),(339.9728, 29.9185, 347.3457),(-0.0179, 3.0462, 2.6122),(24.1305, 10.1417, 2.7410),False,,1
3/28/2018 2:35:06 PM,(-0.1281, 3.5845, 2.4530),(6.5794, 15.8725, 353.9059),(-0.1048, 3.1871, 2.6337),(339.7365, 29.6915, 347.7626),(-0.0208, 3.0451, 2.6110),(24.4988, 9.5402, 2.3359),False,,1
3/28/2018 2:35:06 PM,(-0.1289, 3.5848, 2.4546),(6.3321, 15.4814, 353.8326),(-0.1066, 3.1881, 2.6353),(339.6302, 29.1666, 348.2614),(-0.0222, 3.0442, 2.6100),(24.1292, 9.1652, 2.7492),False,,1
3/28/2018 2:35:06 PM,(-0.1297, 3.5840, 2.4553),(6.7120, 15.2721, 354.0217),(-0.1090, 3.1879, 2.6371),(339.7525, 28.3449, 349.3215),(-0.0238, 3.0431, 2.6095),(24.0320, 8.8218, 3.0632),False,,1
3/28/2018 2:35:06 PM,(-0.1303, 3.5837, 2.4567),(6.9384, 15.0574, 353.9444),(-0.1097, 3.1863, 2.6381),(340.3096, 28.1184, 349.7001),(-0.0263, 3.0415, 2.6090),(24.4857, 8.2698, 3.1916),False,,1
3/28/2018 2:35:06 PM,(-0.1305, 3.5836, 2.4579),(6.9366, 14.9832, 353.9887),(-0.1096, 3.1848, 2.6382),(340.8147, 28.1825, 350.7078),(-0.0265, 3.0407, 2.6088),(24.4353, 8.2252, 3.2314),False,,1
3/28/2018 2:35:06 PM,(-0.1310, 3.5834, 2.4583),(7.0382, 14.8645, 353.9351),(-0.1120, 3.1821, 2.6405),(342.1714, 27.0145, 354.0970),(-0.0248, 3.0396, 2.6091),(24.6678, 9.1033, 3.4175),False,,1
3/28/2018 2:35:06 PM,(-0.1314, 3.5838, 2.4594),(6.8620, 14.6011, 353.9816),(-0.1182, 3.1774, 2.6470),(344.4870, 24.1995, 358.8016),(-0.0233, 3.0394, 2.6105),(24.5963, 9.6371, 3.4656),False,,1
3/28/2018 2:35:06 PM,(-0.1319, 3.5837, 2.4598),(6.8921, 14.3183, 353.9015),(-0.1267, 3.1733, 2.6538),(346.1970, 20.7550, 0.6213),(-0.0214, 3.0403, 2.6109),(24.2430, 10.3812, 3.6966),False,,1
3/28/2018 2:35:06 PM,(-0.1323, 3.5838, 2.4606),(6.8662, 14.0720, 353.9461),(-0.1342, 3.1677, 2.6613),(348.4521, 17.8762, 0.9489),(-0.0200, 3.0416, 2.6124),(23.5956, 10.8239, 4.2973),False,,1
3/28/2018 2:35:06 PM,(-0.1327, 3.5839, 2.4619),(6.7412, 13.7796, 354.0559),(-0.1412, 3.1640, 2.6666),(349.8303, 15.2959, 0.7731),(-0.0183, 3.0425, 2.6136),(22.9786, 11.4896, 4.4773),False,,1
3/28/2018 2:35:06 PM,(-0.1332, 3.5838, 2.4626),(6.8079, 13.5836, 354.1524),(-0.1470, 3.1636, 2.6692),(349.9859, 13.6708, 1.0113),(-0.0178, 3.0431, 2.6145),(22.6792, 11.8514, 4.1208),False,,1
3/28/2018 2:35:06 PM,(-0.1337, 3.5835, 2.4639),(6.8046, 13.3044, 354.1574),(-0.1524, 3.1637, 2.6721),(349.8748, 11.8345, 1.6954),(-0.0170, 3.0440, 2.6164),(22.3233, 12.3739, 3.4428),False,,1
3/28/2018 2:35:06 PM,(-0.1344, 3.5834, 2.4649),(7.0040, 13.0633, 354.1234),(-0.1590, 3.1650, 2.6748),(349.4636, 9.7376, 3.0225),(-0.0162, 3.0459, 2.6176),(21.5461, 13.0681, 3.3508),False,,1
3/28/2018 2:35:06 PM,(-0.1347, 3.5830, 2.4658),(7.1065, 12.8799, 354.1711),(-0.1661, 3.1668, 2.6779),(348.8804, 7.2950, 2.6530),(-0.0167, 3.0481, 2.6193),(20.9501, 13.0502, 3.1512),False,,1
3/28/2018 2:35:06 PM,(-0.1351, 3.5825, 2.4668),(7.3392, 12.6751, 354.0640),(-0.1711, 3.1674, 2.6809),(348.5966, 5.6852, 3.1591),(-0.0165, 3.0488, 2.6218),(20.8903, 13.1727, 2.9436),False,,1
3/28/2018 2:35:06 PM,(-0.1356, 3.5824, 2.4677),(7.4900, 12.4363, 353.9225),(-0.1751, 3.1675, 2.6829),(348.3663, 4.5024, 2.4289),(-0.0155, 3.0486, 2.6228),(20.9481, 13.7551, 3.2124),False,,1
3/28/2018 2:35:06 PM,(-0.1358, 3.5821, 2.4683),(7.5591, 12.2643, 353.8875),(-0.1754, 3.1671, 2.6844),(348.5175, 4.7971, 2.8958),(-0.0145, 3.0485, 2.6235),(20.9201, 14.1039, 3.1879),False,,1
3/28/2018 2:35:07 PM,(-0.1358, 3.5818, 2.4693),(7.6105, 12.2444, 353.8479),(-0.1729, 3.1664, 2.6836),(348.3760, 6.0429, 2.9195),(-0.0135, 3.0480, 2.6242),(21.0355, 14.4978, 3.3184),False,,1
3/28/2018 2:35:07 PM,(-0.1356, 3.5817, 2.4701),(7.6915, 12.3012, 353.8321),(-0.1662, 3.1676, 2.6813),(347.6609, 8.5831, 2.2407),(-0.0128, 3.0474, 2.6243),(21.0391, 14.7720, 3.4669),False,,1
3/28/2018 2:35:07 PM,(-0.1353, 3.5815, 2.4708),(7.7933, 12.4339, 353.7938),(-0.1576, 3.1702, 2.6779),(346.5884, 11.6442, 1.4684),(-0.0124, 3.0473, 2.6251),(21.1592, 14.9800, 3.3930),False,,1
