Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 10:22:08 AM,(0.1977, 3.6348, 2.4413),(350.8663, 9.8365, 4.7683),(0.3595, 3.3495, 2.6176),(300.2412, 18.8097, 347.4550),(0.1183, 3.3217, 2.6857),(324.6933, 3.7240, 25.4270),False,,1
3/27/2018 10:22:08 AM,(0.1921, 3.6353, 2.4424),(350.5427, 10.2572, 5.0685),(0.3527, 3.3586, 2.5998),(294.5048, 21.0992, 339.6195),(0.1243, 3.3218, 2.6808),(324.2224, 8.0787, 22.5926),False,,1
3/27/2018 10:22:08 AM,(0.1864, 3.6355, 2.4437),(350.4528, 10.8421, 5.3566),(0.3402, 3.3625, 2.5902),(290.7182, 16.2269, 342.4669),(0.1304, 3.3243, 2.6728),(320.6050, 11.5977, 18.0480),False,,1
3/27/2018 10:22:08 AM,(0.1811, 3.6349, 2.4441),(350.6610, 12.1514, 5.3325),(0.3312, 3.3585, 2.5953),(293.1727, 10.2134, 346.5824),(0.1325, 3.3231, 2.6685),(318.9590, 13.4847, 16.2002),False,,1
3/27/2018 10:22:08 AM,(0.1746, 3.6346, 2.4449),(350.6534, 13.7587, 5.3726),(0.3273, 3.3539, 2.5955),(294.1512, 11.6897, 346.1559),(0.1321, 3.3213, 2.6690),(318.9290, 14.4792, 16.9692),False,,1
3/27/2018 10:22:08 AM,(0.1685, 3.6344, 2.4457),(350.3326, 14.8594, 5.4731),(0.3241, 3.3528, 2.5928),(294.2540, 13.1443, 346.6806),(0.1276, 3.3225, 2.6712),(318.2054, 14.1617, 16.7316),False,,1
3/27/2018 10:22:08 AM,(0.1620, 3.6343, 2.4471),(350.1798, 15.5485, 5.6493),(0.3217, 3.3510, 2.5922),(294.9150, 14.4286, 349.2270),(0.1216, 3.3258, 2.6733),(316.6841, 13.9669, 14.9064),False,,1
3/27/2018 10:22:08 AM,(0.1550, 3.6341, 2.4488),(350.0140, 16.1223, 5.6465),(0.3189, 3.3435, 2.5995),(298.1828, 12.8236, 357.0184),(0.1149, 3.3290, 2.6771),(314.8944, 14.3428, 12.6192),False,,1
3/27/2018 10:22:08 AM,(0.1482, 3.6338, 2.4505),(349.6632, 16.5421, 5.4019),(0.3140, 3.3318, 2.6112),(303.0611, 8.5201, 6.2666),(0.1104, 3.3312, 2.6818),(312.9897, 15.6032, 5.6645),False,,1
3/27/2018 10:22:08 AM,(0.1415, 3.6334, 2.4524),(349.0957, 16.8896, 5.0389),(0.3114, 3.3217, 2.6231),(309.6942, 7.9934, 7.5160),(0.1053, 3.3359, 2.6862),(309.2771, 17.9085, 358.6037),False,,1
3/27/2018 10:22:08 AM,(0.1368, 3.6323, 2.4540),(348.2215, 17.0022, 4.6245),(0.3158, 3.3283, 2.6128),(306.4852, 14.0896, 355.4295),(0.0992, 3.3416, 2.6908),(306.9235, 18.7953, 358.1866),False,,1
3/27/2018 10:22:08 AM,(0.1346, 3.6320, 2.4546),(347.5905, 16.6771, 4.7697),(0.3232, 3.3433, 2.5968),(300.6887, 25.0503, 338.6135),(0.0923, 3.3517, 2.6908),(302.7999, 19.6456, 358.0373),False,,1
3/27/2018 10:22:08 AM,(0.1360, 3.6336, 2.4537),(347.5704, 16.0690, 5.4908),(0.3223, 3.3600, 2.5821),(292.2940, 31.2160, 338.1696),(0.0873, 3.3702, 2.6840),(297.4999, 20.1129, 356.5884),False,,1
3/27/2018 10:22:08 AM,(0.1406, 3.6348, 2.4506),(347.4196, 16.0118, 5.2804),(0.3182, 3.3711, 2.5810),(287.7417, 20.7075, 351.5037),(0.0852, 3.3911, 2.6746),(292.3701, 21.5950, 353.5074),False,,1
3/27/2018 10:22:08 AM,(0.1471, 3.6343, 2.4465),(346.8344, 16.0412, 4.9146),(0.3171, 3.3662, 2.6030),(288.8300, 1.8007, 17.5632),(0.0863, 3.4054, 2.6698),(287.8004, 27.8439, 343.7806),False,,1
3/27/2018 10:22:08 AM,(0.1546, 3.6331, 2.4420),(346.9764, 16.0060, 4.7593),(0.3222, 3.3391, 2.6376),(304.1996, 352.8942, 29.2325),(0.0927, 3.4050, 2.6808),(287.6168, 36.2611, 329.9055),False,,1
3/27/2018 10:22:08 AM,(0.1628, 3.6356, 2.4378),(346.8732, 16.2089, 4.4416),(0.3375, 3.3314, 2.6618),(315.0463, 1.3445, 13.9739),(0.1034, 3.3896, 2.7114),(296.1846, 32.7862, 324.6383),False,,1
3/27/2018 10:22:09 AM,(0.1719, 3.6397, 2.4357),(345.3792, 16.2126, 4.2099),(0.3378, 3.3840, 2.6139),(293.0728, 11.4632, 358.8139),(0.1042, 3.3709, 2.7372),(309.3022, 16.2996, 342.8059),False,,1
3/27/2018 10:22:09 AM,(0.1814, 3.6424, 2.4354),(343.4186, 16.3014, 4.1166),(0.3224, 3.4078, 2.5750),(279.1828, 334.9612, 37.3182),(0.1011, 3.3654, 2.7337),(313.2779, 4.6250, 8.2553),False,,1
3/27/2018 10:22:09 AM,(0.1893, 3.6408, 2.4351),(343.0360, 17.2105, 3.5386),(0.3214, 3.4056, 2.5610),(277.9503, 282.6840, 92.1695),(0.1422, 3.3764, 2.7365),(309.6685, 20.6219, 351.1370),False,,1
3/27/2018 10:22:09 AM,(0.1935, 3.6388, 2.4328),(344.8522, 17.6392, 3.3555),(0.3348, 3.3849, 2.5841),(277.9917, 309.4800, 61.7309),(0.1780, 3.4166, 2.7192),(297.4622, 45.1743, 320.5430),False,,1
3/27/2018 10:22:09 AM,(0.1960, 3.6407, 2.4308),(344.8131, 18.2135, 3.7680),(0.3564, 3.3422, 2.6364),(292.7229, 0.2749, 7.8771),(0.1869, 3.4684, 2.6828),(288.0019, 63.6232, 300.4700),False,,1
3/27/2018 10:22:09 AM,(0.1990, 3.6424, 2.4290),(343.4361, 18.3015, 4.3583),(0.3787, 3.3056, 2.6675),(309.5596, 15.8860, 352.7249),(0.1849, 3.5027, 2.6412),(284.0229, 111.7455, 254.5743),False,,1
3/27/2018 10:22:09 AM,(0.2027, 3.6439, 2.4282),(342.0457, 17.5487, 4.5171),(0.3752, 3.3307, 2.6393),(298.6982, 21.1481, 342.7418),(0.1834, 3.5111, 2.6262),(286.3522, 127.3625, 234.3438),False,,1
3/27/2018 10:22:09 AM,(0.2076, 3.6452, 2.4273),(341.4430, 16.2388, 5.0194),(0.3575, 3.3581, 2.6116),(288.1235, 12.0727, 351.8193),(0.1826, 3.4961, 2.6392),(285.5359, 117.0625, 244.3100),False,,1
3/27/2018 10:22:09 AM,(0.2126, 3.6441, 2.4254),(341.9029, 15.7520, 4.7918),(0.3497, 3.3856, 2.5796),(278.8098, 353.4121, 10.4642),(0.1828, 3.4577, 2.6776),(284.9156, 67.9966, 298.4090),False,,1
3/27/2018 10:22:09 AM,(0.2170, 3.6424, 2.4236),(342.1629, 16.1826, 3.6160),(0.3492, 3.4085, 2.5559),(275.2395, 289.8970, 76.1662),(0.1814, 3.3981, 2.7302),(301.5452, 20.0251, 357.3557),False,,1
3/27/2018 10:22:09 AM,(0.2195, 3.6420, 2.4220),(342.3414, 16.9760, 2.9666),(0.3570, 3.4227, 2.5449),(276.3479, 237.0766, 131.2077),(0.1841, 3.3583, 2.7503),(314.0213, 7.6317, 7.0822),False,,1
3/27/2018 10:22:09 AM,(0.2200, 3.6423, 2.4201),(342.3985, 17.9041, 2.9141),(0.3677, 3.4259, 2.5596),(274.4097, 249.4840, 120.2457),(0.2070, 3.3789, 2.7242),(306.4228, 18.4911, 358.5706),False,,1
3/27/2018 10:22:09 AM,(0.2182, 3.6418, 2.4184),(342.7889, 18.3229, 3.2555),(0.3798, 3.4219, 2.5700),(272.5906, 26.6948, 345.2351),(0.2217, 3.4135, 2.6871),(296.1062, 34.2665, 345.1913),False,,1
3/27/2018 10:22:09 AM,(0.2162, 3.6425, 2.4165),(342.2953, 18.0117, 3.4661),(0.3812, 3.4304, 2.5428),(276.5862, 112.6207, 251.5639),(0.2217, 3.4351, 2.6544),(288.4985, 59.7057, 318.0114),False,,1
3/27/2018 10:22:09 AM,(0.2153, 3.6451, 2.4145),(341.0890, 16.3809, 4.0508),(0.3613, 3.4365, 2.5199),(279.2646, 188.0473, 181.5316),(0.2066, 3.4467, 2.6460),(284.3038, 63.6879, 312.0087),False,,1
