Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 5:53:44 PM,(-0.1379, 3.4520, 2.3143),(6.1671, 23.0431, 3.0703),(-0.1514, 3.1585, 2.5206),(340.9720, 0.2259, 352.8388),(-0.0313, 3.1124, 2.4963),(341.0676, 21.7657, 20.7347),False,,1
3/29/2018 5:53:45 PM,(-0.1375, 3.4522, 2.3147),(6.1018, 23.0310, 3.0469),(-0.1504, 3.1591, 2.5213),(340.8719, 0.4180, 352.9055),(-0.0310, 3.1118, 2.4970),(341.2552, 21.8437, 20.8044),False,,1
3/29/2018 5:53:45 PM,(-0.1371, 3.4521, 2.3154),(6.1914, 22.9583, 3.0632),(-0.1509, 3.1587, 2.5220),(341.0204, 0.2579, 352.9143),(-0.0310, 3.1114, 2.4976),(341.3513, 21.8599, 20.6624),False,,1
3/29/2018 5:53:45 PM,(-0.1370, 3.4519, 2.3164),(6.3197, 22.8285, 3.0224),(-0.1521, 3.1591, 2.5225),(340.8287, 0.0027, 352.7681),(-0.0320, 3.1118, 2.4977),(341.0610, 21.6979, 20.9492),False,,1
3/29/2018 5:53:45 PM,(-0.1363, 3.4517, 2.3169),(6.4858, 22.6456, 2.9227),(-0.1532, 3.1600, 2.5232),(340.6173, 359.6465, 352.6685),(-0.0327, 3.1126, 2.4980),(340.8284, 21.5644, 21.0467),False,,1
3/29/2018 5:53:45 PM,(-0.1359, 3.4515, 2.3173),(6.6469, 22.5017, 2.8369),(-0.1549, 3.1597, 2.5232),(340.6807, 359.2243, 352.6884),(-0.0337, 3.1126, 2.4984),(340.8130, 21.4347, 20.9040),False,,1
3/29/2018 5:53:45 PM,(-0.1355, 3.4519, 2.3177),(6.6280, 22.3398, 2.7341),(-0.1559, 3.1600, 2.5237),(340.6748, 358.9140, 352.6400),(-0.0342, 3.1129, 2.4989),(340.7035, 21.3854, 20.9182),False,,1
3/29/2018 5:53:45 PM,(-0.1354, 3.4521, 2.3176),(6.5103, 22.1578, 2.6441),(-0.1567, 3.1599, 2.5236),(340.5868, 358.9432, 352.5099),(-0.0351, 3.1134, 2.4993),(340.4087, 21.3160, 21.0607),False,,1
3/29/2018 5:53:45 PM,(-0.1353, 3.4524, 2.3178),(6.4144, 21.9217, 2.5448),(-0.1566, 3.1581, 2.5233),(341.1005, 358.9972, 352.4545),(-0.0355, 3.1138, 2.4999),(340.2103, 21.1645, 21.0573),False,,1
3/29/2018 5:53:45 PM,(-0.1352, 3.4527, 2.3177),(6.2075, 21.7238, 2.4859),(-0.1568, 3.1569, 2.5234),(341.4326, 359.1459, 352.3604),(-0.0361, 3.1135, 2.5006),(340.3571, 21.0293, 20.8881),False,,1
3/29/2018 5:53:45 PM,(-0.1353, 3.4533, 2.3172),(5.9649, 21.5732, 2.4506),(-0.1568, 3.1561, 2.5230),(341.6954, 359.3084, 351.8815),(-0.0371, 3.1139, 2.5001),(340.2618, 20.8541, 20.8602),False,,1
3/29/2018 5:53:45 PM,(-0.1355, 3.4539, 2.3172),(5.7973, 21.4434, 2.4216),(-0.1569, 3.1551, 2.5223),(341.8917, 359.3932, 351.6836),(-0.0373, 3.1136, 2.4997),(340.2853, 20.7445, 20.9027),False,,1
3/29/2018 5:53:45 PM,(-0.1359, 3.4541, 2.3165),(5.6485, 21.3011, 2.4457),(-0.1574, 3.1549, 2.5228),(342.0172, 359.4549, 351.6690),(-0.0367, 3.1135, 2.4997),(340.2963, 20.9425, 20.7674),False,,1
3/29/2018 5:53:45 PM,(-0.1362, 3.4543, 2.3164),(5.5373, 21.2036, 2.4422),(-0.1585, 3.1551, 2.5224),(341.9651, 359.1637, 351.7862),(-0.0353, 3.1143, 2.4994),(340.0147, 21.3710, 20.8051),False,,1
3/29/2018 5:53:45 PM,(-0.1367, 3.4544, 2.3166),(5.4573, 21.0855, 2.4424),(-0.1602, 3.1567, 2.5215),(341.2176, 358.7741, 351.9491),(-0.0339, 3.1157, 2.4987),(339.3817, 21.9210, 20.8722),False,,1
3/29/2018 5:53:45 PM,(-0.1372, 3.4545, 2.3164),(5.3955, 20.9606, 2.4543),(-0.1633, 3.1604, 2.5204),(340.0633, 357.8485, 352.6402),(-0.0316, 3.1200, 2.4964),(337.8537, 23.2643, 20.7229),False,,1
3/29/2018 5:53:45 PM,(-0.1378, 3.4545, 2.3161),(5.3057, 20.7703, 2.4513),(-0.1676, 3.1635, 2.5206),(338.7846, 356.5011, 353.1013),(-0.0301, 3.1254, 2.4937),(335.4394, 24.4828, 21.0746),False,,1
3/29/2018 5:53:45 PM,(-0.1386, 3.4547, 2.3160),(5.2453, 20.6143, 2.4443),(-0.1701, 3.1633, 2.5210),(338.8873, 355.8662, 353.3434),(-0.0279, 3.1304, 2.4912),(333.8058, 25.9858, 20.3281),False,,1
3/29/2018 5:53:45 PM,(-0.1392, 3.4549, 2.3154),(5.0548, 20.4833, 2.4612),(-0.1711, 3.1595, 2.5245),(341.1376, 356.0329, 354.0952),(-0.0247, 3.1337, 2.4893),(332.7234, 27.4604, 19.6288),False,,1
3/29/2018 5:53:46 PM,(-0.1401, 3.4554, 2.3148),(4.6918, 20.3868, 2.4701),(-0.1718, 3.1542, 2.5256),(343.0692, 356.2053, 354.4419),(-0.0210, 3.1371, 2.4870),(331.5331, 29.0337, 19.3712),False,,1
3/29/2018 5:53:46 PM,(-0.1409, 3.4564, 2.3144),(4.2713, 20.2340, 2.4949),(-0.1719, 3.1506, 2.5247),(343.9476, 356.6417, 354.1800),(-0.0157, 3.1400, 2.4845),(330.7761, 30.9409, 18.6577),False,,1
3/29/2018 5:53:46 PM,(-0.1419, 3.4569, 2.3135),(3.8431, 19.9969, 2.5833),(-0.1719, 3.1482, 2.5254),(345.0373, 357.1013, 354.3031),(-0.0106, 3.1426, 2.4817),(329.9096, 32.9505, 18.0981),False,,1
3/29/2018 5:53:46 PM,(-0.1430, 3.4579, 2.3128),(3.2896, 19.6719, 2.6355),(-0.1730, 3.1470, 2.5263),(345.8753, 357.0784, 354.8626),(-0.0061, 3.1437, 2.4790),(329.4913, 34.9314, 17.1515),False,,1
3/29/2018 5:53:46 PM,(-0.1440, 3.4591, 2.3123),(2.5637, 19.2964, 2.6671),(-0.1751, 3.1474, 2.5270),(345.8333, 356.5518, 354.8805),(-0.0031, 3.1440, 2.4761),(329.4033, 36.8498, 15.8081),False,,1
