Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 11:24:56 AM,(0.1926, 3.4918, 2.3887),(344.4591, 11.2099, 358.1663),(0.1787, 3.3511, 2.6648),(308.8004, 318.4828, 31.9766),(0.3425, 3.3645, 2.6191),(302.1733, 63.0963, 322.5834),False,,1
3/27/2018 11:24:56 AM,(0.1926, 3.4916, 2.3877),(344.3860, 11.2366, 358.2100),(0.1781, 3.3508, 2.6656),(309.0525, 319.2920, 31.1513),(0.3422, 3.3655, 2.6175),(301.5682, 63.3755, 322.1297),False,,1
3/27/2018 11:24:56 AM,(0.1924, 3.4915, 2.3873),(344.3163, 11.2017, 358.2199),(0.1788, 3.3513, 2.6663),(308.4838, 321.1411, 29.1931),(0.3425, 3.3665, 2.6153),(300.7616, 63.8954, 321.8282),False,,1
3/27/2018 11:24:56 AM,(0.1920, 3.4917, 2.3867),(344.2171, 11.1276, 358.2601),(0.1785, 3.3526, 2.6652),(307.4759, 321.2844, 27.3670),(0.3420, 3.3678, 2.6129),(299.4376, 63.9736, 321.5837),False,,1
3/27/2018 11:24:56 AM,(0.1919, 3.4916, 2.3867),(344.1774, 11.0287, 358.3694),(0.1783, 3.3537, 2.6631),(306.7135, 320.5251, 28.0416),(0.3417, 3.3682, 2.6111),(298.8094, 64.5942, 321.0927),False,,1
3/27/2018 11:24:56 AM,(0.1917, 3.4916, 2.3869),(344.2166, 10.9387, 358.5154),(0.1771, 3.3543, 2.6615),(306.9160, 319.3194, 29.4996),(0.3412, 3.3675, 2.6106),(298.7328, 63.8199, 322.0957),False,,1
3/27/2018 11:24:56 AM,(0.1917, 3.4917, 2.3873),(344.3352, 10.8542, 358.6121),(0.1769, 3.3549, 2.6599),(306.6162, 318.9823, 30.0248),(0.3403, 3.3667, 2.6115),(298.4269, 62.3677, 323.7528),False,,1
3/27/2018 11:24:56 AM,(0.1917, 3.4917, 2.3877),(344.3493, 10.7937, 358.6807),(0.1792, 3.3552, 2.6599),(305.8067, 320.0912, 29.2646),(0.3400, 3.3658, 2.6125),(298.4624, 61.3721, 324.8204),False,,1
3/27/2018 11:24:56 AM,(0.1917, 3.4919, 2.3882),(344.2852, 10.7007, 358.7282),(0.1801, 3.3545, 2.6603),(305.4472, 321.5161, 28.7278),(0.3401, 3.3657, 2.6133),(298.4277, 60.2636, 325.4703),False,,1
3/27/2018 11:24:56 AM,(0.1917, 3.4921, 2.3885),(344.1694, 10.6437, 358.7117),(0.1798, 3.3537, 2.6604),(305.2256, 321.9572, 29.1069),(0.3402, 3.3661, 2.6142),(298.4661, 60.0288, 325.5825),False,,1
3/27/2018 11:24:56 AM,(0.1919, 3.4922, 2.3887),(344.1150, 10.7139, 358.6684),(0.1784, 3.3533, 2.6601),(304.5673, 320.9140, 29.8136),(0.3410, 3.3665, 2.6147),(298.5045, 60.3458, 325.3809),False,,1
3/27/2018 11:24:56 AM,(0.1926, 3.4924, 2.3892),(344.0577, 10.8053, 358.6321),(0.1749, 3.3518, 2.6614),(305.0524, 319.5390, 29.8516),(0.3425, 3.3664, 2.6158),(298.7470, 60.7338, 325.1021),False,,1
3/27/2018 11:24:56 AM,(0.1933, 3.4926, 2.3888),(343.7587, 11.0756, 358.5168),(0.1683, 3.3476, 2.6667),(306.9682, 318.4839, 28.7977),(0.3451, 3.3661, 2.6170),(299.3454, 60.5627, 325.2480),False,,1
3/27/2018 11:24:56 AM,(0.1948, 3.4942, 2.3882),(342.6144, 11.7414, 358.3797),(0.1569, 3.3396, 2.6768),(311.2735, 316.7610, 27.1355),(0.3498, 3.3657, 2.6181),(300.3757, 61.4890, 324.7145),False,,1
3/27/2018 11:24:56 AM,(0.1964, 3.4959, 2.3867),(341.1491, 13.1096, 358.1345),(0.1414, 3.3287, 2.6895),(317.2330, 314.6252, 26.0269),(0.3546, 3.3644, 2.6195),(301.1905, 61.9421, 324.6641),False,,1
3/27/2018 11:24:56 AM,(0.1988, 3.4971, 2.3847),(339.7039, 15.0103, 358.0289),(0.1275, 3.3207, 2.7026),(322.0406, 313.0540, 25.6384),(0.3584, 3.3630, 2.6217),(301.4307, 62.1556, 325.5574),False,,1
3/27/2018 11:24:56 AM,(0.2015, 3.4982, 2.3823),(338.4973, 17.6768, 357.3499),(0.1173, 3.3171, 2.7093),(324.0604, 310.9701, 25.1275),(0.3604, 3.3649, 2.6296),(301.9361, 61.1622, 327.0283),False,,1
3/27/2018 11:24:56 AM,(0.2042, 3.4983, 2.3804),(337.7469, 20.1454, 357.0762),(0.1097, 3.3173, 2.7094),(323.5107, 308.1825, 25.4389),(0.3641, 3.3641, 2.6323),(302.5018, 61.0455, 327.4343),False,,1
3/27/2018 11:24:57 AM,(0.2066, 3.4976, 2.3783),(337.5993, 22.1158, 356.6009),(0.1004, 3.3178, 2.7066),(322.7989, 303.9249, 26.4228),(0.3702, 3.3652, 2.6305),(301.5695, 61.7404, 327.8379),False,,1
3/27/2018 11:24:57 AM,(0.2083, 3.4969, 2.3776),(337.7001, 23.2751, 355.8663),(0.0879, 3.3195, 2.7037),(321.7160, 299.7834, 26.7054),(0.3844, 3.3675, 2.6226),(299.2790, 66.7866, 325.8195),False,,1
3/27/2018 11:24:57 AM,(0.2091, 3.4965, 2.3771),(337.6414, 23.7429, 355.2183),(0.0729, 3.3202, 2.7008),(322.0115, 295.5792, 27.5720),(0.4065, 3.3704, 2.6135),(299.9355, 74.2613, 322.4111),False,,1
