Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 8:44:40 PM,(-0.1111, 3.5941, 2.3824),(355.1470, 14.3985, 355.7628),(0.0251, 3.4592, 2.5541),(298.8246, 336.3032, 21.5078),(-0.1231, 3.4582, 2.6228),(295.4978, 68.6967, 333.7049),False,,1
3/27/2018 8:44:40 PM,(-0.1111, 3.5943, 2.3821),(355.0194, 14.5215, 355.7346),(0.0246, 3.4596, 2.5536),(298.7388, 335.7867, 22.3060),(-0.1235, 3.4585, 2.6207),(295.3476, 69.1519, 333.4713),False,,1
3/27/2018 8:44:40 PM,(-0.1112, 3.5944, 2.3813),(354.9873, 14.6822, 355.7117),(0.0243, 3.4604, 2.5533),(298.6818, 335.4335, 22.5240),(-0.1235, 3.4590, 2.6195),(295.2837, 69.5116, 333.1105),False,,1
3/27/2018 8:44:40 PM,(-0.1112, 3.5946, 2.3807),(354.9090, 14.7818, 355.7037),(0.0244, 3.4612, 2.5528),(298.6221, 335.4148, 22.8303),(-0.1235, 3.4604, 2.6209),(295.2914, 69.5300, 333.2738),False,,1
3/27/2018 8:44:40 PM,(-0.1115, 3.5946, 2.3801),(354.8535, 14.8167, 355.6988),(0.0246, 3.4617, 2.5523),(298.4987, 335.4061, 22.9541),(-0.1235, 3.4618, 2.6248),(295.4504, 69.6256, 333.3679),False,,1
3/27/2018 8:44:40 PM,(-0.1118, 3.5947, 2.3796),(354.7708, 14.8396, 355.7338),(0.0247, 3.4624, 2.5515),(298.2434, 335.5720, 22.9110),(-0.1234, 3.4629, 2.6275),(295.6786, 69.3410, 333.5800),False,,1
3/27/2018 8:44:40 PM,(-0.1121, 3.5947, 2.3791),(354.7678, 14.8817, 355.7599),(0.0250, 3.4629, 2.5514),(298.1270, 335.7026, 22.8702),(-0.1236, 3.4635, 2.6287),(295.7150, 69.0230, 333.8649),False,,1
3/27/2018 8:44:40 PM,(-0.1122, 3.5948, 2.3786),(354.7088, 14.9018, 355.7537),(0.0251, 3.4630, 2.5513),(298.1918, 335.6536, 22.9751),(-0.1237, 3.4649, 2.6318),(295.7973, 68.8789, 333.9660),False,,1
3/27/2018 8:44:41 PM,(-0.1123, 3.5947, 2.3781),(354.7280, 14.9282, 355.7061),(0.0247, 3.4630, 2.5510),(298.1320, 335.6008, 22.9926),(-0.1238, 3.4650, 2.6313),(295.8290, 69.0507, 333.9965),False,,1
3/27/2018 8:44:41 PM,(-0.1123, 3.5947, 2.3778),(354.7286, 14.9676, 355.6907),(0.0247, 3.4630, 2.5508),(298.1600, 335.5685, 23.1009),(-0.1239, 3.4653, 2.6328),(295.9337, 68.9328, 333.9383),False,,1
