Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 4:35:58 PM,(-0.1950, 3.8439, 2.4740),(29.3500, 38.9223, 0.7000),(-0.3519, 2.8654, 2.5394),(36.5441, 40.2392, 348.5930),(0.0175, 2.8768, 2.3908),(39.4937, 29.6990, 19.3637),False,,1
3/29/2018 4:35:58 PM,(-0.1987, 3.8445, 2.4759),(29.0084, 38.8233, 0.7021),(-0.3557, 2.8651, 2.5414),(36.6524, 39.7769, 348.8082),(0.0153, 2.8767, 2.3922),(39.4321, 29.5074, 19.5463),False,,1
3/29/2018 4:35:58 PM,(-0.2022, 3.8452, 2.4768),(28.6669, 38.7096, 0.7827),(-0.3584, 2.8647, 2.5430),(36.6707, 39.6417, 348.7236),(0.0132, 2.8767, 2.3936),(39.3984, 29.2461, 19.7803),False,,1
3/29/2018 4:35:59 PM,(-0.2052, 3.8464, 2.4782),(28.1743, 38.5147, 0.8582),(-0.3601, 2.8640, 2.5436),(36.7478, 39.9696, 348.6295),(0.0116, 2.8764, 2.3951),(39.4311, 29.1037, 19.9335),False,,1
3/29/2018 4:35:59 PM,(-0.2072, 3.8481, 2.4792),(27.5312, 38.2566, 0.7788),(-0.3612, 2.8635, 2.5443),(37.0176, 39.8221, 348.8263),(0.0114, 2.8765, 2.3963),(39.4695, 29.0674, 20.0120),False,,1
3/29/2018 4:35:59 PM,(-0.2088, 3.8500, 2.4797),(26.7756, 37.9535, 0.7179),(-0.3618, 2.8633, 2.5453),(37.0423, 39.7918, 348.9465),(0.0106, 2.8763, 2.3975),(39.4059, 28.9611, 20.2608),False,,1
3/29/2018 4:35:59 PM,(-0.2102, 3.8523, 2.4808),(25.9775, 37.4351, 0.7927),(-0.3613, 2.8638, 2.5469),(36.8689, 39.7297, 348.8401),(0.0102, 2.8759, 2.3981),(39.3525, 28.5579, 20.4781),False,,1
3/29/2018 4:35:59 PM,(-0.2113, 3.8544, 2.4812),(25.2866, 36.7162, 0.5980),(-0.3608, 2.8640, 2.5483),(36.8759, 39.5843, 348.8430),(0.0100, 2.8750, 2.3987),(39.5948, 28.2210, 20.3802),False,,1
3/29/2018 4:35:59 PM,(-0.2122, 3.8567, 2.4810),(24.4960, 35.6879, 0.4487),(-0.3601, 2.8641, 2.5485),(36.8961, 39.5336, 348.6995),(0.0107, 2.8746, 2.3990),(39.7354, 28.0973, 20.3069),False,,1
3/29/2018 4:35:59 PM,(-0.2128, 3.8596, 2.4806),(23.5362, 34.5381, 0.1193),(-0.3585, 2.8639, 2.5481),(36.9204, 39.5525, 348.7568),(0.0119, 2.8740, 2.3997),(39.7753, 27.8536, 20.1903),False,,1
3/29/2018 4:35:59 PM,(-0.2137, 3.8626, 2.4798),(22.5700, 33.1077, 359.8941),(-0.3570, 2.8641, 2.5482),(36.8537, 39.4786, 348.6315),(0.0130, 2.8735, 2.4009),(39.7872, 27.4662, 20.1227),False,,1
3/29/2018 4:35:59 PM,(-0.2153, 3.8673, 2.4785),(21.1911, 31.2136, 359.7247),(-0.3560, 2.8643, 2.5483),(36.9556, 39.2029, 348.5657),(0.0139, 2.8723, 2.4019),(40.0115, 27.0175, 19.5802),False,,1
3/29/2018 4:35:59 PM,(-0.2172, 3.8741, 2.4771),(18.6271, 28.8827, 359.6608),(-0.3557, 2.8647, 2.5481),(37.0744, 38.6703, 348.2514),(0.0149, 2.8709, 2.4021),(40.4557, 26.6559, 18.9528),False,,1
3/29/2018 4:35:59 PM,(-0.2191, 3.8813, 2.4743),(15.5449, 26.3955, 359.3175),(-0.3547, 2.8650, 2.5486),(37.2536, 38.3428, 348.0428),(0.0162, 2.8689, 2.4033),(40.9077, 26.1464, 18.5069),False,,1
3/29/2018 4:35:59 PM,(-0.2213, 3.8873, 2.4716),(12.9242, 23.6868, 359.0503),(-0.3539, 2.8657, 2.5491),(37.2176, 37.9179, 347.6172),(0.0169, 2.8673, 2.4049),(41.3605, 25.2755, 18.0126),False,,1
3/29/2018 4:35:59 PM,(-0.2240, 3.8918, 2.4699),(10.6341, 19.9791, 358.8180),(-0.3519, 2.8665, 2.5497),(37.2218, 37.7274, 347.2004),(0.0187, 2.8658, 2.4078),(41.6902, 24.3862, 17.4841),False,,1
3/29/2018 4:35:59 PM,(-0.2272, 3.8952, 2.4680),(8.7989, 15.7204, 358.2355),(-0.3492, 2.8674, 2.5494),(36.9964, 37.9449, 346.7204),(0.0202, 2.8646, 2.4114),(41.7506, 23.4810, 17.1746),False,,1
3/29/2018 4:35:59 PM,(-0.2293, 3.8978, 2.4660),(7.3701, 11.4381, 357.8284),(-0.3459, 2.8686, 2.5486),(36.5456, 38.1758, 346.2274),(0.0215, 2.8638, 2.4162),(41.6198, 22.1266, 17.0427),False,,1
3/29/2018 4:35:59 PM,(-0.2293, 3.8987, 2.4640),(6.8134, 8.7522, 357.7624),(-0.3443, 2.8699, 2.5479),(35.9821, 37.3209, 345.8178),(0.0222, 2.8630, 2.4198),(41.6443, 20.7533, 16.8147),False,,1
3/29/2018 4:35:59 PM,(-0.2286, 3.8990, 2.4620),(6.6552, 6.7037, 357.5716),(-0.3442, 2.8707, 2.5467),(35.6470, 36.0299, 345.6709),(0.0240, 2.8623, 2.4229),(41.7752, 19.8817, 16.7611),False,,1
3/29/2018 4:35:59 PM,(-0.2272, 3.8990, 2.4599),(6.6260, 5.3357, 357.5910),(-0.3457, 2.8711, 2.5455),(35.6369, 34.3155, 345.6886),(0.0256, 2.8622, 2.4257),(41.8323, 19.2322, 16.8924),False,,1
3/29/2018 4:36:00 PM,(-0.2251, 3.8990, 2.4572),(6.7766, 4.5058, 357.6825),(-0.3476, 2.8715, 2.5451),(35.7180, 32.5676, 345.7339),(0.0265, 2.8615, 2.4278),(41.9976, 18.2499, 16.5866),False,,1
3/29/2018 4:36:00 PM,(-0.2221, 3.8992, 2.4550),(6.6293, 4.3598, 357.8906),(-0.3486, 2.8723, 2.5454),(35.6543, 31.1851, 345.6739),(0.0274, 2.8612, 2.4305),(42.1196, 17.5492, 16.5174),False,,1
