Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 11:24:39 AM,(-0.0294, 3.6623, 2.3827),(351.6164, 15.0240, 355.1131),(0.0740, 3.3783, 2.5172),(309.3781, 2.6824, 322.5004),(-0.0688, 3.3652, 2.5787),(315.4203, 358.2601, 43.3708),False,,1
3/29/2018 11:24:39 AM,(-0.0290, 3.6634, 2.3822),(350.8390, 15.5281, 355.0961),(0.0735, 3.3783, 2.5179),(309.5291, 2.5738, 322.5235),(-0.0685, 3.3649, 2.5791),(315.5501, 358.2892, 43.4944),False,,1
3/29/2018 11:24:39 AM,(-0.0287, 3.6639, 2.3811),(350.3366, 15.8492, 355.1479),(0.0729, 3.3785, 2.5180),(309.4449, 2.4433, 322.4842),(-0.0679, 3.3649, 2.5792),(315.5872, 358.4614, 43.3499),False,,1
3/29/2018 11:24:40 AM,(-0.0287, 3.6639, 2.3807),(350.3348, 15.9044, 355.1815),(0.0724, 3.3786, 2.5182),(309.4896, 2.3749, 322.3663),(-0.0674, 3.3653, 2.5788),(315.4976, 358.6070, 43.3153),False,,1
3/29/2018 11:24:40 AM,(-0.0290, 3.6632, 2.3804),(350.8946, 15.6430, 355.2446),(0.0720, 3.3792, 2.5177),(309.3710, 2.2016, 322.4520),(-0.0668, 3.3660, 2.5777),(315.3256, 358.8109, 43.1632),False,,1
3/29/2018 11:24:40 AM,(-0.0293, 3.6626, 2.3811),(351.2473, 15.3559, 355.3182),(0.0720, 3.3794, 2.5170),(309.3235, 2.2757, 322.3492),(-0.0666, 3.3667, 2.5768),(315.0778, 358.9352, 43.0308),False,,1
3/29/2018 11:24:40 AM,(-0.0297, 3.6622, 2.3811),(351.4114, 15.0683, 355.4570),(0.0720, 3.3793, 2.5167),(309.3221, 2.2943, 322.3339),(-0.0668, 3.3665, 2.5766),(315.1444, 358.9701, 43.0361),False,,1
3/29/2018 11:24:40 AM,(-0.0302, 3.6621, 2.3811),(351.4468, 14.8752, 355.4531),(0.0723, 3.3789, 2.5170),(309.3817, 2.2865, 322.4950),(-0.0676, 3.3657, 2.5764),(315.2529, 358.6473, 43.0337),False,,1
3/29/2018 11:24:40 AM,(-0.0308, 3.6624, 2.3812),(351.3297, 14.7945, 355.4738),(0.0734, 3.3798, 2.5176),(309.0448, 1.3645, 324.0683),(-0.0679, 3.3653, 2.5769),(315.4693, 358.6763, 43.0200),False,,1
3/29/2018 11:24:40 AM,(-0.0318, 3.6624, 2.3805),(351.2179, 14.6656, 355.4500),(0.0798, 3.3862, 2.5222),(307.3873, 357.3251, 331.6219),(-0.0695, 3.3646, 2.5771),(315.7303, 358.3141, 43.1912),False,,1
3/29/2018 11:24:40 AM,(-0.0330, 3.6623, 2.3792),(351.3239, 14.5486, 354.9906),(0.1015, 3.4107, 2.5361),(303.2092, 350.8471, 347.9103),(-0.0708, 3.3639, 2.5773),(316.0401, 358.3983, 42.7644),False,,1
3/29/2018 11:24:40 AM,(-0.0346, 3.6623, 2.3758),(351.5249, 14.6111, 354.9816),(0.1504, 3.4699, 2.5525),(294.4930, 357.8148, 354.3897),(-0.0725, 3.3642, 2.5770),(316.2780, 357.9400, 43.0803),False,,1
3/29/2018 11:24:40 AM,(-0.0358, 3.6633, 2.3718),(351.1571, 14.6643, 355.2232),(0.2028, 3.5422, 2.5625),(283.4763, 28.8317, 334.6974),(-0.0718, 3.3655, 2.5747),(315.9741, 358.2136, 42.8883),False,,1
3/29/2018 11:24:40 AM,(-0.0360, 3.6646, 2.3679),(350.6360, 14.4857, 355.6416),(0.2373, 3.6056, 2.5670),(281.4440, 101.3047, 269.8342),(-0.0702, 3.3672, 2.5716),(315.5782, 358.4720, 42.9980),False,,1
3/29/2018 11:24:40 AM,(-0.0351, 3.6656, 2.3640),(350.2210, 13.9966, 355.7868),(0.2502, 3.6468, 2.5954),(290.3686, 138.2820, 239.6781),(-0.0683, 3.3683, 2.5685),(315.1891, 358.8296, 42.8714),False,,1
3/29/2018 11:24:40 AM,(-0.0337, 3.6656, 2.3590),(350.6623, 14.0679, 355.4023),(0.2403, 3.6597, 2.6922),(281.0652, 95.1926, 283.9337),(-0.0664, 3.3691, 2.5664),(315.4858, 358.9163, 43.3188),False,,1
3/29/2018 11:24:40 AM,(-0.0332, 3.6655, 2.3545),(350.9696, 14.5045, 354.8652),(0.1976, 3.5727, 2.8475),(317.6298, 359.6404, 2.5959),(-0.0671, 3.3716, 2.5623),(314.7974, 358.7849, 43.7093),False,,1
