Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 4:44:23 PM,(0.1057, 3.8216, 2.5803),(347.5240, 15.3655, 0.3653),(0.1169, 3.2645, 2.8435),(331.9982, 28.8503, 15.7433),(0.2827, 3.2692, 2.7968),(343.6551, 21.6818, 327.7548),False,,1
3/27/2018 4:44:23 PM,(0.1043, 3.8224, 2.5799),(347.1207, 14.7309, 0.4459),(0.1103, 3.2643, 2.8446),(331.7529, 26.1655, 18.1532),(0.2800, 3.2686, 2.7967),(343.2160, 21.6287, 330.0517),False,,1
3/27/2018 4:44:23 PM,(0.1030, 3.8232, 2.5801),(346.5565, 14.0598, 0.4320),(0.1030, 3.2669, 2.8448),(330.0948, 23.6006, 16.2429),(0.2795, 3.2684, 2.7977),(343.4957, 21.1696, 331.5320),False,,1
3/27/2018 4:44:23 PM,(0.1015, 3.8237, 2.5801),(346.3161, 13.2239, 0.5610),(0.1008, 3.2664, 2.8462),(330.5320, 23.5892, 16.4820),(0.2831, 3.2697, 2.7965),(343.2722, 22.2383, 330.6058),False,,1
3/27/2018 4:44:23 PM,(0.0999, 3.8241, 2.5801),(346.1698, 12.2893, 0.7617),(0.1009, 3.2659, 2.8464),(330.2638, 24.3596, 12.2771),(0.2865, 3.2692, 2.7956),(343.6003, 23.1907, 330.7261),False,,1
3/27/2018 4:44:23 PM,(0.0987, 3.8239, 2.5801),(346.4648, 11.4938, 0.8163),(0.0999, 3.2648, 2.8478),(331.6544, 24.0439, 9.6487),(0.2897, 3.2678, 2.7953),(344.0516, 24.4117, 331.8618),False,,1
3/27/2018 4:44:23 PM,(0.0980, 3.8234, 2.5800),(346.7571, 11.1376, 0.8361),(0.0976, 3.2650, 2.8491),(331.8248, 23.2704, 12.5331),(0.2899, 3.2676, 2.7947),(343.9685, 24.2278, 331.0868),False,,1
3/27/2018 4:44:24 PM,(0.0980, 3.8234, 2.5795),(346.8358, 11.1421, 1.0021),(0.0938, 3.2666, 2.8499),(331.9894, 21.2517, 11.7860),(0.2893, 3.2688, 2.7936),(343.5251, 24.1742, 330.5028),False,,1
3/27/2018 4:44:24 PM,(0.0980, 3.8234, 2.5783),(346.8744, 11.3179, 0.9988),(0.0916, 3.2680, 2.8513),(332.3580, 20.6833, 13.1927),(0.2873, 3.2702, 2.7930),(343.1212, 23.9186, 331.2527),False,,1
3/27/2018 4:44:24 PM,(0.0980, 3.8237, 2.5768),(346.7772, 11.6429, 0.7372),(0.0873, 3.2735, 2.8530),(331.1463, 19.4423, 14.0193),(0.2858, 3.2732, 2.7925),(342.2494, 23.7662, 331.6591),False,,1
3/27/2018 4:44:24 PM,(0.0977, 3.8238, 2.5754),(346.6238, 11.9285, 0.6879),(0.0801, 3.2802, 2.8566),(330.1577, 17.4128, 17.1950),(0.2849, 3.2761, 2.7916),(341.3250, 23.7715, 331.0686),False,,1
3/27/2018 4:44:24 PM,(0.0971, 3.8237, 2.5741),(346.6421, 12.1300, 0.6898),(0.0744, 3.2881, 2.8619),(329.3058, 16.3314, 18.0140),(0.2852, 3.2807, 2.7909),(339.9792, 23.6730, 331.8271),False,,1
3/27/2018 4:44:24 PM,(0.0963, 3.8237, 2.5733),(346.6608, 12.1785, 0.7577),(0.0688, 3.2995, 2.8658),(327.2947, 16.1393, 17.3521),(0.2860, 3.2850, 2.7902),(338.7008, 23.7097, 334.4312),False,,1
3/27/2018 4:44:24 PM,(0.0951, 3.8238, 2.5726),(346.6734, 12.0576, 0.8257),(0.0632, 3.3141, 2.8689),(324.6534, 16.0887, 15.1228),(0.2881, 3.2888, 2.7902),(337.9345, 24.1077, 333.6641),False,,1
3/27/2018 4:44:24 PM,(0.0935, 3.8235, 2.5721),(346.7889, 11.8112, 0.7632),(0.0592, 3.3264, 2.8750),(324.1376, 16.5589, 13.7249),(0.2904, 3.2911, 2.7905),(337.7651, 24.6625, 334.2889),False,,1
3/27/2018 4:44:24 PM,(0.0909, 3.8234, 2.5715),(346.9317, 11.4969, 0.8204),(0.0527, 3.3395, 2.8802),(323.2061, 15.6400, 12.6718),(0.2923, 3.2920, 2.7910),(338.2002, 25.5139, 333.9102),False,,1
3/27/2018 4:44:24 PM,(0.0877, 3.8230, 2.5707),(347.1568, 10.9257, 1.1703),(0.0422, 3.3531, 2.8838),(321.5971, 12.5630, 15.0228),(0.2953, 3.2945, 2.7890),(337.8797, 27.3497, 333.4290),False,,1
3/27/2018 4:44:24 PM,(0.0842, 3.8230, 2.5699),(347.1643, 10.3788, 1.3597),(0.0355, 3.3632, 2.8884),(321.7067, 10.3954, 14.5890),(0.2947, 3.2947, 2.7888),(338.3591, 27.5523, 334.3054),False,,1
3/27/2018 4:44:24 PM,(0.0803, 3.8231, 2.5689),(347.1320, 9.9035, 1.4851),(0.0303, 3.3716, 2.8917),(321.8746, 9.2283, 13.7447),(0.2915, 3.2966, 2.7894),(338.4489, 26.5954, 333.5656),False,,1
3/27/2018 4:44:24 PM,(0.0758, 3.8231, 2.5675),(346.9658, 9.5004, 1.7224),(0.0230, 3.3781, 2.8921),(322.1444, 8.4584, 19.1673),(0.2884, 3.3024, 2.7876),(336.9904, 26.4695, 333.5500),False,,1
3/27/2018 4:44:24 PM,(0.0711, 3.8232, 2.5661),(346.7529, 9.1905, 1.9681),(0.0164, 3.3874, 2.8879),(320.0020, 7.1367, 22.4795),(0.2851, 3.3081, 2.7876),(336.6209, 26.3368, 333.4954),False,,1
3/27/2018 4:44:24 PM,(0.0664, 3.8234, 2.5650),(346.5281, 8.8618, 2.1457),(0.0106, 3.3986, 2.8822),(316.6304, 5.6590, 22.0502),(0.2807, 3.3186, 2.7868),(334.4252, 26.0550, 335.0944),False,,1
3/27/2018 4:44:24 PM,(0.0610, 3.8233, 2.5641),(346.4232, 8.5842, 2.1009),(0.0036, 3.4094, 2.8782),(315.2282, 3.7628, 24.8908),(0.2783, 3.3319, 2.7864),(332.0812, 26.6018, 336.1981),False,,1
3/27/2018 4:44:24 PM,(0.0555, 3.8230, 2.5634),(346.3948, 8.4598, 2.0748),(-0.0049, 3.4240, 2.8735),(312.3552, 0.9880, 26.2408),(0.2780, 3.3459, 2.7860),(330.1856, 27.5716, 334.0777),False,,1
3/27/2018 4:44:24 PM,(0.0499, 3.8228, 2.5631),(346.3875, 8.5836, 2.0933),(-0.0146, 3.4405, 2.8688),(309.2181, 357.5861, 27.0986),(0.2769, 3.3614, 2.7864),(327.6057, 28.2292, 336.1441),False,,1
3/27/2018 4:44:25 PM,(0.0441, 3.8223, 2.5635),(346.4159, 8.9043, 2.1180),(-0.0264, 3.4582, 2.8639),(305.2906, 352.9577, 28.6468),(0.2757, 3.3791, 2.7853),(324.5205, 29.9261, 338.6829),False,,1
3/27/2018 4:44:25 PM,(0.0384, 3.8212, 2.5645),(346.4638, 9.2109, 2.0765),(-0.0406, 3.4758, 2.8528),(299.1525, 346.8053, 31.0892),(0.2740, 3.3969, 2.7843),(321.6043, 31.4467, 339.2613),False,,1
3/27/2018 4:44:25 PM,(0.0332, 3.8192, 2.5660),(346.5498, 9.5600, 1.8228),(-0.0547, 3.4902, 2.8381),(291.6970, 337.6422, 32.8406),(0.2697, 3.4143, 2.7825),(318.6077, 31.4924, 340.1395),False,,1
3/27/2018 4:44:25 PM,(0.0283, 3.8168, 2.5678),(346.6174, 9.9023, 1.4970),(-0.0636, 3.4980, 2.8274),(285.7021, 332.8094, 30.2750),(0.2644, 3.4300, 2.7817),(315.8662, 31.5281, 341.9293),False,,1
3/27/2018 4:44:25 PM,(0.0241, 3.8152, 2.5695),(346.9203, 9.9457, 1.5851),(-0.0706, 3.4998, 2.8230),(283.0991, 334.0813, 28.3272),(0.2596, 3.4428, 2.7795),(313.9385, 31.9644, 339.7476),False,,1
3/27/2018 4:44:25 PM,(0.0203, 3.8150, 2.5711),(347.0251, 9.6813, 1.5879),(-0.0783, 3.4967, 2.8261),(285.3788, 339.0453, 24.3632),(0.2573, 3.4509, 2.7807),(314.2726, 34.4209, 339.0962),False,,1
3/27/2018 4:44:25 PM,(0.0173, 3.8154, 2.5717),(347.1477, 9.0152, 1.5545),(-0.0884, 3.4915, 2.8298),(289.3351, 337.0544, 26.8829),(0.2494, 3.4577, 2.7835),(313.5976, 32.2718, 338.2051),False,,1
