Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 2:29:57 PM,(0.2551, 3.6010, 2.5216),(351.6380, 357.6978, 5.5222),(0.1812, 3.3038, 2.6972),(312.8988, 352.2153, 15.8855),(0.3247, 3.3128, 2.7159),(318.3678, 12.1302, 348.2206),False,,1
3/27/2018 2:29:57 PM,(0.2552, 3.6009, 2.5222),(351.5958, 357.7458, 5.5333),(0.1809, 3.3036, 2.6979),(312.9487, 352.1606, 15.9042),(0.3246, 3.3128, 2.7163),(318.3382, 12.1762, 348.1898),False,,1
3/27/2018 2:29:57 PM,(0.2553, 3.6009, 2.5226),(351.5663, 357.7542, 5.5947),(0.1810, 3.3031, 2.6980),(313.0751, 352.0752, 15.9526),(0.3249, 3.3125, 2.7167),(318.4713, 12.2206, 348.1031),False,,1
3/27/2018 2:29:57 PM,(0.2551, 3.6009, 2.5229),(351.6157, 357.7454, 5.5695),(0.1814, 3.3029, 2.6983),(313.1424, 352.2094, 15.9476),(0.3250, 3.3123, 2.7170),(318.4321, 12.2283, 348.2231),False,,1
3/27/2018 2:29:57 PM,(0.2549, 3.6008, 2.5232),(351.6882, 357.7361, 5.5832),(0.1817, 3.3031, 2.6982),(313.0023, 352.2943, 15.9187),(0.3252, 3.3121, 2.7171),(318.5620, 12.2485, 348.1927),False,,1
3/27/2018 2:29:57 PM,(0.2546, 3.6008, 2.5234),(351.7473, 357.7305, 5.7172),(0.1815, 3.3029, 2.6986),(313.0920, 352.2242, 15.9956),(0.3251, 3.3122, 2.7171),(318.4266, 12.1805, 348.3458),False,,1
3/27/2018 2:29:57 PM,(0.2547, 3.6009, 2.5236),(351.7242, 357.7505, 5.7486),(0.1818, 3.3034, 2.6989),(313.0334, 352.1350, 16.0704),(0.3256, 3.3128, 2.7174),(318.4497, 12.2720, 348.2805),False,,1
3/27/2018 2:29:57 PM,(0.2544, 3.6008, 2.5236),(351.7131, 357.7422, 5.7553),(0.1817, 3.3033, 2.6988),(312.9797, 352.0973, 16.0978),(0.3255, 3.3127, 2.7176),(318.4342, 12.3303, 348.2954),False,,1
3/27/2018 2:29:57 PM,(0.2542, 3.6006, 2.5237),(351.6840, 357.7053, 5.8036),(0.1818, 3.3029, 2.6990),(313.1187, 352.2112, 16.0619),(0.3254, 3.3123, 2.7180),(318.5395, 12.2837, 348.3793),False,,1
3/27/2018 2:29:57 PM,(0.2542, 3.6004, 2.5238),(351.6690, 357.6891, 5.7936),(0.1821, 3.3024, 2.6998),(313.3229, 352.3152, 16.0999),(0.3252, 3.3115, 2.7184),(318.6704, 12.1871, 348.3805),False,,1
3/27/2018 2:29:57 PM,(0.2544, 3.6005, 2.5236),(351.7047, 357.7016, 5.7588),(0.1831, 3.3022, 2.6997),(313.4922, 352.9196, 15.7931),(0.3246, 3.3118, 2.7179),(318.6612, 12.0094, 348.4417),False,,1
3/27/2018 2:29:57 PM,(0.2545, 3.6006, 2.5234),(351.7748, 357.6947, 5.7793),(0.1840, 3.3020, 2.6998),(313.6349, 353.1544, 15.6984),(0.3239, 3.3119, 2.7176),(318.6567, 11.7078, 348.5839),False,,1
3/27/2018 2:29:58 PM,(0.2548, 3.6007, 2.5234),(351.8037, 357.7754, 5.7424),(0.1845, 3.3022, 2.7004),(313.7064, 353.4001, 15.6027),(0.3235, 3.3119, 2.7175),(318.7014, 11.5133, 348.6157),False,,1
3/27/2018 2:29:58 PM,(0.2551, 3.6007, 2.5233),(351.8297, 357.7801, 5.8025),(0.1844, 3.3026, 2.7010),(313.7125, 353.3586, 15.6664),(0.3237, 3.3119, 2.7172),(318.6534, 11.5846, 348.5300),False,,1
3/27/2018 2:29:58 PM,(0.2549, 3.6004, 2.5231),(351.8677, 357.8268, 5.6641),(0.1841, 3.3030, 2.7012),(313.5718, 353.3725, 15.6218),(0.3232, 3.3113, 2.7174),(318.8314, 11.5186, 348.5459),False,,1
3/27/2018 2:29:58 PM,(0.2549, 3.6001, 2.5229),(351.9462, 357.8138, 5.6759),(0.1840, 3.3034, 2.7014),(313.5524, 353.3269, 15.6929),(0.3230, 3.3115, 2.7172),(318.7416, 11.4386, 348.6031),False,,1
