Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 11:21:49 AM,0.2058, 3.5260, 2.4468,351.2908, 11.0640, 359.0798,0.1496, 3.3674, 2.7426,290.1546, 336.1932, 33.3028,0.3707, 3.3919, 2.6343,272.7074, 133.9342, 237.7455,False,,1
3/27/2018 11:21:49 AM,0.2049, 3.5257, 2.4453,351.1634, 11.4751, 359.0333,0.1499, 3.3696, 2.7436,289.3948, 336.0121, 33.4332,0.3677, 3.3935, 2.6324,273.2604, 171.2959, 201.5229,False,,1
3/27/2018 11:21:49 AM,0.2038, 3.5250, 2.4431,351.3012, 11.8888, 358.9384,0.1519, 3.3704, 2.7469,289.0078, 337.5737, 31.9840,0.3657, 3.3957, 2.6336,273.9811, 189.6466, 183.6822,False,,1
3/27/2018 11:21:49 AM,0.2022, 3.5245, 2.4412,351.3837, 12.3023, 358.8528,0.1545, 3.3699, 2.7512,289.0738, 340.8722, 28.8607,0.3642, 3.3977, 2.6370,273.9087, 204.0530, 169.8627,False,,1
3/27/2018 11:21:49 AM,0.2006, 3.5248, 2.4396,351.0428, 12.6075, 358.8646,0.1555, 3.3680, 2.7532,289.9170, 342.4172, 27.9863,0.3642, 3.4002, 2.6358,273.3285, 193.9302, 179.0882,False,,1
3/27/2018 11:21:49 AM,0.1992, 3.5251, 2.4385,350.5713, 12.7784, 358.8836,0.1556, 3.3655, 2.7528,290.8672, 342.4023, 28.9001,0.3638, 3.4018, 2.6319,274.3857, 183.0045, 190.2909,False,,1
3/27/2018 11:21:49 AM,0.1975, 3.5247, 2.4375,350.6395, 12.9731, 358.8489,0.1563, 3.3630, 2.7523,291.2278, 343.0508, 28.5394,0.3613, 3.4014, 2.6312,274.2743, 193.6338, 180.1216,False,,1
3/27/2018 11:21:49 AM,0.1960, 3.5246, 2.4364,350.6494, 13.2220, 358.9678,0.1574, 3.3616, 2.7528,291.5988, 344.8901, 27.3280,0.3588, 3.4001, 2.6318,274.0617, 212.1620, 162.4078,False,,1
3/27/2018 11:21:49 AM,0.1948, 3.5244, 2.4356,350.6753, 13.3647, 359.0741,0.1577, 3.3616, 2.7526,291.7124, 345.5974, 26.8974,0.3578, 3.3993, 2.6310,274.0578, 217.8819, 156.8846,False,,1
3/27/2018 11:21:49 AM,0.1933, 3.5245, 2.4347,350.6632, 13.3998, 359.0734,0.1559, 3.3622, 2.7521,291.8855, 344.9861, 27.7008,0.3576, 3.3991, 2.6298,273.7628, 212.5290, 162.0609,False,,1
3/27/2018 11:21:49 AM,0.1919, 3.5246, 2.4335,350.6012, 13.4515, 359.0801,0.1529, 3.3623, 2.7528,292.7680, 343.5555, 29.5732,0.3571, 3.3988, 2.6296,273.4322, 214.3252, 160.3270,False,,1
3/27/2018 11:21:49 AM,0.1909, 3.5246, 2.4325,350.4885, 13.5159, 359.1582,0.1476, 3.3615, 2.7542,293.7694, 341.0496, 30.5871,0.3571, 3.3979, 2.6307,272.5573, 221.1495, 153.7216,False,,1
3/27/2018 11:21:50 AM,0.1896, 3.5252, 2.4313,350.2321, 13.3876, 359.2081,0.1376, 3.3607, 2.7551,295.4064, 335.1143, 35.1566,0.3593, 3.3973, 2.6310,271.3762, 205.1967, 170.0824,False,,1
3/27/2018 11:21:50 AM,0.1885, 3.5259, 2.4299,349.7834, 13.1467, 359.1991,0.1265, 3.3595, 2.7564,297.3547, 329.9441, 38.6998,0.3631, 3.3972, 2.6312,271.1129, 126.4479, 249.4169,False,,1
3/27/2018 11:21:50 AM,0.1874, 3.5272, 2.4282,349.2628, 12.8429, 359.1036,0.1143, 3.3575, 2.7576,299.7241, 325.1832, 41.5490,0.3693, 3.3970, 2.6316,273.2493, 85.0041, 291.9222,False,,1
3/27/2018 11:21:50 AM,0.1860, 3.5279, 2.4267,348.6109, 12.4103, 359.1286,0.1004, 3.3542, 2.7586,302.8985, 321.2346, 44.1237,0.3804, 3.3966, 2.6300,278.4257, 80.9845, 295.6876,False,,1
3/27/2018 11:21:50 AM,0.1851, 3.5285, 2.4255,348.1755, 12.0048, 359.1231,0.0865, 3.3497, 2.7591,306.0473, 317.8152, 45.3491,0.3952, 3.3945, 2.6285,284.1549, 84.3517, 293.8445,False,,1
3/27/2018 11:21:50 AM,0.1842, 3.5288, 2.4242,347.8712, 11.6268, 359.2703,0.0709, 3.3437, 2.7573,309.4322, 313.3832, 47.8936,0.4105, 3.3905, 2.6257,289.0861, 86.0352, 294.4575,False,,1
