Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 8:49:14 PM,-0.1742, 3.5949, 2.4429,351.6271, 4.5570, 356.0169,-0.2958, 3.3514, 2.6626,290.6048, 26.0713, 20.8216,0.0246, 3.3861, 2.5739,294.1595, 13.9555, 343.7316,False,,1
3/27/2018 8:49:14 PM,-0.1741, 3.5949, 2.4426,351.6505, 4.6327, 355.9798,-0.2959, 3.3511, 2.6617,290.5973, 25.9400, 20.9928,0.0249, 3.3861, 2.5736,294.1844, 14.1231, 343.6059,False,,1
3/27/2018 8:49:14 PM,-0.1741, 3.5950, 2.4422,351.6647, 4.6830, 356.0023,-0.2957, 3.3512, 2.6615,290.6461, 26.1780, 20.7632,0.0249, 3.3862, 2.5729,294.1940, 14.1035, 343.7081,False,,1
3/27/2018 8:49:15 PM,-0.1738, 3.5948, 2.4420,351.7188, 4.7883, 355.8758,-0.2950, 3.3508, 2.6609,290.7456, 26.4883, 20.5488,0.0252, 3.3861, 2.5726,294.2225, 14.1633, 343.6846,False,,1
3/27/2018 8:49:15 PM,-0.1734, 3.5948, 2.4418,351.7535, 4.9249, 355.8405,-0.2948, 3.3509, 2.6605,290.7197, 26.7334, 20.3674,0.0255, 3.3860, 2.5721,294.2090, 14.2790, 343.6198,False,,1
3/27/2018 8:49:15 PM,-0.1731, 3.5947, 2.4414,351.7613, 5.0452, 355.8589,-0.2947, 3.3511, 2.6607,290.6921, 26.5290, 20.5917,0.0257, 3.3860, 2.5715,294.1949, 14.3055, 343.6495,False,,1
3/27/2018 8:49:15 PM,-0.1729, 3.5948, 2.4412,351.7799, 5.1714, 355.8266,-0.2944, 3.3508, 2.6602,290.7704, 26.7354, 20.4476,0.0257, 3.3859, 2.5710,294.2209, 14.2978, 343.6784,False,,1
3/27/2018 8:49:15 PM,-0.1725, 3.5948, 2.4411,351.7523, 5.2495, 355.8087,-0.2938, 3.3510, 2.6601,290.7642, 27.1316, 20.1094,0.0262, 3.3859, 2.5708,294.2330, 14.3770, 343.6462,False,,1
3/27/2018 8:49:15 PM,-0.1726, 3.5947, 2.4410,351.7985, 5.1652, 355.7957,-0.2938, 3.3511, 2.6602,290.7611, 27.1847, 20.0222,0.0264, 3.3858, 2.5708,294.2331, 14.3658, 343.6957,False,,1
3/27/2018 8:49:15 PM,-0.1727, 3.5952, 2.4407,351.6681, 4.9519, 355.7701,-0.2937, 3.3517, 2.6599,290.6674, 28.0331, 19.0557,0.0267, 3.3857, 2.5712,294.3030, 14.4488, 343.5754,False,,1
3/27/2018 8:49:15 PM,-0.1731, 3.5963, 2.4402,351.0820, 4.5224, 355.7766,-0.2925, 3.3539, 2.6611,290.6957, 31.5074, 15.1184,0.0263, 3.3860, 2.5725,294.3869, 13.9849, 343.9996,False,,1
3/27/2018 8:49:15 PM,-0.1736, 3.5988, 2.4388,349.6288, 3.8104, 355.8427,-0.2927, 3.3579, 2.6644,290.5352, 35.8493, 9.7057,0.0238, 3.3884, 2.5745,293.8297, 10.9774, 346.9198,False,,1
3/27/2018 8:49:15 PM,-0.1745, 3.6018, 2.4364,348.0913, 3.1816, 355.7270,-0.2945, 3.3642, 2.6703,290.6526, 39.8462, 3.7738,0.0203, 3.3923, 2.5775,292.8204, 6.5404, 351.8441,False,,1
3/27/2018 8:49:15 PM,-0.1751, 3.6044, 2.4335,346.7203, 2.6558, 355.6261,-0.2966, 3.3721, 2.6797,291.4416, 42.1522, 359.4533,0.0169, 3.3964, 2.5841,292.5336, 1.6943, 357.4271,False,,1
3/27/2018 8:49:15 PM,-0.1753, 3.6060, 2.4304,345.7724, 2.5540, 355.5278,-0.2989, 3.3810, 2.6892,291.4612, 44.4994, 354.7218,0.0132, 3.3993, 2.5957,293.6513, 357.5471, 1.5403,False,,1
3/27/2018 8:49:15 PM,-0.1739, 3.6072, 2.4276,345.1510, 2.9832, 355.3817,-0.3000, 3.3897, 2.7028,292.5266, 44.5759, 353.1215,0.0096, 3.4012, 2.6080,294.6740, 353.6148, 6.0310,False,,1
3/27/2018 8:49:15 PM,-0.1710, 3.6073, 2.4246,344.8589, 4.2162, 354.9243,-0.2999, 3.3979, 2.7153,293.8250, 43.6524, 352.0990,0.0076, 3.4023, 2.6221,296.5406, 352.6343, 7.5743,False,,1
3/27/2018 8:49:15 PM,-0.1662, 3.6066, 2.4220,345.1003, 6.2487, 354.3057,-0.2997, 3.4085, 2.7229,293.4873, 43.9352, 350.5772,0.0079, 3.4020, 2.6346,298.2049, 353.3640, 5.8885,False,,1
3/27/2018 8:49:15 PM,-0.1606, 3.6045, 2.4201,346.1967, 8.8687, 353.6323,-0.2984, 3.4177, 2.7308,294.0067, 42.8325, 350.7144,0.0085, 3.3999, 2.6468,300.3812, 354.8188, 4.7097,False,,1
3/27/2018 8:49:15 PM,-0.1548, 3.6018, 2.4189,347.5767, 11.6758, 353.0945,-0.2943, 3.4263, 2.7370,293.9036, 44.9829, 347.9175,0.0092, 3.3989, 2.6539,301.2720, 355.1055, 5.0260,False,,1
