Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/29/2018 5:42:50 PM,-0.1357, 3.4630, 2.3365,0.5852, 19.4969, 2.0448,-0.1315, 3.1362, 2.5718,359.9727, 3.6291, 347.5857,-0.0536, 3.1660, 2.5794,355.5643, 1.4063, 290.9052,False,,1
3/29/2018 5:42:50 PM,-0.1340, 3.4626, 2.3356,0.5846, 19.7678, 2.0148,-0.1276, 3.1359, 2.5709,359.9128, 4.3406, 347.5281,-0.0499, 3.1656, 2.5792,355.6985, 1.9457, 290.7405,False,,1
3/29/2018 5:42:51 PM,-0.1324, 3.4623, 2.3346,0.6068, 19.8951, 1.9446,-0.1256, 3.1365, 2.5706,359.8133, 4.6321, 347.4533,-0.0474, 3.1664, 2.5790,355.5262, 2.3066, 290.7254,False,,1
3/29/2018 5:42:51 PM,-0.1308, 3.4619, 2.3334,0.6644, 19.9510, 1.8566,-0.1244, 3.1363, 2.5704,359.7869, 4.7019, 347.3476,-0.0463, 3.1668, 2.5791,355.4922, 2.3803, 290.5706,False,,1
3/29/2018 5:42:51 PM,-0.1293, 3.4618, 2.3330,0.7040, 20.0569, 1.7506,-0.1236, 3.1355, 2.5705,359.9399, 4.4420, 347.2918,-0.0451, 3.1674, 2.5793,355.3398, 2.3974, 290.4688,False,,1
3/29/2018 5:42:51 PM,-0.1277, 3.4614, 2.3322,0.7291, 20.1753, 1.6475,-0.1230, 3.1349, 2.5706,0.0175, 4.3566, 347.2577,-0.0446, 3.1673, 2.5794,355.3057, 2.2946, 290.5044,False,,1
3/29/2018 5:42:51 PM,-0.1264, 3.4612, 2.3318,0.7276, 20.2652, 1.5929,-0.1223, 3.1349, 2.5709,0.0400, 4.3272, 347.2062,-0.0439, 3.1678, 2.5792,355.0315, 2.3190, 290.3933,False,,1
3/29/2018 5:42:51 PM,-0.1254, 3.4611, 2.3319,0.7827, 20.2283, 1.5050,-0.1214, 3.1353, 2.5709,359.9765, 4.4725, 347.1959,-0.0433, 3.1679, 2.5799,355.1069, 2.2387, 290.2979,False,,1
3/29/2018 5:42:51 PM,-0.1246, 3.4609, 2.3313,0.7700, 20.0828, 1.4568,-0.1210, 3.1355, 2.5709,359.8873, 4.4295, 347.0669,-0.0426, 3.1680, 2.5803,355.0177, 2.3212, 290.2894,False,,1
3/29/2018 5:42:51 PM,-0.1238, 3.4609, 2.3310,0.7446, 19.8939, 1.3926,-0.1210, 3.1357, 2.5709,359.8885, 4.3925, 347.0628,-0.0422, 3.1684, 2.5806,354.9875, 2.2996, 290.1223,False,,1
3/29/2018 5:42:51 PM,-0.1231, 3.4610, 2.3312,0.6601, 19.7906, 1.3251,-0.1210, 3.1357, 2.5714,359.7691, 4.2195, 346.9144,-0.0420, 3.1688, 2.5806,354.7035, 2.1664, 290.1009,False,,1
3/29/2018 5:42:51 PM,-0.1225, 3.4610, 2.3311,0.6172, 19.7288, 1.3023,-0.1212, 3.1364, 2.5718,359.4509, 4.1194, 346.7211,-0.0416, 3.1693, 2.5809,354.5485, 2.2050, 290.0076,False,,1
3/29/2018 5:42:51 PM,-0.1220, 3.4613, 2.3316,0.5198, 19.7473, 1.2538,-0.1207, 3.1370, 2.5722,359.2348, 4.1610, 346.6305,-0.0408, 3.1697, 2.5815,354.4875, 2.2768, 290.0013,False,,1
3/29/2018 5:42:51 PM,-0.1214, 3.4615, 2.3318,0.4347, 19.7449, 1.2200,-0.1198, 3.1377, 2.5724,358.8429, 4.3396, 346.4628,-0.0396, 3.1701, 2.5816,354.2968, 2.5314, 289.9271,False,,1
3/29/2018 5:42:51 PM,-0.1213, 3.4616, 2.3318,0.3813, 19.7468, 1.2337,-0.1193, 3.1383, 2.5730,358.7422, 4.4402, 346.4040,-0.0390, 3.1703, 2.5813,354.1434, 2.6177, 289.9737,False,,1
3/29/2018 5:42:51 PM,-0.1215, 3.4617, 2.3324,0.3571, 19.6980, 1.2593,-0.1193, 3.1386, 2.5737,358.6393, 4.5190, 346.3819,-0.0384, 3.1710, 2.5813,353.9025, 2.7932, 289.9918,False,,1
3/29/2018 5:42:51 PM,-0.1219, 3.4617, 2.3329,0.3100, 19.6256, 1.3093,-0.1193, 3.1393, 2.5742,358.1841, 4.5888, 346.0719,-0.0372, 3.1718, 2.5808,353.4514, 3.0941, 289.9973,False,,1
3/29/2018 5:42:51 PM,-0.1222, 3.4618, 2.3335,0.2792, 19.4925, 1.3529,-0.1195, 3.1409, 2.5745,357.4663, 4.6685, 345.9944,-0.0356, 3.1725, 2.5808,353.1311, 3.4654, 289.8698,False,,1
3/29/2018 5:42:51 PM,-0.1229, 3.4619, 2.3347,0.2807, 19.2752, 1.3732,-0.1204, 3.1429, 2.5754,356.6751, 4.7747, 345.7066,-0.0347, 3.1726, 2.5805,352.8289, 3.9277, 289.5269,False,,1
3/29/2018 5:42:51 PM,-0.1234, 3.4619, 2.3357,0.3148, 19.0162, 1.3880,-0.1213, 3.1433, 2.5760,356.2388, 4.7797, 345.4907,-0.0347, 3.1721, 2.5805,352.7647, 4.2039, 289.2941,False,,1
3/29/2018 5:42:52 PM,-0.1241, 3.4620, 2.3369,0.3304, 18.7988, 1.4364,-0.1224, 3.1442, 2.5768,355.4937, 4.7394, 345.0201,-0.0362, 3.1719, 2.5806,352.5258, 4.2278, 289.2875,False,,1
3/29/2018 5:42:52 PM,-0.1248, 3.4624, 2.3387,0.3107, 18.6588, 1.4863,-0.1237, 3.1451, 2.5775,354.9955, 4.5520, 344.8154,-0.0379, 3.1721, 2.5805,352.2843, 4.0880, 289.3207,False,,1
3/29/2018 5:42:52 PM,-0.1257, 3.4627, 2.3404,0.3430, 18.5485, 1.5201,-0.1247, 3.1457, 2.5776,354.5125, 4.5394, 344.6938,-0.0402, 3.1722, 2.5811,352.2505, 3.6064, 289.2639,False,,1
3/29/2018 5:42:52 PM,-0.1263, 3.4630, 2.3422,0.4223, 18.4134, 1.5723,-0.1249, 3.1454, 2.5776,354.4911, 4.6330, 344.6575,-0.0408, 3.1722, 2.5821,352.2247, 3.6490, 289.3220,False,,1
3/29/2018 5:42:52 PM,-0.1269, 3.4634, 2.3448,0.5328, 18.2233, 1.6175,-0.1248, 3.1448, 2.5776,354.5403, 4.7872, 344.6462,-0.0414, 3.1722, 2.5828,352.1367, 3.6914, 289.2032,False,,1
3/29/2018 5:42:52 PM,-0.1274, 3.4636, 2.3468,0.6724, 17.9515, 1.6732,-0.1250, 3.1443, 2.5776,354.5480, 4.8673, 344.5569,-0.0416, 3.1725, 2.5831,351.9876, 3.7704, 289.2157,False,,1
3/29/2018 5:42:52 PM,-0.1275, 3.4635, 2.3488,0.8524, 17.6762, 1.7239,-0.1250, 3.1442, 2.5776,354.2857, 4.9915, 344.3346,-0.0417, 3.1722, 2.5842,352.1245, 3.6485, 289.0957,False,,1
3/29/2018 5:42:52 PM,-0.1278, 3.4635, 2.3505,0.9948, 17.3867, 1.7607,-0.1259, 3.1443, 2.5773,354.1982, 4.9952, 344.3186,-0.0420, 3.1721, 2.5852,352.0207, 3.7548, 289.0042,False,,1
3/29/2018 5:42:52 PM,-0.1279, 3.4635, 2.3515,1.1115, 17.0442, 1.7060,-0.1268, 3.1441, 2.5772,354.0892, 4.9594, 344.1575,-0.0433, 3.1721, 2.5867,352.1568, 3.4297, 288.7830,False,,1
3/29/2018 5:42:52 PM,-0.1278, 3.4636, 2.3528,1.2443, 16.6668, 1.6176,-0.1286, 3.1439, 2.5775,354.0304, 4.6547, 344.0070,-0.0454, 3.1725, 2.5876,351.9860, 3.0862, 288.8322,False,,1
3/29/2018 5:42:52 PM,-0.1275, 3.4635, 2.3541,1.4216, 16.3182, 1.5334,-0.1300, 3.1445, 2.5782,353.7505, 4.3063, 343.7530,-0.0477, 3.1731, 2.5882,351.7298, 2.4508, 288.7863,False,,1
3/29/2018 5:42:52 PM,-0.1272, 3.4632, 2.3549,1.6225, 15.9703, 1.4459,-0.1312, 3.1450, 2.5787,353.7147, 4.0509, 343.7880,-0.0494, 3.1737, 2.5887,351.5356, 2.0644, 288.7758,False,,1
3/29/2018 5:42:52 PM,-0.1270, 3.4632, 2.3557,1.7246, 15.6632, 1.3649,-0.1317, 3.1453, 2.5786,353.6432, 3.9735, 343.7466,-0.0500, 3.1742, 2.5891,351.3632, 1.8323, 288.7495,False,,1
3/29/2018 5:42:52 PM,-0.1266, 3.4633, 2.3562,1.7654, 15.4648, 1.3076,-0.1318, 3.1452, 2.5785,353.8224, 4.0120, 343.7416,-0.0500, 3.1745, 2.5895,351.2816, 1.7857, 288.6819,False,,1
3/29/2018 5:42:52 PM,-0.1262, 3.4629, 2.3563,1.8172, 15.3074, 1.2181,-0.1321, 3.1444, 2.5788,354.0482, 3.9805, 343.6937,-0.0504, 3.1740, 2.5900,351.2974, 1.6403, 288.6508,False,,1
3/29/2018 5:42:52 PM,-0.1258, 3.4628, 2.3567,1.8201, 15.2383, 1.1264,-0.1323, 3.1441, 2.5790,354.2681, 3.8912, 343.8339,-0.0510, 3.1738, 2.5900,351.1907, 1.5099, 288.6292,False,,1
3/29/2018 5:42:52 PM,-0.1252, 3.4632, 2.3568,1.8135, 15.2924, 1.1140,-0.1327, 3.1447, 2.5791,354.3328, 3.6026, 343.9634,-0.0512, 3.1743, 2.5895,351.1719, 1.3525, 288.6700,False,,1
3/29/2018 5:42:52 PM,-0.1244, 3.4630, 2.3566,1.8918, 15.4647, 1.1429,-0.1324, 3.1432, 2.5802,355.1619, 3.2710, 344.2953,-0.0508, 3.1741, 2.5890,351.1911, 1.1441, 288.8058,False,,1
3/29/2018 5:42:53 PM,-0.1237, 3.4629, 2.3568,1.9895, 15.7183, 1.1644,-0.1323, 3.1391, 2.5819,357.5591, 2.7730, 345.0795,-0.0495, 3.1729, 2.5889,351.5114, 1.1873, 288.8543,False,,1
3/29/2018 5:42:53 PM,-0.1229, 3.4630, 2.3566,2.0024, 16.0243, 1.1765,-0.1317, 3.1334, 2.5837,0.0594, 2.5180, 345.7763,-0.0472, 3.1718, 2.5889,352.0444, 1.3643, 288.8354,False,,1
3/29/2018 5:42:53 PM,-0.1222, 3.4628, 2.3560,2.0128, 16.3561, 1.1998,-0.1313, 3.1275, 2.5848,2.6824, 2.4533, 347.1822,-0.0443, 3.1702, 2.5892,352.6490, 1.9209, 289.0981,False,,1
3/29/2018 5:42:53 PM,-0.1219, 3.4626, 2.3556,2.0440, 16.6292, 1.1470,-0.1317, 3.1200, 2.5864,7.1030, 2.9337, 351.0635,-0.0407, 3.1699, 2.5891,352.8505, 2.9838, 289.3574,False,,1
3/29/2018 5:42:53 PM,-0.1213, 3.4624, 2.3538,1.9957, 16.8068, 1.1189,-0.1326, 3.1145, 2.5886,10.5957, 2.9662, 353.9585,-0.0366, 3.1698, 2.5889,352.9854, 4.2854, 289.3306,False,,1
3/29/2018 5:42:53 PM,-0.1212, 3.4621, 2.3523,1.8904, 16.9006, 1.0951,-0.1345, 3.1120, 2.5892,11.4128, 2.1963, 354.4356,-0.0347, 3.1697, 2.5886,352.9481, 4.6975, 289.2748,False,,1
3/29/2018 5:42:53 PM,-0.1212, 3.4620, 2.3512,1.7629, 16.9306, 1.1305,-0.1380, 3.1118, 2.5901,11.9902, 1.0341, 355.8041,-0.0333, 3.1698, 2.5879,352.9563, 5.2646, 289.3991,False,,1
3/29/2018 5:42:53 PM,-0.1212, 3.4618, 2.3497,1.6896, 16.9220, 1.1031,-0.1453, 3.1100, 2.5916,13.9519, 358.8076, 359.2845,-0.0324, 3.1695, 2.5876,353.0980, 5.4951, 289.3686,False,,1
3/29/2018 5:42:53 PM,-0.1209, 3.4619, 2.3488,1.6302, 16.9577, 1.1194,-0.1654, 3.1073, 2.5929,16.7976, 351.7002, 5.4961,-0.0316, 3.1690, 2.5870,353.2420, 5.6549, 289.2824,False,,1
3/29/2018 5:42:53 PM,-0.1205, 3.4620, 2.3491,1.6697, 17.1336, 1.1348,-0.1924, 3.1076, 2.5937,16.3184, 341.3277, 5.7028,-0.0301, 3.1681, 2.5864,353.3972, 6.1086, 289.0938,False,,1
3/29/2018 5:42:53 PM,-0.1196, 3.4616, 2.3481,1.6609, 17.3910, 1.0976,-0.2141, 3.1101, 2.5950,15.1350, 333.7320, 6.4196,-0.0282, 3.1679, 2.5859,353.3498, 6.5433, 289.2115,False,,1
3/29/2018 5:42:53 PM,-0.1189, 3.4612, 2.3476,1.7117, 17.7053, 0.9785,-0.2248, 3.1100, 2.5965,15.5418, 331.0858, 6.7104,-0.0263, 3.1673, 2.5858,353.4689, 7.0536, 289.0734,False,,1
3/29/2018 5:42:53 PM,-0.1184, 3.4608, 2.3469,1.8359, 17.9054, 0.8764,-0.2255, 3.1082, 2.5977,16.2953, 331.5312, 6.5020,-0.0250, 3.1666, 2.5862,353.6975, 7.3813, 288.9066,False,,1
3/29/2018 5:42:53 PM,-0.1182, 3.4601, 2.3455,1.9064, 17.8913, 0.8025,-0.2210, 3.1059, 2.5979,17.0604, 333.3573, 7.0784,-0.0257, 3.1660, 2.5866,353.8705, 7.2938, 288.8132,False,,1
3/29/2018 5:42:53 PM,-0.1181, 3.4598, 2.3448,1.8993, 17.7690, 0.7260,-0.2152, 3.1049, 2.5980,17.7844, 334.8287, 6.7646,-0.0271, 3.1660, 2.5867,353.7593, 7.0361, 288.8068,False,,1
3/29/2018 5:42:53 PM,-0.1180, 3.4600, 2.3445,1.8011, 17.5914, 0.6885,-0.2079, 3.1068, 2.5985,17.1933, 337.0097, 6.7333,-0.0283, 3.1663, 2.5870,353.6714, 6.7151, 288.7218,False,,1
3/29/2018 5:42:53 PM,-0.1180, 3.4601, 2.3437,1.7385, 17.4260, 0.6429,-0.2031, 3.1101, 2.6000,16.9732, 338.5843, 7.0410,-0.0294, 3.1662, 2.5874,353.7390, 6.5520, 288.6555,False,,1
3/29/2018 5:42:53 PM,-0.1181, 3.4602, 2.3440,1.6380, 17.3884, 0.5903,-0.2016, 3.1125, 2.6007,16.5175, 338.9919, 7.0953,-0.0299, 3.1659, 2.5876,353.7256, 6.4472, 288.6336,False,,1
3/29/2018 5:42:54 PM,-0.1179, 3.4604, 2.3439,1.5464, 17.4692, 0.6046,-0.2021, 3.1148, 2.6007,15.4690, 338.5473, 6.6014,-0.0294, 3.1661, 2.5873,353.6619, 6.5072, 288.5537,False,,1
3/29/2018 5:42:54 PM,-0.1177, 3.4605, 2.3438,1.4544, 17.6228, 0.5648,-0.2040, 3.1155, 2.6016,15.2392, 337.9491, 6.4926,-0.0290, 3.1661, 2.5874,353.6030, 6.5317, 288.4961,False,,1
3/29/2018 5:42:54 PM,-0.1178, 3.4608, 2.3443,1.4303, 17.7294, 0.6076,-0.2048, 3.1150, 2.6033,15.5958, 337.9002, 6.5559,-0.0286, 3.1660, 2.5874,353.6140, 6.6792, 288.4498,False,,1
3/29/2018 5:42:54 PM,-0.1180, 3.4609, 2.3446,1.3790, 17.7572, 0.5733,-0.2053, 3.1150, 2.6058,15.9930, 337.6437, 6.3725,-0.0282, 3.1662, 2.5878,353.5683, 6.7551, 288.4635,False,,1
3/29/2018 5:42:54 PM,0.4494, 3.2161, 2.4904,6.1399, 17.7308, 358.0673,0.3406, 2.8602, 2.7296,18.2023, 336.6381, 1.1787,0.5194, 2.9006, 2.7131,357.7916, 7.0977, 285.0695,False,,1
3/29/2018 5:42:54 PM,0.5911, 3.2580, 2.6371,9.2464, 17.6681, 356.3563,0.4684, 2.8971, 2.8595,19.4465, 336.1109, 357.6882,0.6475, 2.9298, 2.8446,0.7748, 7.4381, 282.8244,False,,1
3/29/2018 5:42:54 PM,0.6674, 3.2662, 1.6720,10.8587, 17.7312, 355.9633,0.5325, 2.9117, 1.9246,19.8431, 335.9689, 355.9236,0.7110, 2.9405, 1.9114,2.2035, 7.4768, 281.7125,False,,1
3/29/2018 5:42:54 PM,0.6748, 3.2705, 1.6887,11.3130, 17.9535, 356.2332,0.5424, 2.9139, 1.9345,19.8393, 335.9455, 355.6553,0.7211, 2.9420, 1.9219,2.4193, 7.5539, 281.5409,False,,1
3/29/2018 5:42:54 PM,0.6737, 3.2716, 1.6926,11.3949, 18.1570, 356.1747,0.5420, 2.9142, 1.9342,19.6671, 335.7693, 355.7683,0.7212, 2.9424, 1.9223,2.3229, 7.5028, 281.6256,False,,1
3/29/2018 5:42:54 PM,0.6734, 3.2727, 1.6986,11.3307, 17.9955, 356.0998,0.5415, 2.9152, 1.9354,19.3017, 335.4699, 355.6405,0.7213, 2.9431, 1.9222,2.0672, 7.5377, 281.6133,False,,1
3/29/2018 5:42:54 PM,0.6730, 3.2739, 1.7029,11.3590, 17.4579, 355.8651,0.5413, 2.9160, 1.9358,18.7927, 335.2607, 355.5419,0.7218, 2.9431, 1.9226,1.9422, 7.5876, 281.5298,False,,1
3/29/2018 5:42:54 PM,0.6725, 3.2748, 1.7083,11.3301, 17.0171, 355.7693,0.5422, 2.9165, 1.9365,18.5010, 335.3987, 355.3923,0.7225, 2.9425, 1.9232,2.0887, 7.6966, 281.5439,False,,1
3/29/2018 5:42:54 PM,0.5910, 3.2812, 1.7120,9.9975, 16.7891, 356.5102,0.4685, 2.9246, 1.9446,17.9532, 335.9381, 357.0968,0.6480, 2.9526, 1.9296,0.9208, 7.6383, 282.5422,True,481 255 313 255,1
3/29/2018 5:42:54 PM,0.3296, 3.2923, 1.7390,5.5777, 16.7955, 358.9762,0.2282, 2.9428, 1.9887,16.1006, 337.1697, 1.8910,0.4052, 2.9811, 1.9727,356.9690, 7.3227, 285.5435,True,0 255 0 255,1
3/29/2018 5:42:54 PM,0.1407, 3.3034, 1.8105,2.6847, 17.0643, 0.4796,0.0532, 2.9584, 2.0691,15.1044, 338.0494, 5.0665,0.2279, 3.0045, 2.0522,354.2365, 7.0167, 287.5634,False,,1
3/29/2018 5:42:54 PM,0.0301, 3.3295, 1.9230,1.4148, 17.3136, 1.4713,-0.0521, 2.9870, 2.1837,14.4225, 338.2123, 6.3316,0.1210, 3.0370, 2.1664,352.6152, 6.5865, 289.0233,False,,1
3/29/2018 5:42:54 PM,-0.0198, 3.3710, 2.0628,1.4105, 17.4979, 1.6269,-0.1019, 3.0293, 2.3216,13.9351, 338.0108, 6.1810,0.0702, 3.0789, 2.3036,352.4940, 6.1876, 289.1035,False,,1
3/29/2018 5:42:55 PM,-0.0567, 3.4054, 2.1775,1.3559, 17.8058, 1.8314,-0.1390, 3.0648, 2.4340,13.6554, 337.8547, 6.1311,0.0323, 3.1132, 2.4162,352.5013, 5.9989, 289.1218,False,,1
3/29/2018 5:42:55 PM,-0.0848, 3.4318, 2.2656,1.5273, 17.7164, 1.6631,-0.1667, 3.0913, 2.5197,13.4954, 338.0517, 6.0811,0.0039, 3.1385, 2.5027,352.7325, 5.9806, 289.0403,False,,1
3/29/2018 5:42:55 PM,-0.1041, 3.4497, 2.3263,1.5555, 17.5284, 1.3516,-0.1856, 3.1090, 2.5786,13.6599, 338.2839, 6.1232,-0.0153, 3.1562, 2.5627,352.9131, 6.1054, 288.9562,False,,1
3/29/2018 5:42:55 PM,-0.1145, 3.4595, 2.3599,1.4851, 17.2664, 1.3176,-0.1962, 3.1176, 2.6105,13.6326, 338.1605, 5.8662,-0.0254, 3.1659, 2.5952,352.8432, 6.2022, 288.8298,False,,1
3/29/2018 5:42:55 PM,-0.1166, 3.4620, 2.3689,1.3796, 17.0985, 1.2303,-0.1983, 3.1187, 2.6173,13.7319, 338.1261, 5.8335,-0.0270, 3.1670, 2.6023,352.8462, 6.3540, 288.6627,False,,1
3/29/2018 5:42:55 PM,-0.1166, 3.4618, 2.3708,1.0590, 16.8480, 1.4783,-0.1980, 3.1188, 2.6173,13.4473, 338.0167, 5.5063,-0.0274, 3.1656, 2.6031,353.1586, 6.3036, 288.6645,False,,1
3/29/2018 5:42:55 PM,-0.1167, 3.4617, 2.3728,1.1678, 16.8098, 1.3662,-0.1972, 3.1184, 2.6177,13.3885, 338.2570, 5.4151,-0.0276, 3.1642, 2.6039,353.4162, 6.2504, 288.6860,False,,1
3/29/2018 5:42:55 PM,-0.1170, 3.4614, 2.3745,1.2140, 16.9524, 1.3429,-0.1963, 3.1181, 2.6189,13.6252, 338.5442, 5.5434,-0.0279, 3.1636, 2.6046,353.6002, 6.3509, 288.7749,False,,1
3/29/2018 5:42:55 PM,-0.1170, 3.4609, 2.3758,1.1846, 17.1317, 1.5010,-0.1955, 3.1181, 2.6194,13.4796, 338.5423, 5.0838,-0.0285, 3.1641, 2.6042,353.2942, 6.4563, 288.4108,False,,1
3/29/2018 5:42:55 PM,-0.1168, 3.4602, 2.3762,1.5581, 17.1311, 1.4534,-0.1937, 3.1175, 2.6189,12.9279, 338.5787, 3.9907,-0.0300, 3.1635, 2.6032,353.3214, 6.2308, 288.4010,False,,1
3/29/2018 5:42:55 PM,-0.1166, 3.4595, 2.3760,1.9236, 17.2706, 1.1908,-0.1905, 3.1159, 2.6198,13.9434, 339.9046, 4.4151,-0.0304, 3.1620, 2.6033,353.5332, 6.1398, 288.6424,False,,1
3/29/2018 5:42:55 PM,-0.1167, 3.4592, 2.3746,1.6776, 17.6253, 1.1216,-0.1893, 3.1155, 2.6206,14.4781, 340.6247, 5.1147,-0.0295, 3.1613, 2.6039,353.9823, 6.5667, 288.3812,False,,1
3/29/2018 5:42:55 PM,-0.1166, 3.4592, 2.3743,1.5558, 17.8774, 1.2801,-0.1893, 3.1166, 2.6196,13.2575, 340.1342, 4.2169,-0.0280, 3.1622, 2.6029,353.4381, 7.0659, 288.2295,False,,1
3/29/2018 5:42:55 PM,-0.1168, 3.4586, 2.3734,1.6551, 18.0198, 1.1236,-0.1889, 3.1172, 2.6192,13.1178, 340.3500, 3.9805,-0.0283, 3.1617, 2.6019,353.6288, 6.9872, 288.1420,False,,1
3/29/2018 5:42:55 PM,-0.1168, 3.4578, 2.3719,1.7723, 18.2620, 0.9869,-0.1878, 3.1161, 2.6196,13.8612, 341.0376, 4.6185,-0.0280, 3.1609, 2.6021,353.8451, 7.2143, 288.2696,False,,1
3/29/2018 5:42:55 PM,-0.1169, 3.4574, 2.3711,1.7915, 18.4656, 1.1676,-0.1884, 3.1151, 2.6185,13.5554, 340.6504, 4.2539,-0.0281, 3.1602, 2.6017,353.8302, 7.4035, 288.1569,False,,1
3/29/2018 5:42:55 PM,-0.1172, 3.4570, 2.3706,1.8734, 18.4622, 1.0841,-0.1884, 3.1145, 2.6177,13.7003, 340.6449, 3.8320,-0.0293, 3.1599, 2.6011,354.0276, 7.0921, 288.2186,False,,1
3/29/2018 5:42:55 PM,-0.1180, 3.4565, 2.3689,2.1105, 18.4655, 0.9491,-0.1874, 3.1138, 2.6174,14.2160, 341.3400, 4.3251,-0.0295, 3.1603, 2.6011,354.0000, 7.0871, 288.4870,False,,1
3/29/2018 5:42:56 PM,-0.1188, 3.4568, 2.3679,1.9905, 18.5023, 1.0431,-0.1879, 3.1153, 2.6175,14.0377, 341.4079, 4.4736,-0.0293, 3.1620, 2.6013,353.8177, 7.2571, 288.5386,False,,1
