Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 9:35:22 PM,-0.0514, 3.7746, 2.2723,358.0244, 30.2305, 351.7865,-0.0253, 3.0593, 2.5386,15.9697, 20.4088, 5.1565,0.1783, 3.1094, 2.4709,9.1921, 39.6895, 332.9883,False,,1
3/27/2018 9:35:22 PM,-0.0499, 3.7745, 2.2746,358.2879, 30.7879, 351.5257,-0.0320, 3.0673, 2.5521,16.6247, 17.3736, 4.2867,0.1750, 3.1107, 2.4682,8.0869, 39.8121, 331.9869,False,,1
3/27/2018 9:35:22 PM,-0.0509, 3.7743, 2.2777,358.5845, 31.3279, 351.5260,-0.0309, 3.1005, 2.5678,3.1714, 20.0368, 9.9051,0.1708, 3.1158, 2.4677,6.1816, 39.7091, 330.6271,False,,1
3/27/2018 9:35:22 PM,-0.0541, 3.7745, 2.2811,358.4167, 31.8326, 351.8695,-0.0340, 3.1320, 2.5827,353.4307, 20.9937, 18.1753,0.1693, 3.1215, 2.4666,5.0671, 41.0763, 325.8271,False,,1
3/27/2018 9:35:22 PM,-0.0591, 3.7756, 2.2844,357.8512, 32.3326, 352.1440,-0.0343, 3.1444, 2.5913,349.6170, 22.2910, 23.8138,0.1705, 3.1204, 2.4647,7.4255, 44.3379, 315.3928,False,,1
3/27/2018 9:35:22 PM,-0.0649, 3.7787, 2.2882,357.2045, 32.7379, 352.2772,-0.0348, 3.1476, 2.6015,348.0173, 20.2626, 19.6661,0.1696, 3.1051, 2.4636,15.7733, 47.7392, 309.3529,False,,1
3/27/2018 9:35:22 PM,-0.0713, 3.7815, 2.2918,356.5319, 32.7570, 352.4822,-0.0381, 3.1461, 2.6097,348.0700, 17.1322, 19.1703,0.1622, 3.0972, 2.4662,14.4012, 47.3061, 310.6345,False,,1
3/27/2018 9:35:22 PM,-0.0776, 3.7837, 2.2955,355.6279, 32.5714, 352.5740,-0.0409, 3.1447, 2.6151,348.3644, 15.9868, 17.1421,0.1453, 3.0935, 2.4718,11.7641, 43.2878, 317.6422,False,,1
3/27/2018 9:35:22 PM,-0.0833, 3.7851, 2.3004,354.8076, 32.3373, 352.3573,-0.0443, 3.1401, 2.6207,351.6038, 16.2366, 19.9419,0.1205, 3.0856, 2.4840,14.5611, 34.2762, 319.7532,False,,1
3/27/2018 9:35:22 PM,-0.0888, 3.7853, 2.3063,354.3318, 32.3215, 351.9657,-0.0504, 3.1392, 2.6301,354.6766, 16.7431, 23.2908,0.1116, 3.0846, 2.4877,13.2901, 32.4024, 326.8679,False,,1
3/27/2018 9:35:22 PM,-0.0934, 3.7846, 2.3136,354.2052, 32.4173, 351.8922,-0.0546, 3.1508, 2.6413,353.3909, 17.3183, 23.9767,0.1155, 3.0918, 2.4941,12.9779, 33.5949, 324.0020,False,,1
3/27/2018 9:35:22 PM,-0.0978, 3.7829, 2.3220,354.3956, 32.7293, 351.9021,-0.0552, 3.1731, 2.6605,352.1794, 16.4501, 26.0388,0.1253, 3.1123, 2.5040,7.9508, 36.9143, 325.5189,False,,1
3/27/2018 9:35:22 PM,-0.1038, 3.7799, 2.3298,355.0977, 32.7950, 351.8866,-0.0517, 3.2135, 2.6852,346.8134, 16.2582, 29.2907,0.1389, 3.1518, 2.5176,358.5753, 40.5335, 326.2507,False,,1
3/27/2018 9:35:22 PM,-0.1105, 3.7760, 2.3370,355.6614, 32.4422, 352.0544,-0.0502, 3.2674, 2.7044,335.5124, 15.5675, 28.6546,0.1464, 3.2029, 2.5364,348.5141, 41.1737, 330.0913,False,,1
3/27/2018 9:35:22 PM,-0.1179, 3.7727, 2.3435,356.1909, 32.0128, 351.9008,-0.0542, 3.3254, 2.7159,322.7789, 14.8209, 29.2342,0.1501, 3.2642, 2.5523,336.5227, 42.1591, 331.6986,False,,1
3/27/2018 9:35:22 PM,-0.1264, 3.7725, 2.3475,357.0588, 31.7930, 351.7189,-0.0600, 3.3877, 2.7150,307.2962, 16.7756, 25.8992,0.1457, 3.3272, 2.5607,324.5070, 40.8589, 334.1654,False,,1
3/27/2018 9:35:22 PM,-0.1352, 3.7748, 2.3502,357.2351, 31.5140, 351.9269,-0.0685, 3.4433, 2.7063,294.8305, 21.1576, 20.0655,0.1360, 3.3851, 2.5588,313.4306, 39.6195, 337.1504,False,,1
3/27/2018 9:35:22 PM,-0.1443, 3.7770, 2.3529,356.5247, 31.0484, 352.3846,-0.0801, 3.4860, 2.6966,285.0529, 25.8284, 13.2600,0.1209, 3.4323, 2.5577,304.9041, 35.7261, 340.5209,False,,1
3/27/2018 9:35:23 PM,-0.1524, 3.7771, 2.3568,355.6951, 30.4444, 352.7142,-0.0912, 3.5142, 2.6910,278.8801, 35.6379, 1.2082,0.1061, 3.4652, 2.5612,298.9793, 31.2408, 344.9443,False,,1
3/27/2018 9:35:23 PM,-0.1592, 3.7743, 2.3628,355.7215, 29.8716, 352.8397,-0.1026, 3.5272, 2.6902,275.9476, 29.2418, 8.4096,0.0936, 3.4828, 2.5600,294.3708, 28.9852, 347.1886,False,,1
3/27/2018 9:35:23 PM,-0.1643, 3.7716, 2.3694,356.3447, 29.4011, 352.8631,-0.1091, 3.5308, 2.6983,279.4910, 19.1686, 20.5332,0.0882, 3.4885, 2.5646,294.8154, 30.2401, 344.4205,False,,1
3/27/2018 9:35:23 PM,-0.1691, 3.7715, 2.3762,356.7559, 29.2748, 352.7040,-0.1116, 3.5260, 2.7113,284.7468, 16.2268, 27.3422,0.0840, 3.4862, 2.5680,295.4467, 31.0850, 342.8706,False,,1
3/27/2018 9:35:23 PM,-0.1736, 3.7731, 2.3836,356.7813, 29.1339, 352.8413,-0.1171, 3.5176, 2.7245,288.2241, 11.1387, 32.4989,0.0808, 3.4794, 2.5722,296.7941, 31.6138, 342.2385,False,,1
3/27/2018 9:35:23 PM,-0.1778, 3.7742, 2.3912,356.4926, 28.7439, 353.5508,-0.1154, 3.5026, 2.7405,295.0775, 16.6301, 33.5236,0.0787, 3.4694, 2.5790,298.8472, 31.1970, 342.2431,False,,1
3/27/2018 9:35:23 PM,-0.1814, 3.7738, 2.3991,356.3565, 28.1545, 353.9368,-0.1184, 3.4836, 2.7564,301.1432, 14.4640, 41.3410,0.0779, 3.4591, 2.5862,300.8818, 31.6518, 341.5152,False,,1
3/27/2018 9:35:23 PM,-0.1841, 3.7726, 2.4067,356.4632, 27.5066, 354.3230,-0.1238, 3.4619, 2.7665,305.9880, 10.7358, 46.8199,0.0779, 3.4517, 2.5888,302.2750, 34.7754, 338.2038,False,,1
3/27/2018 9:35:23 PM,-0.1862, 3.7717, 2.4130,356.4503, 26.9238, 354.5521,-0.1232, 3.4368, 2.7748,314.6845, 10.9751, 50.8520,0.0781, 3.4461, 2.5874,303.4767, 39.5105, 330.7343,False,,1
3/27/2018 9:35:23 PM,-0.1869, 3.7714, 2.4177,356.5429, 26.4359, 354.4587,-0.1280, 3.4162, 2.7773,317.0951, 5.6872, 52.7274,0.0802, 3.4383, 2.5868,306.3204, 43.6091, 319.4988,False,,1
3/27/2018 9:35:23 PM,-0.1871, 3.7713, 2.4215,356.6796, 26.0253, 354.4362,-0.1250, 3.3896, 2.7831,325.4994, 8.7863, 52.0613,0.0836, 3.4261, 2.5901,310.4814, 45.9098, 312.8997,False,,1
3/27/2018 9:35:23 PM,-0.1869, 3.7713, 2.4241,356.7522, 25.6285, 354.0704,-0.1208, 3.3653, 2.7874,331.8418, 8.9433, 54.6078,0.0847, 3.4097, 2.5981,316.9987, 42.7864, 319.1253,False,,1
3/27/2018 9:35:23 PM,-0.1861, 3.7705, 2.4260,356.6984, 25.4272, 353.7352,-0.1181, 3.3498, 2.7875,334.2333, 9.6063, 50.5166,0.0853, 3.3955, 2.6030,320.2260, 42.4586, 318.4172,False,,1
3/27/2018 9:35:23 PM,-0.1849, 3.7693, 2.4271,356.7417, 25.5239, 353.7021,-0.1146, 3.3397, 2.7880,336.5433, 11.2129, 47.7633,0.0861, 3.3823, 2.6078,324.8288, 41.5992, 318.3520,False,,1
3/27/2018 9:35:23 PM,-0.1830, 3.7681, 2.4263,356.9860, 25.6927, 353.7923,-0.1095, 3.3339, 2.7892,338.2267, 13.6184, 43.6785,0.0837, 3.3708, 2.6157,328.2009, 39.8190, 320.4086,False,,1
3/27/2018 9:35:23 PM,-0.1807, 3.7682, 2.4241,356.8648, 25.6534, 353.8535,-0.0997, 3.3292, 2.7883,340.9216, 18.5223, 39.8858,0.0786, 3.3664, 2.6177,327.4196, 38.1016, 324.7090,False,,1
3/27/2018 9:35:23 PM,-0.1783, 3.7698, 2.4210,356.6319, 25.2027, 353.5750,-0.0927, 3.3252, 2.7855,343.6737, 20.8139, 32.6280,0.0739, 3.3647, 2.6202,326.8236, 36.4616, 327.0458,False,,1
3/27/2018 9:35:23 PM,-0.1752, 3.7722, 2.4174,356.2995, 24.4845, 353.4007,-0.0889, 3.3277, 2.7810,344.3900, 22.7865, 26.6235,0.0709, 3.3643, 2.6226,326.8834, 34.4907, 328.6672,False,,1
