Time, HMD_pos.x, HMD_pos.y, HMD_pos.z, HMD_rot.x, HMD_rot.y, HMD_rot.z, Lcontroller_pos.x, Lcontroller_pos.y, Lcontroller_pos.z, Lcontroller_rot.x, Lcontroller_rot.y, Lcontroller_rot.z, Rcontroller_pos.x, Rcontroller_pos.y, Rcontroller_pos.z, Rcontroller_rot.x, Rcontroller_rot.y, Rcontroller_rot.z, send2motor, motor_data, punch_type
3/27/2018 2:37:00 PM,0.2303, 3.6095, 2.4106,350.6854, 6.0057, 4.7496,0.1572, 3.3245, 2.5525,297.1211, 0.3168, 17.7790,0.3160, 3.3174, 2.5756,313.0248, 7.7256, 338.6350,False,,1
3/27/2018 2:37:00 PM,0.2304, 3.6097, 2.4105,350.7285, 6.0819, 4.6760,0.1573, 3.3247, 2.5523,297.1837, 0.4375, 17.7531,0.3155, 3.3173, 2.5756,313.1133, 7.6409, 338.6396,False,,1
3/27/2018 2:37:00 PM,0.2306, 3.6095, 2.4103,350.7956, 6.1888, 4.5669,0.1575, 3.3250, 2.5522,297.1930, 0.7395, 17.6276,0.3145, 3.3174, 2.5754,313.1014, 7.4564, 338.6867,False,,1
3/27/2018 2:37:00 PM,0.2307, 3.6096, 2.4097,350.8508, 6.3080, 4.5025,0.1574, 3.3257, 2.5516,297.0319, 0.8651, 17.6145,0.3133, 3.3175, 2.5754,313.1596, 7.2465, 338.7230,False,,1
3/27/2018 2:37:00 PM,0.2310, 3.6093, 2.4095,350.8455, 6.4073, 4.4940,0.1581, 3.3257, 2.5516,297.0646, 1.2462, 17.4149,0.3132, 3.3177, 2.5758,313.1283, 7.2164, 338.6766,False,,1
3/27/2018 2:37:00 PM,0.2309, 3.6093, 2.4093,350.8669, 6.3988, 4.4309,0.1583, 3.3258, 2.5509,297.0727, 1.3538, 17.4815,0.3130, 3.3177, 2.5756,313.1114, 7.2039, 338.6775,False,,1
3/27/2018 2:37:00 PM,0.2307, 3.6090, 2.4090,350.9097, 6.3077, 4.4516,0.1583, 3.3260, 2.5509,296.9550, 1.7005, 17.1471,0.3126, 3.3172, 2.5760,313.3142, 7.1964, 338.5330,False,,1
3/27/2018 2:37:00 PM,0.2307, 3.6090, 2.4086,350.9380, 6.2780, 4.4876,0.1584, 3.3263, 2.5505,296.9809, 1.5877, 17.2071,0.3125, 3.3174, 2.5756,313.2591, 7.0341, 338.6651,False,,1
3/27/2018 2:37:00 PM,0.2306, 3.6090, 2.4082,350.9449, 6.2232, 4.5091,0.1582, 3.3264, 2.5511,297.0765, 1.6343, 17.2043,0.3117, 3.3170, 2.5756,313.4232, 6.7676, 338.6187,False,,1
3/27/2018 2:37:00 PM,0.2306, 3.6092, 2.4080,350.9119, 6.1529, 4.4911,0.1585, 3.3266, 2.5510,297.1505, 1.8799, 16.9133,0.3112, 3.3172, 2.5755,313.5243, 6.5789, 338.4817,False,,1
3/27/2018 2:37:00 PM,0.2304, 3.6092, 2.4078,350.8866, 6.0652, 4.4943,0.1582, 3.3265, 2.5504,297.1618, 1.7887, 16.9810,0.3106, 3.3169, 2.5756,313.6493, 6.4498, 338.3640,False,,1
