Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
CE,2/26/2018 17:30,1,150,TRUE,FALSE
CE,2/26/2018 17:31,2,150,TRUE,FALSE
CE,2/26/2018 17:31,3,132,TRUE,FALSE
CE,2/26/2018 17:31,4,132,TRUE,FALSE
CE,2/26/2018 17:32,5,114,TRUE,FALSE
CE,2/26/2018 17:32,6,114,TRUE,FALSE
CE,2/26/2018 17:32,7,96,TRUE,FALSE
CE,2/26/2018 17:32,8,96,TRUE,FALSE
CE,2/26/2018 17:33,9,78,TRUE,FALSE
CE,2/26/2018 17:33,10,78,TRUE,FALSE
CE,2/26/2018 17:33,11,69,TRUE,FALSE
CE,2/26/2018 17:33,12,69,TRUE,FALSE
CE,2/26/2018 17:34,13,60,TRUE,FALSE
CE,2/26/2018 17:34,14,60,TRUE,FALSE
CE,2/26/2018 17:34,15,51,TRUE,FALSE
CE,2/26/2018 17:35,16,51,TRUE,FALSE
CE,2/26/2018 17:35,17,42,FALSE,TRUE
CE,2/26/2018 17:35,18,46,FALSE,TRUE
CE,2/26/2018 17:35,19,50,FALSE,TRUE
CE,2/26/2018 17:36,20,54,TRUE,FALSE
CE,2/26/2018 17:36,21,54,FALSE,TRUE
CE,2/26/2018 17:36,22,58,FALSE,TRUE
CE,2/26/2018 17:36,23,62,TRUE,FALSE
CE,2/26/2018 17:37,24,62,TRUE,FALSE
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
CE,2/26/2018 5:41:13 PM,1,70,True,False
CE,2/26/2018 5:41:34 PM,2,70,True,False
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
