Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
KT,2/27/2018 2:41:00 PM,1,150,True,False
KT,2/27/2018 2:41:14 PM,2,150,True,False
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
KT,2/27/2018 2:42:54 PM,1,150,True,False
KT,2/27/2018 2:43:09 PM,2,150,True,False
KT,2/27/2018 2:43:24 PM,3,138,True,False
KT,2/27/2018 2:43:38 PM,4,138,True,False
KT,2/27/2018 2:43:54 PM,5,126,True,False
KT,2/27/2018 2:44:12 PM,6,126,True,False
KT,2/27/2018 2:44:27 PM,7,114,True,False
KT,2/27/2018 2:44:44 PM,8,114,True,False
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
KT,2/27/2018 2:47:12 PM,1,150,False,True
KT,2/27/2018 2:47:33 PM,2,162,True,False
KT,2/27/2018 2:47:47 PM,3,162,True,False
KT,2/27/2018 2:48:03 PM,4,150,True,False
KT,2/27/2018 2:48:19 PM,5,150,True,False
KT,2/27/2018 2:48:33 PM,6,138,True,False
KT,2/27/2018 2:48:47 PM,7,138,True,False
KT,2/27/2018 2:49:01 PM,8,126,True,False
KT,2/27/2018 2:49:16 PM,9,126,True,False
KT,2/27/2018 2:49:32 PM,10,120,True,False
KT,2/27/2018 2:49:53 PM,11,120,True,False
KT,2/27/2018 2:50:08 PM,12,114,True,False
KT,2/27/2018 2:50:22 PM,13,114,True,False
KT,2/27/2018 2:50:36 PM,14,108,True,False
KT,2/27/2018 2:50:58 PM,15,108,True,False
KT,2/27/2018 2:51:12 PM,16,102,True,False
KT,2/27/2018 2:51:26 PM,17,102,True,False
KT,2/27/2018 2:51:40 PM,18,99,True,False
KT,2/27/2018 2:51:57 PM,19,99,True,False
KT,2/27/2018 2:52:11 PM,20,96,True,False
KT,2/27/2018 2:52:27 PM,21,96,True,False
KT,2/27/2018 2:52:43 PM,22,93,True,False
KT,2/27/2018 2:52:58 PM,23,93,True,False
KT,2/27/2018 2:53:13 PM,24,90,True,False
