Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
RF,2/26/2018 17:49,1,150,TRUE,FALSE
RF,2/26/2018 17:49,2,150,TRUE,FALSE
RF,2/26/2018 17:49,3,132,TRUE,FALSE
RF,2/26/2018 17:49,4,132,TRUE,FALSE
RF,2/26/2018 17:50,5,114,TRUE,FALSE
RF,2/26/2018 17:50,6,114,TRUE,FALSE
RF,2/26/2018 17:50,7,96,TRUE,FALSE
RF,2/26/2018 17:51,8,96,TRUE,FALSE
RF,2/26/2018 17:51,9,78,TRUE,FALSE
RF,2/26/2018 17:51,10,78,TRUE,FALSE
RF,2/26/2018 17:52,11,69,FALSE,TRUE
RF,2/26/2018 17:52,12,78,TRUE,FALSE
RF,2/26/2018 17:52,13,78,TRUE,FALSE
RF,2/26/2018 17:52,14,69,FALSE,TRUE
RF,2/26/2018 17:53,15,78,TRUE,FALSE
RF,2/26/2018 17:53,16,78,FALSE,TRUE
RF,2/26/2018 17:53,17,87,TRUE,FALSE
RF,2/26/2018 17:54,18,87,FALSE,TRUE
RF,2/26/2018 17:54,19,91,FALSE,TRUE
RF,2/26/2018 17:54,20,95,FALSE,TRUE
RF,2/26/2018 17:55,21,99,TRUE,FALSE
RF,2/26/2018 17:55,22,99,TRUE,FALSE
RF,2/26/2018 17:55,23,95,TRUE,FALSE
RF,2/26/2018 17:55,24,95,FALSE,TRUE
