Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Ricky,2/27/2018 5:27:08 PM,1,150,True,False
Ricky,2/27/2018 5:27:25 PM,2,150,True,False
Ricky,2/27/2018 5:27:41 PM,3,132,True,False
Ricky,2/27/2018 5:27:58 PM,4,132,True,False
Ricky,2/27/2018 5:28:13 PM,5,114,True,False
Ricky,2/27/2018 5:28:27 PM,6,114,True,False
Ricky,2/27/2018 5:28:44 PM,7,96,True,False
Ricky,2/27/2018 5:28:59 PM,8,96,True,False
Ricky,2/27/2018 5:29:14 PM,9,78,True,False
Ricky,2/27/2018 5:29:29 PM,10,78,True,False
Ricky,2/27/2018 5:29:45 PM,11,69,False,True
Ricky,2/27/2018 5:30:02 PM,12,78,True,False
Ricky,2/27/2018 5:30:16 PM,13,78,True,False
Ricky,2/27/2018 5:30:32 PM,14,69,True,False
Ricky,2/27/2018 5:30:47 PM,15,69,True,False
Ricky,2/27/2018 5:31:02 PM,16,60,True,False
Ricky,2/27/2018 5:31:19 PM,17,60,True,False
Ricky,2/27/2018 5:31:34 PM,18,56,True,False
Ricky,2/27/2018 5:31:49 PM,19,56,True,False
Ricky,2/27/2018 5:32:02 PM,20,52,True,False
Ricky,2/27/2018 5:32:20 PM,21,52,True,False
Ricky,2/27/2018 5:32:34 PM,22,48,True,False
Ricky,2/27/2018 5:32:50 PM,23,48,True,False
Ricky,2/27/2018 5:33:03 PM,24,44,False,True
