Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
TY,2/27/2018 10:35:09 AM,1,150,True,False
TY,2/27/2018 10:35:25 AM,2,150,True,False
TY,2/27/2018 10:35:40 AM,3,138,True,False
TY,2/27/2018 10:35:54 AM,4,138,True,False
TY,2/27/2018 10:36:08 AM,5,126,True,False
TY,2/27/2018 10:36:27 AM,6,126,True,False
TY,2/27/2018 10:36:44 AM,7,114,True,False
TY,2/27/2018 10:37:00 AM,8,114,True,False
TY,2/27/2018 10:37:15 AM,9,102,True,False
TY,2/27/2018 10:37:29 AM,10,102,False,True
TY,2/27/2018 10:37:45 AM,11,108,True,False
TY,2/27/2018 10:38:00 AM,12,108,True,False
TY,2/27/2018 10:38:16 AM,13,102,True,False
TY,2/27/2018 10:38:31 AM,14,102,True,False
TY,2/27/2018 10:38:48 AM,15,96,True,False
TY,2/27/2018 10:39:02 AM,16,96,False,True
TY,2/27/2018 10:39:20 AM,17,102,False,True
TY,2/27/2018 10:39:34 AM,18,105,True,False
TY,2/27/2018 10:39:50 AM,19,105,False,True
TY,2/27/2018 10:40:01 AM,20,108,False,True
TY,2/27/2018 10:40:16 AM,21,111,True,False
TY,2/27/2018 10:40:30 AM,22,111,True,False
TY,2/27/2018 10:40:46 AM,23,108,True,False
TY,2/27/2018 10:41:01 AM,24,108,True,False
