Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Timo,2/27/2018 8:58:24 PM,1,150,True,False
Timo,2/27/2018 8:58:44 PM,2,150,True,False
Timo,2/27/2018 8:59:03 PM,3,138,True,False
Timo,2/27/2018 8:59:21 PM,4,138,True,False
Timo,2/27/2018 8:59:39 PM,5,126,True,False
Timo,2/27/2018 8:59:57 PM,6,126,True,False
Timo,2/27/2018 9:00:15 PM,7,114,True,False
Timo,2/27/2018 9:00:31 PM,8,114,True,False
Timo,2/27/2018 9:00:46 PM,9,102,True,False
Timo,2/27/2018 9:01:01 PM,10,102,True,False
Timo,2/27/2018 9:01:16 PM,11,96,True,False
Timo,2/27/2018 9:01:31 PM,12,96,True,False
Timo,2/27/2018 9:01:47 PM,13,90,True,False
Timo,2/27/2018 9:02:01 PM,14,90,True,False
Timo,2/27/2018 9:02:16 PM,15,84,True,False
Timo,2/27/2018 9:02:33 PM,16,84,True,False
Timo,2/27/2018 9:02:48 PM,17,78,True,False
Timo,2/27/2018 9:03:01 PM,18,78,True,False
Timo,2/27/2018 9:03:16 PM,19,75,True,False
Timo,2/27/2018 9:03:31 PM,20,75,True,False
Timo,2/27/2018 9:03:47 PM,21,72,True,False
Timo,2/27/2018 9:04:01 PM,22,72,True,False
Timo,2/27/2018 9:04:16 PM,23,69,True,False
Timo,2/27/2018 9:04:32 PM,24,69,True,False
