Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
WJ,2/26/2018 16:01,1,90,TRUE,FALSE
WJ,2/26/2018 16:01,2,90,TRUE,FALSE
WJ,2/26/2018 16:02,3,72,TRUE,FALSE
WJ,2/26/2018 16:02,4,72,TRUE,FALSE
WJ,2/26/2018 16:03,5,54,FALSE,TRUE
WJ,2/26/2018 16:04,6,72,FALSE,TRUE
WJ,2/26/2018 16:04,7,90,TRUE,FALSE
WJ,2/26/2018 16:05,8,90,FALSE,TRUE
WJ,2/26/2018 16:06,9,108,TRUE,FALSE
WJ,2/26/2018 16:06,10,108,TRUE,FALSE
WJ,2/26/2018 16:07,11,99,TRUE,FALSE
WJ,2/26/2018 16:07,12,99,TRUE,FALSE
WJ,2/26/2018 16:08,13,90,TRUE,FALSE
WJ,2/26/2018 16:08,14,90,TRUE,FALSE
WJ,2/26/2018 16:09,15,81,TRUE,FALSE
WJ,2/26/2018 16:09,16,81,TRUE,FALSE
WJ,2/26/2018 16:10,17,72,TRUE,FALSE
WJ,2/26/2018 16:11,18,72,FALSE,TRUE
WJ,2/26/2018 16:11,19,76,TRUE,FALSE
WJ,2/26/2018 16:12,20,76,TRUE,FALSE
WJ,2/26/2018 16:12,21,72,TRUE,FALSE
WJ,2/26/2018 16:13,22,72,FALSE,TRUE
WJ,2/26/2018 16:13,23,76,FALSE,TRUE
WJ,2/26/2018 16:14,24,80,TRUE,FALSE
