Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
cxy,2/26/2018 9:41:52 PM,1,150,False,True
cxy,2/26/2018 9:42:11 PM,2,168,True,False
cxy,2/26/2018 9:43:27 PM,3,168,True,False
cxy,2/26/2018 9:43:44 PM,4,150,True,False
cxy,2/26/2018 9:43:58 PM,5,150,True,False
cxy,2/26/2018 9:44:14 PM,6,132,True,False
cxy,2/26/2018 9:44:30 PM,7,132,True,False
cxy,2/26/2018 9:44:45 PM,8,114,True,False
cxy,2/26/2018 9:45:01 PM,9,114,True,False
cxy,2/26/2018 9:45:20 PM,10,105,True,False
cxy,2/26/2018 9:45:37 PM,11,105,True,False
cxy,2/26/2018 9:45:54 PM,12,96,True,False
cxy,2/26/2018 9:46:09 PM,13,96,True,False
cxy,2/26/2018 9:46:59 PM,14,87,True,False
cxy,2/26/2018 9:47:15 PM,15,87,True,False
cxy,2/26/2018 9:47:34 PM,16,78,True,False
cxy,2/26/2018 9:47:49 PM,17,78,True,False
cxy,2/26/2018 9:48:15 PM,18,74,False,True
cxy,2/26/2018 9:48:32 PM,19,78,True,False
cxy,2/26/2018 9:48:48 PM,20,78,True,False
cxy,2/26/2018 9:49:06 PM,21,74,False,True
cxy,2/26/2018 9:49:22 PM,22,78,True,False
cxy,2/26/2018 9:49:39 PM,23,78,True,False
cxy,2/26/2018 9:50:13 PM,24,74,True,False
