Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lolly,2/27/2018 4:18:14 PM,1,150,TRUE,FALSE
lolly,2/27/2018 4:18:28 PM,2,150,TRUE,FALSE
lolly,2/27/2018 4:18:43 PM,3,138,TRUE,FALSE
lolly,2/27/2018 4:18:58 PM,4,138,TRUE,FALSE
lolly,2/27/2018 4:19:12 PM,5,126,TRUE,FALSE
lolly,2/27/2018 4:19:28 PM,6,126,TRUE,FALSE
lolly,2/27/2018 4:19:42 PM,7,114,TRUE,FALSE
lolly,2/27/2018 4:19:56 PM,8,114,TRUE,FALSE
lolly,2/27/2018 4:20:10 PM,9,102,FALSE,TRUE
lolly,2/27/2018 4:20:24 PM,10,108,TRUE,FALSE
lolly,2/27/2018 4:20:39 PM,11,108,TRUE,FALSE
lolly,2/27/2018 4:20:53 PM,12,102,TRUE,FALSE
lolly,2/27/2018 4:21:07 PM,13,102,TRUE,FALSE
lolly,2/27/2018 4:21:21 PM,14,96,TRUE,FALSE
lolly,2/27/2018 4:21:35 PM,15,96,TRUE,FALSE
lolly,2/27/2018 4:21:49 PM,16,90,TRUE,FALSE
lolly,2/27/2018 4:22:04 PM,17,90,FALSE,TRUE
lolly,2/27/2018 4:22:18 PM,18,93,FALSE,TRUE
lolly,2/27/2018 4:22:35 PM,19,96,FALSE,TRUE
lolly,2/27/2018 4:22:50 PM,20,99,TRUE,FALSE
lolly,2/27/2018 4:23:05 PM,21,99,FALSE,TRUE
lolly,2/27/2018 4:23:20 PM,22,102,TRUE,FALSE
lolly,2/27/2018 4:23:35 PM,23,102,TRUE,FALSE
lolly,2/27/2018 4:23:51 PM,24,99,TRUE,FALSE
