Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lynn,2/27/2018 1:54:32 PM,1,150,True,False
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lynn,2/27/2018 1:55:33 PM,1,150,True,False
lynn,2/27/2018 1:55:47 PM,2,150,True,False
lynn,2/27/2018 1:56:02 PM,3,138,True,False
lynn,2/27/2018 1:56:17 PM,4,138,True,False
lynn,2/27/2018 1:56:33 PM,5,126,True,False
lynn,2/27/2018 1:56:48 PM,6,126,True,False
lynn,2/27/2018 1:57:02 PM,7,114,True,False
lynn,2/27/2018 1:57:21 PM,8,114,True,False
lynn,2/27/2018 1:57:35 PM,9,102,True,False
lynn,2/27/2018 1:57:50 PM,10,102,True,False
lynn,2/27/2018 1:58:02 PM,11,96,False,True
lynn,2/27/2018 1:58:17 PM,12,102,True,False
lynn,2/27/2018 1:58:31 PM,13,102,True,False
lynn,2/27/2018 1:58:45 PM,14,96,True,False
lynn,2/27/2018 1:59:01 PM,15,96,True,False
lynn,2/27/2018 1:59:15 PM,16,90,True,False
lynn,2/27/2018 1:59:30 PM,17,90,True,False
lynn,2/27/2018 1:59:44 PM,18,87,True,False
lynn,2/27/2018 1:59:58 PM,19,87,True,False
lynn,2/27/2018 2:00:12 PM,20,84,False,True
lynn,2/27/2018 2:00:27 PM,21,87,True,False
lynn,2/27/2018 2:00:42 PM,22,87,True,False
lynn,2/27/2018 2:00:56 PM,23,84,True,False
lynn,2/27/2018 2:01:10 PM,24,84,True,False
