Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lywang,2/27/2018 9:46:12 PM,1,150,True,False
lywang,2/27/2018 9:46:27 PM,2,150,True,False
lywang,2/27/2018 9:48:02 PM,3,138,True,False
lywang,2/27/2018 9:48:42 PM,4,138,True,False
lywang,2/27/2018 9:48:56 PM,5,126,True,False
lywang,2/27/2018 9:49:10 PM,6,126,True,False
lywang,2/27/2018 9:49:43 PM,7,114,True,False
lywang,2/27/2018 9:49:57 PM,8,114,True,False
lywang,2/27/2018 9:50:11 PM,9,102,True,False
lywang,2/27/2018 9:50:26 PM,10,102,True,False
lywang,2/27/2018 9:50:40 PM,11,96,False,True
lywang,2/27/2018 9:50:54 PM,12,102,False,True
lywang,2/27/2018 9:51:47 PM,13,108,True,False
lywang,2/27/2018 9:52:00 PM,14,108,True,False
lywang,2/27/2018 9:52:14 PM,15,102,False,True
lywang,2/27/2018 9:52:28 PM,16,108,True,False
lywang,2/27/2018 9:52:42 PM,17,108,False,True
lywang,2/27/2018 9:52:55 PM,18,111,True,False
lywang,2/27/2018 9:53:07 PM,19,111,True,False
lywang,2/27/2018 9:53:20 PM,20,108,True,False
lywang,2/27/2018 9:53:33 PM,21,108,True,False
lywang,2/27/2018 9:53:47 PM,22,105,False,True
lywang,2/27/2018 9:54:01 PM,23,108,True,False
lywang,2/27/2018 9:54:14 PM,24,108,True,False
