Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
miao,2/27/2018 11:51:51 AM,1,150,True,False
miao,2/27/2018 11:52:26 AM,2,150,True,False
miao,2/27/2018 11:52:44 AM,3,132,True,False
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
miao,2/27/2018 11:58:35 AM,1,150,True,False
miao,2/27/2018 11:59:01 AM,2,150,True,False
miao,2/27/2018 11:59:19 AM,3,132,True,False
miao,2/27/2018 11:59:45 AM,4,132,True,False
miao,2/27/2018 12:00:02 PM,5,114,False,True
miao,2/27/2018 12:00:21 PM,6,132,True,False
miao,2/27/2018 12:00:36 PM,7,132,True,False
miao,2/27/2018 12:00:52 PM,8,114,True,False
miao,2/27/2018 12:01:07 PM,9,114,False,True
miao,2/27/2018 12:01:24 PM,10,123,True,False
miao,2/27/2018 12:01:41 PM,11,123,True,False
miao,2/27/2018 12:01:58 PM,12,114,False,True
miao,2/27/2018 12:02:16 PM,13,123,True,False
miao,2/27/2018 12:02:32 PM,14,123,False,True
miao,2/27/2018 12:02:49 PM,15,132,True,False
miao,2/27/2018 12:03:06 PM,16,132,False,True
miao,2/27/2018 12:03:22 PM,17,141,True,False
miao,2/27/2018 12:03:38 PM,18,141,True,False
miao,2/27/2018 12:03:52 PM,19,137,True,False
miao,2/27/2018 12:04:07 PM,20,137,True,False
miao,2/27/2018 12:04:22 PM,21,133,True,False
miao,2/27/2018 12:04:37 PM,22,133,True,False
miao,2/27/2018 12:04:53 PM,23,129,True,False
miao,2/27/2018 12:05:07 PM,24,129,True,False
