Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
miao,2/27/2018 11:09:44 AM,1,150,True,False
miao,2/27/2018 11:10:17 AM,2,150,True,False
miao,2/27/2018 11:10:36 AM,3,138,True,False
miao,2/27/2018 11:10:56 AM,4,138,True,False
miao,2/27/2018 11:11:16 AM,5,126,True,False
miao,2/27/2018 11:11:36 AM,6,126,True,False
miao,2/27/2018 11:11:57 AM,7,114,True,False
miao,2/27/2018 11:12:16 AM,8,114,True,False
miao,2/27/2018 11:12:36 AM,9,102,True,False
miao,2/27/2018 11:12:54 AM,10,102,True,False
miao,2/27/2018 11:13:21 AM,11,96,True,False
miao,2/27/2018 11:13:38 AM,12,96,False,True
miao,2/27/2018 11:13:57 AM,13,102,False,True
miao,2/27/2018 11:14:17 AM,14,108,True,False
miao,2/27/2018 11:14:35 AM,15,108,True,False
miao,2/27/2018 11:14:53 AM,16,102,True,False
miao,2/27/2018 11:15:12 AM,17,102,True,False
miao,2/27/2018 11:15:32 AM,18,99,True,False
miao,2/27/2018 11:15:51 AM,19,99,True,False
miao,2/27/2018 11:16:13 AM,20,96,True,False
miao,2/27/2018 11:16:35 AM,21,96,True,False
miao,2/27/2018 11:16:53 AM,22,93,True,False
miao,2/27/2018 11:17:12 AM,23,93,True,False
miao,2/27/2018 11:17:32 AM,24,90,False,True
