Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
TY,2/27/2018 9:54:49 AM,1,150,True,False
TY,2/27/2018 9:55:24 AM,2,150,False,True
TY,2/27/2018 9:55:40 AM,3,168,True,False
TY,2/27/2018 9:55:56 AM,4,168,True,False
TY,2/27/2018 9:56:14 AM,5,150,True,False
TY,2/27/2018 9:56:35 AM,6,150,True,False
TY,2/27/2018 9:56:53 AM,7,132,True,False
TY,2/27/2018 9:57:08 AM,8,132,True,False
TY,2/27/2018 9:57:23 AM,9,114,True,False
TY,2/27/2018 9:57:39 AM,10,114,True,False
TY,2/27/2018 9:58:21 AM,11,105,True,False
TY,2/27/2018 9:58:38 AM,12,105,True,False
TY,2/27/2018 9:58:56 AM,13,96,True,False
TY,2/27/2018 9:59:12 AM,14,96,True,False
TY,2/27/2018 9:59:27 AM,15,87,True,False
TY,2/27/2018 9:59:43 AM,16,87,True,False
TY,2/27/2018 10:00:02 AM,17,78,False,True
TY,2/27/2018 10:00:17 AM,18,82,True,False
TY,2/27/2018 10:00:32 AM,19,82,True,False
TY,2/27/2018 10:00:50 AM,20,78,False,True
TY,2/27/2018 10:01:05 AM,21,82,False,True
TY,2/27/2018 10:01:21 AM,22,86,True,False
TY,2/27/2018 10:01:37 AM,23,86,True,False
TY,2/27/2018 10:01:54 AM,24,82,True,False
