Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Yi-Chen,2/27/2018 7:11:56 PM,1,150,True,False
Yi-Chen,2/27/2018 7:12:12 PM,2,150,True,False
Yi-Chen,2/27/2018 7:12:28 PM,3,132,True,False
Yi-Chen,2/27/2018 7:12:43 PM,4,132,True,False
Yi-Chen,2/27/2018 7:12:58 PM,5,114,True,False
Yi-Chen,2/27/2018 7:13:12 PM,6,114,True,False
Yi-Chen,2/27/2018 7:13:27 PM,7,96,True,False
Yi-Chen,2/27/2018 7:14:04 PM,8,96,False,True
Yi-Chen,2/27/2018 7:14:19 PM,9,114,True,False
Yi-Chen,2/27/2018 7:14:37 PM,10,114,True,False
Yi-Chen,2/27/2018 7:14:51 PM,11,105,True,False
Yi-Chen,2/27/2018 7:15:08 PM,12,105,True,False
Yi-Chen,2/27/2018 7:15:26 PM,13,96,True,False
Yi-Chen,2/27/2018 7:15:40 PM,14,96,True,False
Yi-Chen,2/27/2018 7:15:55 PM,15,87,True,False
Yi-Chen,2/27/2018 7:16:12 PM,16,87,True,False
Yi-Chen,2/27/2018 7:16:27 PM,17,78,True,False
Yi-Chen,2/27/2018 7:16:49 PM,18,78,False,True
Yi-Chen,2/27/2018 7:17:09 PM,19,82,False,True
Yi-Chen,2/27/2018 7:17:24 PM,20,86,False,True
Yi-Chen,2/27/2018 7:17:55 PM,21,90,True,False
Yi-Chen,2/27/2018 7:18:11 PM,22,90,True,False
Yi-Chen,2/27/2018 7:18:25 PM,23,86,True,False
Yi-Chen,2/27/2018 7:18:39 PM,24,86,True,False
