Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lolly,2/27/2018 4:05:44 PM,1,150,True,False
lolly,2/27/2018 4:05:59 PM,2,150,True,False
lolly,2/27/2018 4:06:15 PM,3,132,True,False
lolly,2/27/2018 4:06:30 PM,4,132,True,False
lolly,2/27/2018 4:06:46 PM,5,114,True,False
lolly,2/27/2018 4:07:15 PM,6,114,False,True
lolly,2/27/2018 4:08:10 PM,7,132,True,False
lolly,2/27/2018 4:08:25 PM,8,132,True,False
lolly,2/27/2018 4:08:40 PM,9,114,True,False
lolly,2/27/2018 4:08:54 PM,10,114,True,False
lolly,2/27/2018 4:09:11 PM,11,105,True,False
lolly,2/27/2018 4:09:29 PM,12,105,True,False
lolly,2/27/2018 4:09:43 PM,13,96,False,True
lolly,2/27/2018 4:09:59 PM,14,105,True,False
lolly,2/27/2018 4:10:14 PM,15,105,True,False
lolly,2/27/2018 4:10:30 PM,16,96,True,False
lolly,2/27/2018 4:10:46 PM,17,96,True,False
lolly,2/27/2018 4:11:02 PM,18,92,True,False
lolly,2/27/2018 4:11:16 PM,19,92,True,False
lolly,2/27/2018 4:11:32 PM,20,88,False,True
lolly,2/27/2018 4:11:47 PM,21,92,False,True
lolly,2/27/2018 4:12:05 PM,22,96,True,False
lolly,2/27/2018 4:12:24 PM,23,96,True,False
lolly,2/27/2018 4:12:40 PM,24,92,True,False
