Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
lynn,2/27/2018 1:17:43 PM,1,150,True,False
lynn,2/27/2018 1:17:59 PM,2,150,True,False
lynn,2/27/2018 1:18:14 PM,3,132,True,False
lynn,2/27/2018 1:18:30 PM,4,132,True,False
lynn,2/27/2018 1:18:46 PM,5,114,True,False
lynn,2/27/2018 1:19:03 PM,6,114,True,False
lynn,2/27/2018 1:19:19 PM,7,96,True,False
lynn,2/27/2018 1:19:34 PM,8,96,True,False
lynn,2/27/2018 1:19:49 PM,9,78,True,False
lynn,2/27/2018 1:20:10 PM,10,78,True,False
lynn,2/27/2018 1:20:27 PM,11,69,True,False
lynn,2/27/2018 1:20:44 PM,12,69,True,False
lynn,2/27/2018 1:21:00 PM,13,60,True,False
lynn,2/27/2018 1:21:16 PM,14,60,True,False
lynn,2/27/2018 1:21:30 PM,15,51,True,False
lynn,2/27/2018 1:21:48 PM,16,51,True,False
lynn,2/27/2018 1:22:03 PM,17,42,False,True
lynn,2/27/2018 1:22:19 PM,18,46,False,True
lynn,2/27/2018 1:22:33 PM,19,50,True,False
lynn,2/27/2018 1:22:48 PM,20,50,False,True
lynn,2/27/2018 1:23:01 PM,21,54,True,False
lynn,2/27/2018 1:23:17 PM,22,54,True,False
lynn,2/27/2018 1:23:33 PM,23,50,True,False
lynn,2/27/2018 1:23:50 PM,24,50,False,True
