Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
CE,2/26/2018 16:48,1,150,TRUE,FALSE
CE,2/26/2018 16:48,2,150,TRUE,FALSE
CE,2/26/2018 16:49,3,132,TRUE,FALSE
CE,2/26/2018 16:49,4,132,TRUE,FALSE
CE,2/26/2018 16:49,5,114,TRUE,FALSE
CE,2/26/2018 16:50,6,114,TRUE,FALSE
CE,2/26/2018 16:50,7,96,TRUE,FALSE
CE,2/26/2018 16:50,8,96,TRUE,FALSE
CE,2/26/2018 16:51,9,78,TRUE,FALSE
CE,2/26/2018 16:51,10,78,TRUE,FALSE
CE,2/26/2018 16:51,11,69,TRUE,FALSE
CE,2/26/2018 16:52,12,69,TRUE,FALSE
CE,2/26/2018 16:52,13,60,TRUE,FALSE
CE,2/26/2018 16:52,14,60,TRUE,FALSE
CE,2/26/2018 16:53,15,51,TRUE,FALSE
CE,2/26/2018 16:53,16,51,TRUE,FALSE
CE,2/26/2018 16:54,17,42,FALSE,TRUE
CE,2/26/2018 16:55,18,46,FALSE,TRUE
CE,2/26/2018 16:55,19,50,FALSE,TRUE
CE,2/26/2018 16:55,20,54,FALSE,TRUE
CE,2/26/2018 16:56,21,58,FALSE,TRUE
CE,2/26/2018 16:56,22,62,TRUE,FALSE
CE,2/26/2018 16:56,23,62,FALSE,TRUE
CE,2/26/2018 16:57,24,66,TRUE,FALSE
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
Tester Name, Time, Counter, Degree, yesToggle Value, noToggle Value
