trial_no,baseline_angle,offset_angle,response,response_time
0,369 200 369 200,412 200 412 200,1,4334
1,241 200 241 200,284 200 284 200,0,3736
2,241 200 241 200,369 200 369 200,0,940
3,369 200 369 200,327 200 327 200,1,1744
4,284 200 284 200,369 200 369 200,1,1035
5,284 200 284 200,327 200 327 200,1,1052
6,241 200 241 200,327 200 327 200,0,1162
7,284 200 284 200,284 200 284 200,1,1175
8,369 200 369 200,284 200 284 200,0,2018
9,284 200 284 200,412 200 412 200,0,2102
10,327 200 327 200,284 200 284 200,0,885
11,327 200 327 200,412 200 412 200,0,828
12,327 200 327 200,327 200 327 200,0,34200
13,327 200 327 200,369 200 369 200,1,54690
14,241 200 241 200,412 200 412 200,0,1611
15,369 200 369 200,369 200 369 200,1,5553
