trial_no,baseline_angle,offset_angle,same,response_time
trial_no,baseline_angle,offset_angle,same,response_time
0,327 200 327 200,270 200 270 200,0,2402
1,327 200 327 200,327 200 327 200,1,3275
2,298 200 298 200,270 200 270 200,1,1119
3,327 200 327 200,298 200 298 200,1,1342
4,241 200 241 200,327 200 327 200,0,57040
5,327 200 327 200,355 200 355 200,0,1287
6,298 200 298 200,355 200 355 200,0,1130
7,241 200 241 200,270 200 270 200,1,1945
8,298 200 298 200,327 200 327 200,1,851
9,241 200 241 200,355 200 355 200,0,1679
10,270 200 270 200,355 200 355 200,1,3219
11,298 200 298 200,298 200 298 200,1,1097
12,241 200 241 200,298 200 298 200,0,1075
13,270 200 270 200,298 200 298 200,0,1175
14,270 200 270 200,270 200 270 200,1,2034
15,270 200 270 200,327 200 327 200,0,1588
