Angle,UpperRight,LowerRight,UpperMiddle,LowerLeft,UpperLeft
0,0.59,2.61,0.00,1.60,1.80
0,0.59,2.48,0.00,1.60,1.87
0,0.72,2.34,0.00,1.46,1.94
0,0.59,2.54,0.00,1.67,1.80
0,0.59,2.27,0.00,1.60,1.80
0,0.65,2.41,0.00,1.60,1.87
0,0.59,2.61,0.00,1.67,1.87
0,0.59,2.68,0.00,1.67,1.87
0,0.52,2.61,0.00,1.60,2.00
0,0.59,2.48,0.00,1.60,1.87
0,0.59,2.41,0.00,1.67,1.80
0,0.65,2.41,0.00,1.60,1.80
0,0.65,2.75,0.00,1.60,1.87
0,0.72,2.75,0.00,1.60,1.80
0,0.59,2.68,0.00,1.67,1.80
0,0.52,2.61,0.00,1.60,1.94
0,0.59,2.68,0.00,1.67,1.87
0,0.72,2.54,0.00,1.67,1.80
0,0.59,2.48,0.00,1.60,1.87
0,0.65,2.41,0.00,1.67,1.87
0,0.79,2.54,0.00,1.67,1.73
0,0.59,2.68,0.00,1.67,1.94
0,0.52,2.61,0.00,1.67,1.80
0,0.59,2.61,0.00,1.67,1.87
0,0.45,2.54,0.00,1.60,1.87
0,0.38,2.48,0.00,1.67,1.80
0,0.52,2.68,0.00,1.67,1.80
0,0.45,2.68,0.00,1.60,1.80
0,0.59,2.61,0.00,1.67,1.73
0,0.59,2.61,0.00,1.60,1.73
0,0.45,2.48,0.00,1.60,1.80
0,0.52,2.41,0.00,1.60,1.80
0,0.59,2.34,0.00,1.67,1.87
0,0.59,2.34,0.00,1.67,1.87
0,0.52,2.61,0.00,1.46,1.73
0,0.45,2.41,0.00,1.60,1.80
0,0.59,2.48,0.00,1.67,1.87
0,0.59,2.41,0.00,1.67,1.87
0,0.59,2.41,0.00,1.67,1.80
0,0.45,2.41,0.00,1.53,1.80
0,0.52,2.48,0.00,1.53,1.80
0,0.59,2.54,0.00,1.60,1.73
0,0.59,2.34,0.00,1.60,1.73
0,0.52,2.54,0.00,1.67,1.80
0,0.52,2.54,0.00,1.60,1.80
0,0.65,2.27,0.00,1.60,1.87
0,0.59,2.54,0.00,1.53,1.73
0,0.52,2.54,0.00,1.60,1.80
0,0.59,2.54,0.00,1.60,1.87
0,0.59,2.61,0.00,1.53,1.80
0,0.52,2.68,0.00,1.60,1.94
0,0.52,2.61,0.00,1.60,1.80
0,0.59,2.61,0.00,1.60,1.80
0,0.52,2.61,0.00,1.60,1.87
0,0.59,2.54,0.00,1.46,1.94
0,0.52,2.61,0.00,1.60,1.80
0,0.52,2.54,0.00,1.60,1.80
0,0.52,2.54,0.00,1.60,1.80
0,0.45,2.61,0.00,1.60,1.80
0,0.45,2.48,0.00,1.60,1.80
0,0.59,2.54,0.00,1.53,1.80
0,0.59,2.54,0.00,1.53,1.80
0,0.45,2.61,0.00,1.53,1.80
0,0.65,2.54,0.00,1.60,1.73
0,0.52,2.48,0.00,1.60,1.73
0,0.52,2.54,0.00,1.60,1.80
0,0.52,2.41,0.00,1.67,1.80
0,0.59,2.48,0.00,1.60,1.80
0,0.59,2.54,0.00,1.53,1.80
0,0.59,2.54,0.00,1.60,1.80
0,0.52,2.61,0.00,1.60,1.73
0,0.52,2.54,0.00,1.60,1.80
0,0.52,2.54,0.00,1.60,1.87
0,0.52,2.54,0.00,1.60,1.87
0,0.45,2.75,0.00,1.60,1.87
0,0.65,2.61,0.00,1.67,1.87
0,0.45,2.61,0.00,1.67,1.80
0,0.52,2.75,0.00,1.67,1.80
0,0.38,2.61,0.00,1.60,1.87
0,0.59,2.48,0.00,1.60,1.87
0,0.59,2.54,0.00,1.67,2.00
0,0.52,2.54,0.00,1.67,1.87
0,0.65,2.48,0.00,1.60,1.80
0,0.59,2.61,0.00,1.60,1.67
0,0.65,2.75,0.00,1.53,1.80
0,0.45,2.54,0.00,1.60,1.73
0,0.59,2.48,0.00,1.60,1.80
0,0.52,2.61,0.00,1.67,1.80
0,0.59,2.61,0.00,1.67,1.87
0,0.65,2.54,0.00,1.60,1.87
0,0.52,2.68,0.00,1.53,1.73
0,0.52,2.54,0.00,1.60,1.80
0,0.52,2.61,0.00,1.60,1.87
0,0.59,2.54,0.00,1.73,1.80
0,0.45,2.54,0.00,1.60,1.73
0,0.65,2.54,0.00,1.67,1.73
0,0.65,2.54,0.00,1.67,1.80
0,0.52,2.54,0.00,1.60,1.80
0,0.52,2.54,0.00,1.60,1.73
0,0.72,2.54,0.00,1.60,1.80
0,0.65,2.68,0.00,1.67,2.00
0,0.59,2.61,0.00,1.60,1.87
0,0.52,2.54,0.00,1.67,1.87
0,0.65,2.41,0.00,1.60,1.80
0,0.65,2.27,0.00,1.67,1.67
0,0.65,2.07,0.00,1.73,1.80
0,0.59,2.21,0.00,1.67,1.73
0,0.65,2.27,0.00,1.73,1.80
0,0.65,2.14,0.00,1.67,1.87
0,0.65,2.07,0.00,1.67,1.73
0,0.59,2.34,0.00,1.67,1.87
0,0.59,2.34,0.00,1.73,1.94
0,0.72,2.14,0.00,1.53,1.80
0,0.52,2.48,0.00,1.60,1.87
0,0.65,2.14,0.00,1.67,1.87
0,0.65,2.27,0.00,1.67,1.94
0,0.65,2.21,0.00,1.60,1.94
0,0.65,1.87,0.00,1.60,2.00
0,0.45,3.35,0.00,1.06,2.07
0,0.25,4.91,0.00,1.13,1.94
0,1.13,5.11,0.00,1.60,2.34
0,1.26,6.12,0.00,1.19,1.80
0,1.13,6.59,0.00,1.67,1.87
0,1.40,6.52,0.00,1.33,1.87
0,1.40,6.25,0.00,1.40,1.94
0,1.46,6.25,0.00,1.46,1.94
0,1.40,6.46,0.00,1.33,1.94
0,1.53,6.39,0.00,1.46,1.94
0,1.46,6.52,0.00,1.40,1.94
0,1.46,6.52,0.00,1.46,1.94
0,1.46,6.73,0.00,1.46,1.87
0,1.46,6.86,0.00,1.40,2.00
0,1.53,6.73,0.00,1.46,2.00
0,1.53,6.73,0.00,1.46,2.14
0,1.46,6.73,0.00,1.46,2.14
0,1.46,6.79,0.00,1.46,2.14
0,1.46,6.66,0.00,1.60,2.07
0,1.53,6.66,0.00,1.53,2.07
0,1.53,6.66,0.00,1.60,2.07
0,1.53,6.59,0.00,1.46,2.00
0,1.46,6.79,0.00,1.46,2.07
0,1.46,6.73,0.00,1.46,2.14
0,1.46,6.93,0.00,1.60,2.21
0,1.40,6.79,0.00,1.53,2.21
0,1.46,6.86,0.00,1.67,2.14
0,1.40,6.79,0.00,1.46,2.21
0,1.53,6.86,0.00,1.53,2.21
0,1.46,6.86,0.00,1.53,2.27
0,1.40,6.93,0.00,1.53,2.21
0,1.46,6.86,0.00,1.53,2.21
0,1.46,6.93,0.00,1.53,2.21
0,1.46,6.79,0.00,1.53,2.21
0,1.46,6.79,0.00,1.53,2.21
0,1.46,6.86,0.00,1.46,2.14
0,1.46,6.86,0.00,1.53,2.21
0,1.33,6.86,0.00,1.53,2.21
0,1.46,6.86,0.00,1.60,2.21
