subject,encoder_value,angle,pressure,comfortness,from_face
ycl,455,124,3.2,3.5,1
ycl,538,153,3.7,3.2,1
ycl,370,94,2.69,4,0
ycl,350,87,2.58,5,0
ycl,518,146,3.58,3.5,1
ycl,435,117,3.09,3.7,1
ycl,538,153,3.7,3.5,1
ycl,350,87,2.58,5.5,0
ycl,455,124,3.2,4,0
ycl,435,117,3.09,3.7,0
ycl,370,94,2.69,3.7,1
ycl,518,146,3.58,3.3,1
ycl,350,87,2.58,6,0
ycl,435,117,3.09,4,1
ycl,538,153,3.7,3.3,1
ycl,518,146,3.58,3.2,1
ycl,455,124,3.2,4,0
ycl,370,94,2.69,5,0
ycl,435,117,3.09,6,1
ycl,518,146,3.58,4,0
ycl,350,87,2.58,5.2,0
ycl,370,94,2.69,6,1
ycl,538,153,3.7,4,1
ycl,455,124,3.2,3.9,1
ycl,518,146,3.58,3.5,1
ycl,370,94,2.69,3.3,1
ycl,435,117,3.09,3.5,1
ycl,455,124,3.2,3.5,0
ycl,350,87,2.58,3.5,0
ycl,538,153,3.7,3.2,1
ycl,370,94,2.69,4,0
ycl,455,124,3.2,3.5,1
ycl,518,146,3.58,3.5,0
ycl,538,153,3.7,3.3,0
ycl,435,117,3.09,3.7,1
ycl,350,87,2.58,4,0
kt,538,153,3.7,6,0
kt,350,87,2.58,6,0
kt,455,124,3.2,5,0
kt,435,117,3.09,5,0
kt,370,94,2.69,6.5,1
kt,518,146,3.58,5,0
kt,350,87,2.58,6,1
kt,435,117,3.09,5,0
kt,538,153,3.7,5,0
kt,518,146,3.58,5.5,1
kt,455,124,3.2,6,1
kt,370,94,2.69,6.5,1
kt,435,117,3.09,5.5,1
kt,518,146,3.58,5,1
kt,350,87,2.58,6.5,1
kt,370,94,2.69,5.5,0
kt,538,153,3.7,5,0
kt,455,124,3.2,5.5,1
kt,518,146,3.58,5,0
kt,370,94,2.69,6.5,1
kt,435,117,3.09,6,1
kt,455,124,3.2,6.5,1
kt,350,87,2.58,6.5,1
kt,538,153,3.7,5.5,1
kt,370,94,2.69,6,1
kt,455,124,3.2,6,1
kt,518,146,3.58,5,0
kt,538,153,3.7,5.5,1
kt,435,117,3.09,5.5,1
kt,350,87,2.58,6.5,1
kt,455,124,3.2,6,1
kt,538,153,3.7,5.5,0
kt,370,94,2.69,6,0
kt,350,87,2.58,6.5,1
kt,518,146,3.58,5.5,1
kt,435,117,3.09,6,0
ricky,350,87,2.58,4,0
ricky,435,117,3.09,4,0
ricky,538,153,3.7,3,0
ricky,518,146,3.58,2,0
ricky,455,124,3.2,5,1
ricky,370,94,2.69,5,1
ricky,435,117,3.09,4,0
ricky,518,146,3.58,2,0
ricky,350,87,2.58,6,1
ricky,370,94,2.69,5,1
ricky,538,153,3.7,4,0
ricky,455,124,3.2,5,0
ricky,518,146,3.58,4,0
ricky,370,94,2.69,5,1
ricky,435,117,3.09,5,1
ricky,455,124,3.2,4,0
ricky,350,87,2.58,5,1
ricky,538,153,3.7,3,0
ricky,370,94,2.69,6,1
ricky,455,124,3.2,4,0
ricky,518,146,3.58,4,0
ricky,538,153,3.7,4,0
ricky,435,117,3.09,5,1
ricky,350,87,2.58,6,1
ricky,455,124,3.2,4,0
ricky,538,153,3.7,3,0
ricky,370,94,2.69,6,1
ricky,350,87,2.58,6,1
ricky,518,146,3.58,4,0
ricky,435,117,3.09,4,0
ricky,538,153,3.7,2,0
ricky,350,87,2.58,5,1
ricky,455,124,3.2,4,0
ricky,435,117,3.09,5,0
ricky,370,94,2.69,6,1
ricky,518,146,3.58,5,0
Lin,518,146,3.58,4.5,1
Lin,370,94,2.69,5,1
Lin,435,117,3.09,4.5,1
Lin,455,124,3.2,4,1
Lin,350,87,2.58,4.5,1
Lin,538,153,3.7,3.5,1
Lin,370,94,2.69,4,1
Lin,455,124,3.2,3.5,1
Lin,518,146,3.58,3,1
Lin,538,153,3.7,3.5,1
Lin,435,117,3.09,4,1
Lin,350,87,2.58,4.5,1
Lin,455,124,3.2,3.5,1
Lin,538,153,3.7,3,1
Lin,370,94,2.69,4,1
Lin,350,87,2.58,4.5,1
Lin,518,146,3.58,4,1
Lin,435,117,3.09,4,0
Lin,538,153,3.7,3.5,0
Lin,350,87,2.58,4.5,1
Lin,455,124,3.2,3.5,0
Lin,435,117,3.09,3,0
Lin,370,94,2.69,4,1
Lin,518,146,3.58,3,0
Lin,350,87,2.58,4.5,1
Lin,435,117,3.09,3,0
Lin,538,153,3.7,2.5,0
Lin,518,146,3.58,2.5,0
Lin,455,124,3.2,3,0
Lin,370,94,2.69,4,1
Lin,435,117,3.09,3,0
Lin,518,146,3.58,2.5,0
Lin,350,87,2.58,4,1
Lin,370,94,2.69,3.5,1
Lin,538,153,3.7,3,0
Lin,455,124,3.2,3,0
Lolly,455,124,3.2,6,1
Lolly,538,153,3.7,5.5,1
Lolly,370,94,2.69,4,1
Lolly,350,87,2.58,4,1
Lolly,518,146,3.58,3.5,1
Lolly,435,117,3.09,3.5,1
Lolly,538,153,3.7,3,1
Lolly,350,87,2.58,4.5,1
Lolly,455,124,3.2,4.5,0
Lolly,435,117,3.09,4.5,0
Lolly,370,94,2.69,4,1
Lolly,518,146,3.58,3,1
Lolly,350,87,2.58,4.5,1
Lolly,435,117,3.09,4.5,0
Lolly,538,153,3.7,3,0
Lolly,518,146,3.58,3,0
Lolly,455,124,3.2,5,0
Lolly,370,94,2.69,4,0
Lolly,435,117,3.09,4.5,1
Lolly,518,146,3.58,3,1
Lolly,350,87,2.58,4,0
Lolly,370,94,2.69,4,0
Lolly,538,153,3.7,3,0
Lolly,455,124,3.2,3,0
Lolly,518,146,3.58,2.5,1
Lolly,370,94,2.69,3.5,0
Lolly,435,117,3.09,4.5,0
Lolly,455,124,3.2,3,1
Lolly,350,87,2.58,4,0
Lolly,538,153,3.7,2.8,1
Lolly,370,94,2.69,4.5,0
Lolly,455,124,3.2,3,0
Lolly,518,146,3.58,2.5,0
Lolly,538,153,3.7,2,1
Lolly,435,117,3.09,3,0
Lolly,350,87,2.58,4.5,0
Sam,370,94,2.69,5,1
Sam,455,124,3.2,6,1
Sam,518,146,3.58,3,1
Sam,538,153,3.7,2,0
Sam,435,117,3.09,3,0
Sam,350,87,2.58,3,0
Sam,455,124,3.2,2.5,0
Sam,538,153,3.7,1,0
Sam,370,94,2.69,3.5,1
Sam,350,87,2.58,3,1
Sam,518,146,3.58,2,0
Sam,435,117,3.09,1,0
Sam,538,153,3.7,1,0
Sam,350,87,2.58,2,0
Sam,455,124,3.2,1,0
Sam,435,117,3.09,1.5,0
Sam,370,94,2.69,1.5,0
Sam,518,146,3.58,1,0
Sam,350,87,2.58,1,0
Sam,435,117,3.09,1,0
Sam,538,153,3.7,1,0
Sam,518,146,3.58,1,0
Sam,455,124,3.2,1,0
Sam,370,94,2.69,4,1
Sam,435,117,3.09,2,0
Sam,518,146,3.58,1,0
Sam,350,87,2.58,4.5,1
Sam,370,94,2.69,3,1
Sam,538,153,3.7,1,0
Sam,455,124,3.2,1,0
Sam,518,146,3.58,1,0
Sam,370,94,2.69,1.5,1
Sam,435,117,3.09,1.5,1
Sam,455,124,3.2,1,1
Sam,350,87,2.58,3,1
Sam,538,153,3.7,1,0
