angle,Left,Right,
10,128.4444444,78.94444444,128 255 78 255
20,156.8888889,97.88888889,156 255 97 255
30,185.3333333,116.8333333,185 255 116 255
40,213.7777778,135.7777778,213 255 135 255
50,242.2222222,154.7222222,242 255 154 255
60,270.6666667,173.6666667,270 255 173 255
70,299.1111111,192.6111111,299 255 192 255
80,327.5555556,211.5555556,327 255 211 255
90,356,230.5,356 255 230 255
100,384.4444444,249.4444444,384 255 249 255
110,412.8888889,268.3888889,412 255 268 255
120,441.3333333,287.3333333,441 255 287 255
130,469.7777778,306.2777778,469 255 306 255
140,498.2222222,325.2222222,498 255 325 255
150,526.6666667,344.1666667,526 255 344 255
160,555.1111111,363.1111111,555 255 363 255
170,583.5555556,382.0555556,583 255 382 255
180,612,401,612 255 401 255
